sample	well	conc	GEF_conc	date	k_est	span1	f_plateau	span2	cutoff_time	back_signal	fit	linear_fit_fraction	intercept	data_file
PE1_WT	C1	1	5	20181203	0.008	180	180	180		exp	exp	0.1		GEF_assay/2018_data/20181203_GEF_FRET_assay3.txt
PE1_WT	C2	2	5	20181203	0.008	180	180	180		exp	exp	0.1		GEF_assay/2018_data/20181203_GEF_FRET_assay3.txt
PE1_WT	C3	3	5	20181203	0.008	180	180	180		exp	exp	0.1		GEF_assay/2018_data/20181203_GEF_FRET_assay3.txt
PE1_WT	C4	4	5	20181203	0.008	180	180	180		exp	exp	0.1		GEF_assay/2018_data/20181203_GEF_FRET_assay3.txt
PE1_WT	C5	5	5	20181203	0.008	180	180	180		exp	exp	0.1		GEF_assay/2018_data/20181203_GEF_FRET_assay3.txt
PE1_WT	C6	6	5	20181203	0.008	180	180	180		exp	exp	0.1		GEF_assay/2018_data/20181203_GEF_FRET_assay3.txt
PE1_WT	C7	7	5	20181203	0.008	180	180	180		exp	exp	0.1		GEF_assay/2018_data/20181203_GEF_FRET_assay3.txt
PE1_WT	C8	8	5	20181203	0.008	180	180	180		exp	exp	0.1		GEF_assay/2018_data/20181203_GEF_FRET_assay3.txt
PE1_WT	C9	9	5	20181203	0.008	180	180	180		exp	exp	0.1		GEF_assay/2018_data/20181203_GEF_FRET_assay3.txt
PE1_WT	C10	10	5	20181203	0.008	180	180	180		exp	exp	0.1		GEF_assay/2018_data/20181203_GEF_FRET_assay3.txt
PE1_WT	C11	11	5	20181203	0.008	180	180	180		exp	exp	0.1		GEF_assay/2018_data/20181203_GEF_FRET_assay3.txt
PE1_WT	C12	12	5	20181203	0.008	180	180	180		exp	exp	0.1		GEF_assay/2018_data/20181203_GEF_FRET_assay3.txt
PE28_K101R	E1	2	20	20181203	0.0025	120	85			exp	lin	0.15	295	GEF_assay/2018_data/20181203_GEF_FRET_assay.txt
PE28_K101R	E2	6	20	20181203	0.007	180	180			exp	lin	0.15	870	GEF_assay/2018_data/20181203_GEF_FRET_assay.txt
PE28_K101R	E3	9	20	20181203	0.007	180	180			exp	lin	0.1	1310	GEF_assay/2018_data/20181203_GEF_FRET_assay.txt
PE28_K101R	E4	15	20	20181203	0.007	180	180			exp	lin	0.1	2175	GEF_assay/2018_data/20181203_GEF_FRET_assay.txt
PE28_K101R	E5	22	20	20181203	0.007	180	180			exp	lin	0.12	3375	GEF_assay/2018_data/20181203_GEF_FRET_assay.txt
PE28_K101R	E6	28	20	20181203	0.007	180	180			exp	lin	0.08	4180	GEF_assay/2018_data/20181203_GEF_FRET_assay.txt
PE28_K101R	E7	33	20	20181203	0.007	180	180			exp	lin	0.07	4825	GEF_assay/2018_data/20181203_GEF_FRET_assay.txt
PE28_K101R	E8	38	20	20181203	0.007	180	180			exp	lin	0.08	5825	GEF_assay/2018_data/20181203_GEF_FRET_assay.txt
PE28_K101R	E9	44	20	20181203	0.007	180	180			exp	lin	0.08	6450	GEF_assay/2018_data/20181203_GEF_FRET_assay.txt
PE28_K101R	E10	50	20	20181203	0.007	180	180			exp	lin	0.05	7300	GEF_assay/2018_data/20181203_GEF_FRET_assay.txt
PE28_K101R	E11	57	20	20181203	0.007	180	180			exp	lin	0.08	8260	GEF_assay/2018_data/20181203_GEF_FRET_assay.txt
PE28_K101R	E12	65	20	20181203	0.007	180	180			exp	lin	0.05	9370	GEF_assay/2018_data/20181203_GEF_FRET_assay.txt
PE28_K101R	A1	2	20	20181203	0.007	180	180			exp	lin	0.15	510	GEF_assay/2018_data/20181203_GEF_FRET_assay2.txt
PE28_K101R	A2	6	20	20181203	0.007	180	180			exp	lin	0.18	1570	GEF_assay/2018_data/20181203_GEF_FRET_assay2.txt
PE28_K101R	A3	9	20	20181203	0.007	180	180			exp	lin	0.15	2300	GEF_assay/2018_data/20181203_GEF_FRET_assay2.txt
PE28_K101R	A4	15	20	20181203	0.007	180	180			exp	lin	0.15	3915	GEF_assay/2018_data/20181203_GEF_FRET_assay2.txt
PE28_K101R	A5	22	20	20181203	0.007	180	180			exp	lin	0.08	5720	GEF_assay/2018_data/20181203_GEF_FRET_assay2.txt
PE28_K101R	A6	28	20	20181203	0.007	180	180			exp	lin	0.1	7100	GEF_assay/2018_data/20181203_GEF_FRET_assay2.txt
PE28_K101R	A7	33	20	20181203	0.007	180	180			exp	lin	0.1	8500	GEF_assay/2018_data/20181203_GEF_FRET_assay2.txt
PE28_K101R	A8	38	20	20181203	0.007	180	180			exp	lin	0.08	10080	GEF_assay/2018_data/20181203_GEF_FRET_assay2.txt
PE28_K101R	A9	44	20	20181203	0.007	180	180			exp	lin	0.08	11700	GEF_assay/2018_data/20181203_GEF_FRET_assay2.txt
PE28_K101R	A10	50	20	20181203	0.007	180	180			exp	lin	0.08	12750	GEF_assay/2018_data/20181203_GEF_FRET_assay2.txt
PE28_K101R	A11	57	20	20181203	0.007	180	180			exp	lin	0.05	14375	GEF_assay/2018_data/20181203_GEF_FRET_assay2.txt
PE28_K101R	A12	65	20	20181203	0.007	180	180			exp	lin	0.05	18450	GEF_assay/2018_data/20181203_GEF_FRET_assay2.txt
