Sample 1
11/28/2017 7:08 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.29667	
//WLCalib: 261S 	-0.05000	
//WLCalib: 362S 	-0.47000	
//WLCalib: 484S 	0.00000	
//WLCalib: 529S 	0.07000	
//WLCalib: 823S 	-0.52000	
//QSpecEnd: 
220.0	11.109
220.5	10.883
221.0	10.673
221.5	10.494
222.0	10.255
222.5	10.036
223.0	9.791
223.5	9.539
224.0	9.230
224.5	8.860
225.0	8.491
225.5	8.188
226.0	7.942
226.5	7.736
227.0	7.544
227.5	7.353
228.0	7.179
228.5	7.012
229.0	6.839
229.5	6.663
230.0	6.469
230.5	6.261
231.0	6.041
231.5	5.809
232.0	5.547
232.5	5.251
233.0	4.926
233.5	4.594
234.0	4.261
234.5	3.925
235.0	3.595
235.5	3.271
236.0	2.964
236.5	2.693
237.0	2.439
237.5	2.198
238.0	1.965
238.5	1.752
239.0	1.566
239.5	1.416
240.0	1.303
240.5	1.215
241.0	1.143
241.5	1.084
242.0	1.035
242.5	0.990
243.0	0.951
243.5	0.918
244.0	0.892
244.5	0.871
245.0	0.856
245.5	0.843
246.0	0.832
246.5	0.822
247.0	0.815
247.5	0.810
248.0	0.805
248.5	0.804
249.0	0.804
249.5	0.804
250.0	0.807
250.5	0.809
251.0	0.814
251.5	0.817
252.0	0.822
252.5	0.827
253.0	0.836
253.5	0.846
254.0	0.858
254.5	0.871
255.0	0.885
255.5	0.902
256.0	0.920
256.5	0.940
257.0	0.962
257.5	0.979
258.0	0.993
258.5	1.004
259.0	1.013
259.5	1.020
260.0	1.029
260.5	1.036
261.0	1.043
261.5	1.049
262.0	1.055
262.5	1.061
263.0	1.069
263.5	1.080
264.0	1.091
264.5	1.105
265.0	1.117
265.5	1.130
266.0	1.142
266.5	1.155
267.0	1.169
267.5	1.181
268.0	1.193
268.5	1.204
269.0	1.217
269.5	1.228
270.0	1.239
270.5	1.250
271.0	1.257
271.5	1.267
272.0	1.277
272.5	1.286
273.0	1.295
273.5	1.303
274.0	1.310
274.5	1.316
275.0	1.322
275.5	1.330
276.0	1.336
276.5	1.342
277.0	1.345
277.5	1.348
278.0	1.348
278.5	1.349
279.0	1.347
279.5	1.344
280.0	1.341
280.5	1.334
281.0	1.327
281.5	1.319
282.0	1.306
282.5	1.291
283.0	1.271
283.5	1.250
284.0	1.226
284.5	1.207
285.0	1.185
285.5	1.161
286.0	1.134
286.5	1.105
287.0	1.072
287.5	1.037
288.0	1.001
288.5	0.965
289.0	0.930
289.5	0.894
290.0	0.855
290.5	0.811
291.0	0.766
291.5	0.721
292.0	0.674
292.5	0.632
293.0	0.591
293.5	0.551
294.0	0.509
294.5	0.467
295.0	0.428
295.5	0.394
296.0	0.363
296.5	0.335
297.0	0.310
297.5	0.289
298.0	0.268
298.5	0.249
299.0	0.230
299.5	0.212
300.0	0.197
300.5	0.181
301.0	0.165
301.5	0.150
302.0	0.138
302.5	0.124
303.0	0.112
303.5	0.102
304.0	0.093
304.5	0.084
305.0	0.076
305.5	0.069
306.0	0.064
306.5	0.058
307.0	0.053
307.5	0.048
308.0	0.045
308.5	0.043
309.0	0.039
309.5	0.037
310.0	0.035
310.5	0.034
311.0	0.032
311.5	0.030
312.0	0.029
312.5	0.027
313.0	0.026
313.5	0.025
314.0	0.024
314.5	0.023
315.0	0.023
315.5	0.022
316.0	0.019
316.5	0.019
317.0	0.018
317.5	0.017
318.0	0.016
318.5	0.016
319.0	0.014
319.5	0.015
320.0	0.015
320.5	0.014
321.0	0.014
321.5	0.014
322.0	0.013
322.5	0.014
323.0	0.014
323.5	0.014
324.0	0.013
324.5	0.013
325.0	0.014
325.5	0.013
326.0	0.012
326.5	0.011
327.0	0.010
327.5	0.010
328.0	0.012
328.5	0.012
329.0	0.012
329.5	0.012
330.0	0.011
330.5	0.013
331.0	0.011
331.5	0.012
332.0	0.011
332.5	0.009
333.0	0.010
333.5	0.010
334.0	0.010
334.5	0.011
335.0	0.011
335.5	0.010
336.0	0.009
336.5	0.009
337.0	0.010
337.5	0.011
338.0	0.009
338.5	0.008
339.0	0.007
339.5	0.007
340.0	0.007
340.5	0.008
341.0	0.009
341.5	0.010
342.0	0.010
342.5	0.011
343.0	0.011
343.5	0.011
344.0	0.013
344.5	0.011
345.0	0.010
345.5	0.010
346.0	0.011
346.5	0.012
347.0	0.013
347.5	0.014
348.0	0.014
348.5	0.013
349.0	0.014
349.5	0.013
350.0	0.011

