0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1459	2672	3892	4925	7455	9175	11412	14063	14465	15591	17762	21152	
F													
G													
H													
15 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1453	2681	3870	4931	7430	9179	11332	14004	14411	15486	17775	20963	
F													
G													
H													
31 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1458	2635	3816	4876	7344	8976	11279	13928	14328	15338	17544	20942	
F													
G													
H													
45 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1438	2611	3803	4876	7306	9012	11288	13854	14217	15403	17516	20699	
F													
G													
H													
61 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1414	2572	3773	4809	7302	8965	11238	13772	14123	15337	17564	20706	
F													
G													
H													
75 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1416	2584	3760	4802	7184	8931	11182	13705	14176	15213	17376	20592	
F													
G													
H													
91 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1398	2561	3735	4750	7179	8897	11112	13622	13961	15166	17360	20498	
F													
G													
H													
105 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1410	2539	3728	4728	7204	8839	11033	13555	13993	15079	17282	20364	
F													
G													
H													
120 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1397	2545	3687	4677	7118	8780	10936	13452	13949	15081	17189	20357	
F													
G													
H													
136 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1372	2498	3682	4695	7069	8787	10932	13463	13872	14928	17183	20256	
F													
G													
H													
150 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1375	2501	3689	4661	7058	8749	10907	13493	13790	15005	17152	20273	
F													
G													
H													
166 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1380	2480	3654	4620	7075	8695	10907	13429	13825	14905	17012	20202	
F													
G													
H													
180 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1376	2506	3601	4623	7016	8728	10876	13382	13736	14880	16921	20124	
F													
G													
H													
195 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1341	2473	3595	4648	7049	8594	10828	13329	13609	14754	16982	20069	
F													
G													
H													
210 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1342	2473	3628	4582	6970	8614	10789	13280	13706	14835	17006	20103	
F													
G													
H													
225 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1326	2444	3598	4590	6937	8604	10688	13210	13600	14653	16944	19910	
F													
G													
H													
241 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1342	2407	3564	4552	6890	8505	10687	13197	13558	14715	16862	19928	
F													
G													
H													
255 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1329	2416	3534	4489	6870	8555	10610	13138	13483	14545	16724	19844	
F													
G													
H													
271 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1311	2386	3502	4507	6880	8487	10683	13119	13413	14609	16610	19771	
F													
G													
H													
285 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1322	2399	3516	4512	6889	8487	10652	13073	13460	14494	16632	19903	
F													
G													
H													
300 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1320	2372	3532	4486	6774	8481	10634	13146	13441	14514	16594	19738	
F													
G													
H													
316 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1307	2381	3541	4444	6803	8415	10422	13029	13331	14406	16572	19734	
F													
G													
H													
330 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1317	2335	3501	4420	6754	8407	10550	12946	13351	14449	16547	19615	
F													
G													
H													
346 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1281	2355	3451	4400	6763	8366	10495	12959	13254	14386	16386	19501	
F													
G													
H													
360 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1279	2381	3481	4374	6756	8383	10382	12855	13193	14302	16431	19483	
F													
G													
H													
376 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1294	2323	3451	4357	6694	8356	10416	12862	13122	14316	16491	19533	
F													
G													
H													
390 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1284	2331	3426	4387	6710	8327	10298	12853	13153	14206	16381	19420	
F													
G													
H													
405 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1288	2318	3426	4361	6628	8224	10380	12789	13127	14228	16257	19388	
F													
G													
H													
421 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1265	2319	3389	4336	6612	8253	10305	12661	13035	14101	16171	19231	
F													
G													
H													
435 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E	1268	2284	3360	4314	6576	8193	10252	12778	12954	14117	16280	19179	
F													
G													
H													
451 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
