0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1277	2095	2856	4676	4607	3106	2844	4421	6119	6835	8922	13670	
H													
4 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1222	2046	2735	4646	4546	2983	2847	4434	6062	6781	8703	13263	
H													
7 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1243	2171	2764	4505	4692	3015	2849	4491	5902	6649	8803	13331	
H													
10 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1272	2033	2748	4290	4515	2978	2875	4418	5951	6550	8622	13158	
H													
14 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1244	2023	2722	4466	4462	2933	2831	4407	5892	6667	8706	13126	
H													
17 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1187	2086	2818	4448	4602	2959	2881	4407	5852	6572	8675	13225	
H													
21 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1220	2049	2660	4446	4493	2936	2754	4245	5896	6702	8715	13382	
H													
24 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1261	2024	2622	4337	4536	2953	2859	4355	5889	6710	8547	13213	
H													
28 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1206	1987	2710	4283	4575	2908	2784	4339	5783	6666	8691	13297	
H													
31 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1159	2034	2710	4262	4455	2884	2899	4345	5928	6612	8796	13158	
H													
35 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1180	2074	2591	4385	4509	2900	2821	4389	5926	6524	8680	13181	
H													
38 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1203	2050	2718	4358	4532	2910	2819	4350	5822	6499	8575	13240	
H													
42 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1183	1976	2692	4282	4484	2825	2900	4286	5796	6626	8661	13269	
H													
45 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1223	1973	2604	4423	4407	2902	2845	4305	5865	6578	8582	13197	
H													
48 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1150	1982	2647	4335	4400	2912	2846	4344	5816	6632	8541	12993	
H													
52 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1212	1953	2612	4341	4563	2852	2833	4393	5837	6508	8471	13351	
H													
55 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1168	1974	2630	4284	4561	2925	2847	4309	5752	6462	8689	13082	
H													
59 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1149	1941	2638	4286	4531	2794	2874	4193	5806	6641	8353	13009	
H													
62 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1162	1963	2499	4304	4512	2832	2787	4305	5751	6529	8620	13162	
H													
66 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1165	1999	2541	4219	4404	2830	2840	4139	5817	6404	8629	13271	
H													
69 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1156	1888	2652	4290	4439	2932	2849	4204	5669	6481	8698	12921	
H													
73 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1168	1928	2566	4242	4350	2876	2739	4179	5739	6626	8543	12941	
H													
76 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1131	1874	2599	4360	4479	2799	2845	4295	5804	6411	8586	12976	
H													
79 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1171	1933	2614	4243	4426	2804	2825	4205	5707	6370	8578	13080	
H													
83 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1051	1909	2545	4182	4487	2894	2887	4197	5758	6522	8581	13179	
H													
86 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1154	1865	2587	4247	4320	2758	2802	4125	5790	6488	8489	13002	
H													
90 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1106	1912	2533	4154	4437	2705	2838	4122	5727	6341	8297	13055	
H													
93 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1129	1931	2509	4330	4349	2721	2758	4109	5607	6578	8453	13004	
H													
97 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1109	1844	2555	4304	4352	2749	2830	4129	5758	6568	8439	13096	
H													
100 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	1110	2001	2590	4288	4410	2756	2824	4147	5677	6375	8558	13014	
H													
104 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
