0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	860	2207	3642	5289	7618	9065	10395	20128	14919	15079	15649	22494	
E													
F													
G													
H													
3 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	811	2163	3503	5150	7216	8905	10293	19528	14446	14464	15411	22332	
E													
F													
G													
H													
6 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	793	2113	3447	5087	7154	8839	10140	19623	14544	14407	15204	21849	
E													
F													
G													
H													
10 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	792	2052	3483	5015	7096	8906	10263	19439	14176	14236	15474	21702	
E													
F													
G													
H													
13 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	770	2019	3453	5053	7105	8698	10042	19517	14166	14260	15337	21869	
E													
F													
G													
H													
17 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	688	2116	3415	4975	7004	8908	10203	19361	14161	14218	15066	21422	
E													
F													
G													
H													
20 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	724	2006	3371	4988	6988	8504	10248	19358	14200	14187	15114	21717	
E													
F													
G													
H													
24 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	673	1903	3355	4916	7063	8788	10328	19453	14281	14081	15283	21481	
E													
F													
G													
H													
27 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	662	1889	3362	4973	7121	8604	10334	18962	14181	13956	15048	21315	
E													
F													
G													
H													
31 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	719	1906	3283	4848	6895	8701	10293	19219	14324	14119	15170	21391	
E													
F													
G													
H													
34 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	709	1918	3404	4746	6850	8611	10073	19205	14029	14077	15126	21193	
E													
F													
G													
H													
38 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	665	1881	3304	4858	6919	8811	10252	19031	13946	14071	15038	21217	
E													
F													
G													
H													
41 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	636	1877	3215	4761	6933	8820	10301	19511	13848	13893	15099	21032	
E													
F													
G													
H													
45 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	675	1818	3185	4709	6882	8633	10342	19258	14137	13766	15185	21140	
E													
F													
G													
H													
48 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	652	1838	3317	4916	6836	8545	10261	19153	13704	13754	15033	21033	
E													
F													
G													
H													
51 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	652	1799	3226	4673	6735	8569	10337	19129	13777	13782	15228	21432	
E													
F													
G													
H													
55 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	630	1874	3234	4774	6864	8584	10292	18985	13846	13688	14951	21067	
E													
F													
G													
H													
58 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	644	1906	3092	4767	6796	8595	10263	19430	13705	13900	15080	21305	
E													
F													
G													
H													
62 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	615	1789	3163	4763	6895	8409	10207	19563	13713	13755	15148	21064	
E													
F													
G													
H													
65 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	606	1802	3164	4645	6711	8564	10411	19081	13729	13729	15203	20760	
E													
F													
G													
H													
69 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	624	1740	3106	4630	6793	8541	10359	19079	13809	13590	14791	20791	
E													
F													
G													
H													
72 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	577	1763	3199	4533	6746	8432	10423	19235	13591	13542	15034	20900	
E													
F													
G													
H													
76 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	611	1798	3121	4671	6794	8418	10435	19427	13554	13702	15064	20985	
E													
F													
G													
H													
79 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	629	1733	3144	4726	6714	8434	10572	18974	13618	13545	14802	21084	
E													
F													
G													
H													
83 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	582	1741	3029	4637	6766	8444	10353	18856	13711	13762	14758	20682	
E													
F													
G													
H													
86 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	655	1689	3083	4614	6571	8411	10229	19423	13357	13500	14620	21017	
E													
F													
G													
H													
90 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	593	1723	3063	4537	6504	8474	10192	19246	13314	13516	14589	20909	
E													
F													
G													
H													
93 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	608	1652	3092	4599	6706	8465	10111	19213	13821	13654	14674	20898	
E													
F													
G													
H													
96 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	592	1754	2976	4540	6632	8465	10354	18989	13633	13556	14585	20630	
E													
F													
G													
H													
100 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	603	1636	3032	4629	6654	8389	10267	19253	13430	13373	14895	20571	
E													
F													
G													
H													
103 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D	609	1621	3117	4525	6695	8239	10337	18899	13558	13332	14694	20566	
E													
F													
G													
H													
107 s
