0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1277	2324	4450	6712	8943	11402	15071	15221	17201	19222	21225	27082	
C													
D													
E													
F													
G													
H													
4 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1277	2255	4595	6671	8814	11221	14973	14482	16910	19272	21125	26611	
C													
D													
E													
F													
G													
H													
7 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1287	2319	4495	6715	8460	11204	15078	14522	16843	18797	21174	26317	
C													
D													
E													
F													
G													
H													
11 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1305	2222	4384	6632	8616	10964	14913	14385	16892	19023	21040	26568	
C													
D													
E													
F													
G													
H													
14 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1237	2210	4390	6665	8502	11067	14662	14474	17093	19028	20807	26292	
C													
D													
E													
F													
G													
H													
18 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1233	2217	4475	6642	8709	10990	14797	14528	17180	18608	20748	26345	
C													
D													
E													
F													
G													
H													
21 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1280	2125	4416	6488	8636	10946	14881	14592	17323	18870	20895	26615	
C													
D													
E													
F													
G													
H													
25 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1221	2261	4385	6540	8479	10875	14578	14502	16965	18926	20651	26294	
C													
D													
E													
F													
G													
H													
29 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1245	2159	4317	6372	8551	10792	14786	14635	17014	18797	20745	26717	
C													
D													
E													
F													
G													
H													
32 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1217	2167	4289	6487	8591	10837	14831	14405	16838	19070	20770	26121	
C													
D													
E													
F													
G													
H													
36 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1225	2126	4323	6309	8394	10575	14678	14510	16891	18892	20545	26422	
C													
D													
E													
F													
G													
H													
39 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1196	2094	4215	6327	8137	10498	14774	14469	16794	18630	20639	25824	
C													
D													
E													
F													
G													
H													
43 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1233	2207	4403	6313	8402	10933	14830	14469	16805	18698	20416	25627	
C													
D													
E													
F													
G													
H													
46 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1204	2085	4228	6427	8483	10860	14647	14576	16732	18755	20611	26017	
C													
D													
E													
F													
G													
H													
50 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1166	2129	4149	6347	8495	10669	14430	14475	16976	18603	20411	25683	
C													
D													
E													
F													
G													
H													
54 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1180	2055	4261	6453	8333	10665	14668	14371	16718	18526	20980	25578	
C													
D													
E													
F													
G													
H													
57 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1147	2093	4305	6255	8321	10504	14678	14081	16690	18472	20469	25723	
C													
D													
E													
F													
G													
H													
61 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1120	2041	4279	6257	8131	10883	14273	14461	16355	18270	20344	26251	
C													
D													
E													
F													
G													
H													
64 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B	1165	2075	4104	6300	8446	10567	14518	14171	16448	18598	20382	25784	
C													
D													
E													
F													
G													
H													
68 s
