0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	375	840	1762	2062	5005	6699	8188	10041	12007	13430	15351	15946	
B													
C													
D													
E													
F													
G													
H													
4 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	362	820	1678	1994	4954	6740	8000	9825	12002	13404	14944	15780	
B													
C													
D													
E													
F													
G													
H													
8 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	372	768	1733	2035	4949	6619	7981	9760	11833	13388	15195	15977	
B													
C													
D													
E													
F													
G													
H													
12 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	370	804	1721	2044	4882	6557	8310	9657	11864	13026	14565	15933	
B													
C													
D													
E													
F													
G													
H													
16 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	338	764	1600	2046	4892	6546	7979	9697	11684	13001	14875	15660	
B													
C													
D													
E													
F													
G													
H													
20 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	365	772	1647	1944	4851	6606	8011	9483	11724	13017	14396	16033	
B													
C													
D													
E													
F													
G													
H													
24 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	334	738	1600	1971	4817	6535	7920	9352	11551	12539	14787	16037	
B													
C													
D													
E													
F													
G													
H													
27 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	316	748	1625	1917	4777	6624	8016	9278	11624	12715	14460	15813	
B													
C													
D													
E													
F													
G													
H													
31 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	312	743	1656	1904	4706	6432	7897	9306	11430	12697	14556	15515	
B													
C													
D													
E													
F													
G													
H													
35 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	323	736	1617	1982	4777	6495	7825	9101	11451	12639	14648	15638	
B													
C													
D													
E													
F													
G													
H													
39 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	343	745	1616	1913	4772	6476	7858	8991	11274	12607	14615	15464	
B													
C													
D													
E													
F													
G													
H													
43 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	346	753	1660	1861	4683	6496	8028	9089	11262	12719	14309	15451	
B													
C													
D													
E													
F													
G													
H													
47 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	344	734	1605	1968	4601	6448	7796	9334	11236	12692	14476	15306	
B													
C													
D													
E													
F													
G													
H													
51 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	315	722	1633	1867	4512	6453	7884	9023	11374	12513	14223	15562	
B													
C													
D													
E													
F													
G													
H													
54 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	325	734	1505	1869	4618	6261	7732	9129	11229	12614	14310	15319	
B													
C													
D													
E													
F													
G													
H													
58 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	322	734	1605	1730	4607	6416	7698	8953	11294	12237	14192	15229	
B													
C													
D													
E													
F													
G													
H													
62 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	310	696	1551	1781	4552	6400	7708	9012	11257	12282	14036	15009	
B													
C													
D													
E													
F													
G													
H													
66 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	339	732	1551	1795	4565	6168	7767	9107	11138	12512	13972	15242	
B													
C													
D													
E													
F													
G													
H													
70 s
