exp_date	protein	Gsp1_concentration	GEF_concentration	well
20170420	PE10_G80A	6	10	A8
20170420	PE10_G80A	12	10	A12
20170502	PE20_K132H	8	10	G10
20170502	PE20_K132H	10	10	G11
20170502	PE20_K132H	12	10	G12
20170501	PE19_R78K	6	10	E8
20171121	PE1_WT	1.5	3	F3
20171128	PE1_WT	0.25	3	A1
20171128	PE1_WT	2	3	A4
20171128	PE1_WT	3.5	3	A5
20171130	PE1_WT	5	5	C7
20171130	PE1_WT	6	5	C8
20171130	PE1_WT	7	5	C9
20171130	PE1_WT	8	5	C10
20171214	PE1_WT	4	10	C7
20171214	PE1_WT	7	10	C9
20171214	PE1_WT	9	10	C10
20171214	PE1_WT	12	10	C12
