sample	well	conc	GEF_conc	date	k_est	span1	f_plateau	cutoff_time	data_file	condition	row	column	max_flo	span2	k	k_background	f_mid	f0	vf0
PE1_WT	G1	0.25	5	20180906	0.07	200	74.28951498580643	357	GEF_assay/2018_data/20180906_GEF_FRET_assay.txt	20180906-PE1_WT-G1-0.25	G	1	687	414.2785371451776	0.07943282347242814	5.011872336272725e-6	488.56805213098403	688.568052130984	3177.3129388971256
PE1_WT	G2	0.5	5	20180906	0.05	294.14188899783557	654.268942504426	357	GEF_assay/2018_data/20180906_GEF_FRET_assay2.txt	20180906-PE1_WT-G2-0.5	G	2	1073	132.37695489595686	0.04818174887435463	0.001	786.6458974003829	1080.7877863982185	2834.454125824401
PE1_WT	G3	0.75	5	20180906	0.04	645.9537631700673	1086.338715142684	447	GEF_assay/2018_data/20180906_GEF_FRET_assay3.txt	20180906-PE1_WT-G3-0.75	G	3	1972	239.44136573634708	0.03874639367876532	0.001	1325.780080879031	1971.7338440490983	5005.675761213473
PE1_WT	G4	1	5	20180906	0.03	946	761.0881786668999	537	GEF_assay/2018_data/20180906_GEF_FRET_assay4.txt	20180906-PE1_WT-G4-1	G	4	2713	994.7406841127204	0.0277559418818067	1e-4	1755.82886277962	2701.82886277962	5251.424204037828
PE1_WT	G5	1.25	5	20180906	0.02	1238.6565169379644	0	717	GEF_assay/2018_data/20180906_GEF_FRET_assay5.txt	20180906-PE1_WT-G5-1.25	G	5	3479	2235.3447032664008	0.021133383094171385	1e-4	2235.3447032664008	3474.0012202043654	5235.400538908397
PE1_WT	A4	1.5	5	20180824	0.02	1225	1029.806404811463	2242.5	GEF_assay/2018_data/20180824_GEF_FRET_assay.txt	20180824-PE1_WT-A4-1.5	A	4	4082	1849.6094536722462	0.020351081848076463	1e-4	2879.4158584837096	4104.41585848371	4986.015052778733
PE1_WT	A5	2.25	5	20180824	0.02	1731.6852134602366	2084.0813514662004	2242.5	GEF_assay/2018_data/20180824_GEF_FRET_assay.txt	20180824-PE1_WT-A5-2.25	A	5	5872	2073.958046551064	0.015168663206035783	1e-4	4158.039398017264	5889.724611477501	5253.469956370102
PE1_WT	A6	3.25	5	20180824	0.01	2953	2018.5633839781608	1420	GEF_assay/2018_data/20180824_GEF_FRET_assay.txt	20180824-PE1_WT-A6-3.25	A	6	8601	3686.9569822529015	0.01175845848992022	5.011872336272725e-5	5705.520366231061	8658.520366231061	6944.545584146881
PE1_WT	G1	1.75	5	20180906	0.01	1924	1910.7792826301488	7462.5	GEF_assay/2018_data/20180906_GEF_FRET_assay7.txt	20180906-PE1_WT-G1-1.75	G	1	5237	1439.850573592223	0.015052335874821155	6.702682610719664e-5	3350.629856222372	5274.629856222372	5792.13884463118
PE1_WT	G2	2.25	5	20180906	0.01	2386.493817246308	3308.6315498229164	1117.5	GEF_assay/2018_data/20180906_GEF_FRET_assay7.txt	20180906-PE1_WT-G2-2.25	G	2	6527	898.5742634470424	0.012505942622900314	1e-4	4207.2058132699585	6593.699630516267	5969.070949677735
PE1_WT	G3	2.5	5	20180906	0.01	2738	60.65022357199962	7462.5	GEF_assay/2018_data/20180906_GEF_FRET_assay7.txt	20180906-PE1_WT-G3-2.5	G	3	7392	4626.414498598023	0.010551255170615262	1.584893192461114e-5	4687.064722170023	7425.064722170023	5777.867331428918
PE1_WT	G4	3	5	20180906	0.01	3028.780274230242	0	7462.5	GEF_assay/2018_data/20180906_GEF_FRET_assay7.txt	20180906-PE1_WT-G4-3	G	4	8797	5840.891097561679	0.010477259461980642	2.189472365535217e-5	5840.891097561679	8869.671371791921	6346.663357287825
PE1_WT	G5	3.5	5	20180906	0.01	3280	0	7462.5	GEF_assay/2018_data/20180906_GEF_FRET_assay7.txt	20180906-PE1_WT-G5-3.5	G	5	10201	7011.408707047779	0.00856923364233127	2.274361983729548e-5	7011.40870704778	10291.40870704778	5621.4172693693135
PE1_WT	C2	2	5	20180824	0.01	2033.2408340343852	2682.744204954816	2692.5	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt	20180824-PE1_WT-C2-2	C	2	5927	1280.6536230481836	0.016020283168092862	1e-4	3963.3978280029996	5996.638662037385	6514.61878203203
PE1_WT	C3	2.5	5	20180824	0.01	2455	4655.559911887671	2692.5	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt	20180824-PE1_WT-C3-2.5	C	3	7701	619.4097812524581	0.014703123612245201	5.059461209545551e-4	5274.969693140129	7729.969693140129	7219.233693612394
PE1_WT	C5	3.75	5	20180824	0.01	3582.936578994139	7387.860561592172	2692.5	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt	20180824-PE1_WT-C5-3.75	C	5	11784	963.5974786161078	0.011822651738885066	5.950971061963446e-4	8351.458040208281	11934.39461920242	8471.962275191992
PE1_WT	C6	4	5	20180824	0.01	3874.904482410708	5306.089980059597	2692.5	GEF_assay/2018_data/20180824_GEF_FRET_assay2.txt	20180824-PE1_WT-C6-4	C	6	12708	3636.3421952315834	0.01131441062518245	1e-4	8942.432175291182	12817.33665770189	8768.452089470964
PE1_WT	A2	2	5	20181003	0.01	1636	2622.8877918909698	4042.5	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt	20181003-PE1_WT-A2-2	A	2	5360	1112.790882379256	0.013703388843054528	1.6358399124850984e-4	3735.678674270226	5371.678674270226	4483.7488294474415
PE1_WT	A3	3	5	20181003	0.01	2509.615176765294	3493.912099185965	4042.5	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt	20181003-PE1_WT-A3-3	A	3	8090	2161.582207590321	0.009995346426646602	1e-4	5655.494306776287	8165.109483541581	5016.8946178678125
PE1_WT	A5	5	5	20181003	0.008	4031	8093.266360363984	4042.5	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt	20181003-PE1_WT-A5-5	A	5	13943	1962.2736188764723	0.007271114857873259	2.404030950913071e-4	10055.539979240457	14086.539979240457	5861.9727984174215
PE1_WT	A6	6	5	20181003	0.007	4744	7650.387687908098	4042.5	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt	20181003-PE1_WT-A6-6	A	6	16556	4258.54631218259	0.006248496430753326	1e-4	11908.934000090689	16652.93400009069	5928.573413498755
PE1_WT	G6	4.5	5	20180824	0.008	3979.1454719824596	4604.6848026069665	2692.5	GEF_assay/2018_data/20180824_GEF_FRET_assay4.txt	20180824-PE1_WT-G6-4.5	G	6	13006	4554.081206865706	0.010125713933231492	1e-4	9158.766009472673	13137.911481455132	8058.337749601558
PE1_WT	E1	5	5	20180824	0.008	4360.861755564732	5898.744455295063	4042.5	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt	20180824-PE1_WT-E1-5	E	1	14447	4219.049747794352	0.008687559270473532	1e-4	10117.794203089416	14478.655958654148	7577.048994361973
PE1_WT	E2	7	5	20180824	0.007	5297.720923350977	12450.689311524658	4042.5	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt	20180824-PE1_WT-E2-7	E	2	19547	1983.4562403830514	0.008843502618314287	6.582370108427597e-4	14434.145551907708	19731.866475258685	9370.081771350548
PE1_WT	E3	8	5	20180824	0.007	6574.4517109989565	11033.700813271147	4042.5	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt	20180824-PE1_WT-E3-8	E	3	23792	6324.574985701548	0.006031155625292611	1e-4	17358.275798972692	23932.72750997165	7930.308284001198
PE1_WT	E4	9	5	20180824	0.004	4042.5	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt	20180824-PE1_WT-E4-9	E	4	28664	14794.413354751161	8314.675822919082	5873.066264745293	0.0066268561132967465	1e-4	20667.47961949645	28982.155442415533	11020.032061438395
PE1_WT	E6	12	5	20180824	0.007	7884	25420.355043034546	4042.5	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt	20180824-PE1_WT-E6-12	E	6	36466	3330.171927814596	0.006314432261804053	0.001	28750.52697084914	36634.52697084914	9956.59679041263
PE1_WT	A1	6	5	20180906	0.007	4517	3536	3230	GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt	20180906-PE1_WT-A1-6	A	1	15764	8003.57542608247	0.007435784346909336	3.735222903645102e-5	11539.575426082469	16056.575426082469	6717.487578997894
PE1_WT	A2	8	5	20180906	0.007	6083	11637.204191218847	11952	GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt	20180906-PE1_WT-A2-8	A	2	22505	5042.78322794056	0.006088750020546881	1e-4	16679.987419159406	22762.987419159406	7407.573274997335
PE1_WT	A3	9	5	20180906	0.007	6371	12492.508401404712	4488	GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt	20180906-PE1_WT-A3-9	A	3	25348	6864.305570961241	0.0049182002811190145	1e-4	19356.813972365955	25727.813972365955	6266.770798201848
PE1_WT	A4	10	5	20180906	0.007	7156	10753.64197628239	11952	GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt	20180906-PE1_WT-A4-10	A	4	28477	10715.017737714967	0.004857451696969736	4.717432653605258e-5	21468.659713997356	28624.659713997356	6951.984868703085
PE1_WT	A5	11	5	20180906	0.007	7702	16810.877600539596	5988	GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt	20180906-PE1_WT-A5-11	A	5	31667	7501.801306986512	0.0043954489667743435	1e-4	24312.678907526108	32014.678907526108	6770.7495884191985
PE1_WT	A6	12	5	20180906	0.007	8532.984118612907	16763.444389635813	4488	GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt	20180906-PE1_WT-A6-12	A	6	34789	9846.826301395406	0.004444777265556324	1e-4	26610.27069103122	35143.254809644124	7585.442763552763
PE1_WT	C1	6	5	20180906	0.007	5183.578667070572	0	16173	GEF_assay/2018_data/20180906_GEF_FRET_assay9.txt	20180906-PE1_WT-C1-6	C	1	16888	11833.367342263631	0.007488392186942988	2.055030380551603e-5	11833.367342263631	17016.946009334202	7763.333998179123
PE1_WT	C2	8	5	20180906	0.007	6508.596289432779	6.78589535068271	16173	GEF_assay/2018_data/20180906_GEF_FRET_assay9.txt	20180906-PE1_WT-C2-8	C	2	22814	16790.904827443523	0.00630957344480193	1.8934561578775004e-5	16797.690722794207	23306.287012226985	8213.293262148287
