plate	prot	well	fin.Ran.conc	GEF.working	date	cutoff_time
31	PE5_R108A	A1	0.25	5	20190114	3000
31	PE5_R108A	A2	0.5	5	20190114	3000
31	PE5_R108A	A3	0.75	5	20190114	3000
31	PE5_R108A	A4	1	5	20190114	3000
31	PE5_R108A	A5	1.25	5	20190114	3000
31	PE5_R108A	A6	1.5	5	20190114	3000
31	PE5_R108A	A7	1.5	5	20190114	3000
31	PE5_R108A	A8	2	5	20190114	3000
31	PE5_R108A	A9	2.5	5	20190114	3000
31	PE5_R108A	A10	5	5	20190114	3000
31	PE5_R108A	A11	7.5	5	20190114	3000
31	PE5_R108A	A12	9	5	20190114	3000
31	PE5_R108A	A13	10	5	20190114	3000
31	PE5_R108A	A14	11	5	20190114	3000
31	PE5_R108A	A15	12	5	20190114	3000
31	PE14_Y157A	A16	0.5	5	20190114	3000
31	PE14_Y157A	A17	0.75	5	20190114	3000
31	PE14_Y157A	A18	1	5	20190114	3000
31	PE14_Y157A	A19	1.5	5	20190114	3000
31	PE14_Y157A	A20	2	5	20190114	3000
31	PE14_Y157A	A21	5	5	20190114	3000
31	PE14_Y157A	A22	7.5	5	20190114	3000
31	PE14_Y157A	A23	8	5	20190114	3000
31	PE14_Y157A	A24	9	5	20190114	3000
31	PE14_Y157A	A25	10	5	20190114	3000
31	PE14_Y157A	A26	11	5	20190114	3000
31	PE14_Y157A	A27	12	5	20190114	3000
31	PE30_N105L	A28	0.25	5	20190114	3000
31	PE30_N105L	A29	0.5	5	20190114	3000
31	PE30_N105L	A30	0.75	5	20190114	3000
31	PE30_N105L	A31	1	5	20190114	3000
31	PE30_N105L	A32	1.5	5	20190114	3000
31	PE30_N105L	A33	3	5	20190114	3000
31	PE30_N105L	A34	5	5	20190114	3000
31	PE30_N105L	A35	7	5	20190114	3000
31	PE30_N105L	A36	9	5	20190114	3000
31	PE30_N105L	A37	11	5	20190114	3000
31	PE30_N105L	A38	13	5	20190114	3000
31	PE30_N105L	A39	15	5	20190114	3000
