0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	49434	46013	43361	41606	40412	39543	37716	33239	30196	24944	21410	17873	
G													
H													
30 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	49197	47136	43254	42402	40802	40101	37935	33479	30262	25195	22195	18319	
G													
H													
60 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	49258	46279	44222	41908	41310	39965	37956	33549	30276	25190	21912	18207	
G													
H													
90 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	48829	46739	44731	42493	41467	40317	37987	33559	30318	24795	21964	18200	
G													
H													
120 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	49260	46197	44705	43776	41605	40633	37900	33499	30425	24873	22381	18229	
G													
H													
150 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	48498	46684	44556	43284	41581	40795	37974	33545	30729	25032	22160	18684	
G													
H													
180 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	48458	46250	45116	43383	41573	40010	37332	33273	30640	25041	22280	18326	
G													
H													
210 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	47999	46770	44676	42994	41612	40482	37991	33437	30975	25041	22010	18282	
G													
H													
240 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	47970	45814	44882	42976	41757	40058	37691	33067	30720	25140	22238	18255	
G													
H													
270 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	47694	46275	43917	43532	41907	40012	37126	33668	30783	24917	22098	18194	
G													
H													
300 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	47548	45619	44282	42873	41899	40024	37347	33254	31049	24994	21885	17831	
G													
H													
330 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	47488	45831	44926	42928	41872	39648	37183	33290	30702	24903	21862	18182	
G													
H													
360 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	47950	45736	44361	42965	41816	39972	37146	33298	30519	25000	21794	17901	
G													
H													
390 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	47174	45341	43528	42873	41335	39577	37068	33231	30244	24870	21651	18137	
G													
H													
420 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	47252	45852	43640	42636	41299	40132	36788	33214	30457	25107	21704	18111	
G													
H													
450 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	46754	45569	43548	41837	41289	39817	37153	32991	30306	24992	21604	17978	
G													
H													
480 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	47014	45279	43688	42610	41637	39695	36684	33290	30380	24806	21685	18017	
G													
H													
510 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	46814	45119	43641	42623	40994	39578	37315	33025	30362	24570	21558	18148	
G													
H													
540 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	46740	45445	43700	41978	40911	39503	36789	33101	30096	24542	22049	17995	
G													
H													
570 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	46756	45001	43059	42102	40995	39608	37003	32916	30270	24683	21567	18002	
G													
H													
600 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	47342	44397	42884	41943	40775	39257	36628	33340	29890	24946	21530	17934	
G													
H													
630 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	46618	44349	43270	41866	40588	39374	36983	32820	30285	24609	21553	18199	
G													
H													
660 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	46405	44594	43149	41490	40379	39510	36351	32710	30258	24941	21729	17752	
G													
H													
690 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	46615	44921	42623	41080	40659	38549	36655	32817	30070	24532	21195	17962	
G													
H													
720 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	46412	44457	43121	41313	40588	38846	36541	32814	30128	24663	21603	17693	
G													
H													
750 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	46221	44567	42510	41309	40449	38988	36616	32678	29942	24698	21425	17733	
G													
H													
780 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	46266	44690	42705	41116	40109	38624	36518	32516	29861	24442	21597	17689	
G													
H													
810 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	45746	44479	42494	41534	40363	39107	36092	32515	30078	24421	21572	17768	
G													
H													
840 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	45847	44121	42234	41935	40562	38956	36059	32319	29717	24692	20972	17849	
G													
H													
870 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F	45857	44301	42158	40909	40057	38500	36542	32920	29828	24253	21183	17582	
G													
H													
Date of measurement: 02/06/2017/Time of measurement: 18:37:49
