0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	8848	9533	9450	9542	9246	9732	9845	8913					
B													
C													
D													
E													
F													
G													
H													
4 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	8918	9580	9781	9743	9366	9601	9584	8841					
B													
C													
D													
E													
F													
G													
H													
8 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	8869	9666	9974	9826	9375	9617	9696	8849					
B													
C													
D													
E													
F													
G													
H													
11 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	8887	9821	9735	9692	9344	9701	9637	8867					
B													
C													
D													
E													
F													
G													
H													
15 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9149	9756	9739	9796	9260	9685	9509	8995					
B													
C													
D													
E													
F													
G													
H													
19 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	8958	9904	9742	9863	9350	9742	9762	8894					
B													
C													
D													
E													
F													
G													
H													
23 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9141	9862	9740	9803	9277	9777	9774	8942					
B													
C													
D													
E													
F													
G													
H													
26 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9227	9515	9745	9836	9270	9701	9676	8914					
B													
C													
D													
E													
F													
G													
H													
30 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9203	9961	9800	9913	9209	9568	9578	8875					
B													
C													
D													
E													
F													
G													
H													
34 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9144	9720	9738	9833	9328	9719	9720	8805					
B													
C													
D													
E													
F													
G													
H													
38 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9227	9762	9764	9846	9306	9487	9431	9009					
B													
C													
D													
E													
F													
G													
H													
41 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9259	9856	9789	9979	9185	9499	9591	8821					
B													
C													
D													
E													
F													
G													
H													
45 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9272	9884	9956	9781	9228	9761	9447	8918					
B													
C													
D													
E													
F													
G													
H													
49 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9263	9717	9962	9664	9334	9484	9766	9013					
B													
C													
D													
E													
F													
G													
H													
53 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9348	9712	9656	9704	9560	9510	9663	9019					
B													
C													
D													
E													
F													
G													
H													
56 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9428	9775	10027	9611	9485	9588	9879	8966					
B													
C													
D													
E													
F													
G													
H													
60 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9424	9711	9884	9759	9431	9692	9576	8872					
B													
C													
D													
E													
F													
G													
H													
64 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9110	9901	9915	9758	9354	9680	9612	8921					
B													
C													
D													
E													
F													
G													
H													
68 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9469	9529	9856	9488	9442	9693	9694	8915					
B													
C													
D													
E													
F													
G													
H													
71 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9404	9707	9800	9745	9374	9621	9611	9024					
B													
C													
D													
E													
F													
G													
H													
75 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9389	9643	9861	9710	9347	9601	9649	8855					
B													
C													
D													
E													
F													
G													
H													
79 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9313	9701	9776	9771	9344	9662	9597	9041					
B													
C													
D													
E													
F													
G													
H													
83 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9220	9556	9633	9800	9243	9563	9631	8830					
B													
C													
D													
E													
F													
G													
H													
86 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9623	9518	9896	9949	9291	9733	9528	8905					
B													
C													
D													
E													
F													
G													
H													
90 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9329	9750	9850	9647	9209	9681	9688	8830					
B													
C													
D													
E													
F													
G													
H													
94 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9550	9609	9767	9749	9223	9517	9428	8981					
B													
C													
D													
E													
F													
G													
H													
98 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9381	9659	9646	9796	9303	9690	9586	8899					
B													
C													
D													
E													
F													
G													
H													
101 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9379	9823	9586	9737	9294	9780	9630	8907					
B													
C													
D													
E													
F													
G													
H													
105 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9469	9641	9836	9791	9391	9552	9489	8889					
B													
C													
D													
E													
F													
G													
H													
109 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9480	9794	9771	9952	9412	9632	9757	9063					
B													
C													
D													
E													
F													
G													
H													
113 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9494	9602	9877	9694	9472	9814	9562	8872					
B													
C													
D													
E													
F													
G													
H													
117 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9399	9652	9631	9679	9573	9649	9583	8961					
B													
C													
D													
E													
F													
G													
H													
120 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9526	9622	9776	9700	9470	9512	9646	8995					
B													
C													
D													
E													
F													
G													
H													
124 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9414	9894	10008	9870	9256	9546	9486	8985					
B													
C													
D													
E													
F													
G													
H													
128 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9353	9741	9916	9741	9254	9680	9579	8868					
B													
C													
D													
E													
F													
G													
H													
132 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9515	9743	9916	9799	9286	9675	9660	8838					
B													
C													
D													
E													
F													
G													
H													
135 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9295	9681	9813	9755	9467	9552	9505	8851					
B													
C													
D													
E													
F													
G													
H													
139 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9507	9635	9871	9684	9368	9672	9511	8764					
B													
C													
D													
E													
F													
G													
H													
143 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9610	9721	9736	9782	9348	9671	9522	9041					
B													
C													
D													
E													
F													
G													
H													
147 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9521	9656	9872	9770	9468	9828	9795	8994					
B													
C													
D													
E													
F													
G													
H													
150 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9396	9601	9699	9815	9415	9573	9460	8880					
B													
C													
D													
E													
F													
G													
H													
154 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9334	9819	10045	9880	9251	9681	9563	8880					
B													
C													
D													
E													
F													
G													
H													
158 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9370	9665	9857	9840	9366	9642	9505	8834					
B													
C													
D													
E													
F													
G													
H													
162 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9405	9709	9850	9876	9441	9618	9614	8968					
B													
C													
D													
E													
F													
G													
H													
165 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9337	9701	10040	9999	9461	9788	9653	8959					
B													
C													
D													
E													
F													
G													
H													
169 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9364	9962	9935	9814	9537	9633	9582	9018					
B													
C													
D													
E													
F													
G													
H													
173 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9532	9662	9796	9807	9327	9788	9686	8958					
B													
C													
D													
E													
F													
G													
H													
177 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9389	9656	9979	10044	9613	9696	9749	8928					
B													
C													
D													
E													
F													
G													
H													
180 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9387	9680	10029	9899	9344	9505	9587	8790					
B													
C													
D													
E													
F													
G													
H													
184 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9210	9612	10064	9797	9461	9789	9524	9010					
B													
C													
D													
E													
F													
G													
H													
188 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9381	9690	10041	9922	9340	9691	9662	8862					
B													
C													
D													
E													
F													
G													
H													
192 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9287	9853	9863	9994	9465	9841	9681	8945					
B													
C													
D													
E													
F													
G													
H													
195 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9528	9784	9880	9643	9332	9470	9541	8854					
B													
C													
D													
E													
F													
G													
H													
199 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9512	9563	9912	9903	9709	9840	9562	8961					
B													
C													
D													
E													
F													
G													
H													
203 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9299	9951	9951	9896	9497	9859	9537	8907					
B													
C													
D													
E													
F													
G													
H													
207 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9361	9767	10079	9942	9551	9594	9666	8696					
B													
C													
D													
E													
F													
G													
H													
211 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9218	9781	9979	9953	9429	9947	9539	9041					
B													
C													
D													
E													
F													
G													
H													
214 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9211	9929	9887	9993	9458	9761	9738	9003					
B													
C													
D													
E													
F													
G													
H													
218 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9432	9710	9753	9944	9264	9780	9787	8892					
B													
C													
D													
E													
F													
G													
H													
222 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9631	9728	9944	9960	9588	9704	9813	8995					
B													
C													
D													
E													
F													
G													
H													
226 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9439	9778	9914	9996	9445	9747	9565	8888					
B													
C													
D													
E													
F													
G													
H													
229 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9517	10068	9952	9954	9482	9682	9627	8858					
B													
C													
D													
E													
F													
G													
H													
233 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9379	9772	10071	9940	9490	9610	9604	8668					
B													
C													
D													
E													
F													
G													
H													
237 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9303	9688	10100	9916	9393	9708	9469	8831					
B													
C													
D													
E													
F													
G													
H													
241 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9262	9873	9856	10108	9630	9811	9710	8675					
B													
C													
D													
E													
F													
G													
H													
244 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9575	9986	9980	10096	9522	9569	9561	8910					
B													
C													
D													
E													
F													
G													
H													
248 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9543	9858	10065	9828	9623	9647	9617	8791					
B													
C													
D													
E													
F													
G													
H													
252 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9278	9768	9942	10101	9411	9603	9783	8879					
B													
C													
D													
E													
F													
G													
H													
256 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9390	9973	10111	9999	9610	9626	9724	8934					
B													
C													
D													
E													
F													
G													
H													
259 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9312	9813	10061	10009	9406	9595	9558	8774					
B													
C													
D													
E													
F													
G													
H													
263 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9206	9831	9915	10045	9597	9676	9550	8966					
B													
C													
D													
E													
F													
G													
H													
267 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9232	10173	9985	10054	9657	9722	9697	9031					
B													
C													
D													
E													
F													
G													
H													
271 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9169	9930	10139	10048	9469	9765	9501	8912					
B													
C													
D													
E													
F													
G													
H													
274 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9465	9926	9968	10121	9476	9721	9696	8892					
B													
C													
D													
E													
F													
G													
H													
278 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9286	9845	10035	9909	9463	9727	9534	8815					
B													
C													
D													
E													
F													
G													
H													
282 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9408	9986	10236	10155	9623	9687	9719	8887					
B													
C													
D													
E													
F													
G													
H													
286 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9394	9889	10071	9999	9464	9706	9539	8838					
B													
C													
D													
E													
F													
G													
H													
289 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9425	10026	9995	10171	9568	9723	9583	8828					
B													
C													
D													
E													
F													
G													
H													
293 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9450	9823	10210	10075	9714	9745	9671	8954					
B													
C													
D													
E													
F													
G													
H													
297 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9231	9991	10006	10083	9362	9719	9501	8623					
B													
C													
D													
E													
F													
G													
H													
301 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9269	10109	10206	10057	9569	9523	9646	8894					
B													
C													
D													
E													
F													
G													
H													
304 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9077	9933	10225	10163	9429	9629	9718	8978					
B													
C													
D													
E													
F													
G													
H													
308 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9468	9816	10188	10210	9667	9654	9557	8849					
B													
C													
D													
E													
F													
G													
H													
312 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9463	10037	10407	10238	9498	9833	9505	8790					
B													
C													
D													
E													
F													
G													
H													
316 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9343	10091	10314	10162	9638	9658	9667	8792					
B													
C													
D													
E													
F													
G													
H													
320 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9179	10048	10031	10028	9525	9776	9630	8981					
B													
C													
D													
E													
F													
G													
H													
323 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9265	10053	10105	10207	9500	9775	9593	9047					
B													
C													
D													
E													
F													
G													
H													
327 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9177	9997	10219	10074	9419	9584	9625	8835					
B													
C													
D													
E													
F													
G													
H													
331 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9563	10023	10206	10150	9593	9869	9664	8960					
B													
C													
D													
E													
F													
G													
H													
335 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9368	10077	10008	10004	9634	9534	9722	8851					
B													
C													
D													
E													
F													
G													
H													
338 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9342	10014	10178	9973	9577	9693	9589	8951					
B													
C													
D													
E													
F													
G													
H													
342 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9260	9998	10183	10131	9631	9687	9932	8905					
B													
C													
D													
E													
F													
G													
H													
346 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	9303	10126	10115	10002	9664	9778	9535	8787					
B													
C													
D													
E													
F													
G													
H													
350 s
