0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4865	5921	5388	6242	6254	5414	7293	7432	9188	10357	10293	6265	
D													
E													
F													
G													
H													
4 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4676	5788	5314	6136	6296	5611	7250	7474	8911	10195	10418	6110	
D													
E													
F													
G													
H													
8 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4740	5596	5407	6120	6328	5460	7242	7654	9015	10183	10302	6181	
D													
E													
F													
G													
H													
11 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4671	5566	5401	6265	6212	5471	7189	7402	9059	10213	10361	6207	
D													
E													
F													
G													
H													
15 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4644	5660	5426	6182	6161	5520	7150	7674	8988	10227	10209	6190	
D													
E													
F													
G													
H													
19 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4812	5603	5433	6256	6236	5433	7126	7600	9085	10275	10230	6170	
D													
E													
F													
G													
H													
22 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4756	5631	5295	6367	6379	5512	6984	7702	9049	10180	10437	6240	
D													
E													
F													
G													
H													
26 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4812	5587	5434	6381	6350	5433	7095	7762	9230	10119	10527	6210	
D													
E													
F													
G													
H													
30 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4675	5711	5443	6303	6334	5471	7155	7648	9059	10081	10457	6328	
D													
E													
F													
G													
H													
33 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4663	5571	5523	6285	6373	5508	7218	7767	9381	10279	10490	6353	
D													
E													
F													
G													
H													
37 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4739	5634	5413	6463	6283	5551	7194	7744	9199	10461	10555	6302	
D													
E													
F													
G													
H													
41 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4747	5629	5333	6402	6454	5548	7256	7830	8998	10432	10579	6401	
D													
E													
F													
G													
H													
45 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4735	5632	5465	6262	6373	5369	7389	7734	9133	10509	10570	6379	
D													
E													
F													
G													
H													
48 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4691	5742	5487	6470	6403	5522	7391	7895	9290	10441	10446	6257	
D													
E													
F													
G													
H													
52 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4694	5523	5422	6449	6378	5473	7352	7777	9281	10345	10516	6378	
D													
E													
F													
G													
H													
55 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4786	5574	5575	6420	6388	5499	7317	7893	9381	10381	10682	6425	
D													
E													
F													
G													
H													
59 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4714	5432	5522	6433	6538	5378	7358	7990	9417	10352	10724	6460	
D													
E													
F													
G													
H													
63 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4680	5625	5515	6391	6375	5420	7304	8002	9450	10361	10698	6495	
D													
E													
F													
G													
H													
66 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4652	5669	5409	6446	6404	5394	7477	8022	9476	10480	10794	6561	
D													
E													
F													
G													
H													
70 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4841	5665	5535	6511	6484	5403	7384	8125	9436	10436	10694	6546	
D													
E													
F													
G													
H													
74 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4710	5783	5504	6346	6446	5388	7500	8109	9383	10692	10837	6518	
D													
E													
F													
G													
H													
77 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4673	5740	5606	6570	6469	5396	7603	8011	9370	10750	10750	6439	
D													
E													
F													
G													
H													
81 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4641	5696	5520	6622	6627	5482	7516	8172	9528	10667	10811	6520	
D													
E													
F													
G													
H													
85 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4754	5500	5499	6483	6600	5501	7604	8191	9579	10577	10943	6535	
D													
E													
F													
G													
H													
88 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4699	5733	5597	6606	6631	5516	7540	8348	9702	10563	11020	6432	
D													
E													
F													
G													
H													
92 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4662	5764	5622	6564	6682	5501	7497	8212	9600	10688	10992	6648	
D													
E													
F													
G													
H													
96 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4614	5702	5581	6559	6720	5413	7526	8242	9769	10821	10790	6630	
D													
E													
F													
G													
H													
99 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4626	5665	5598	6649	6685	5475	7811	8300	9723	10620	10963	6651	
D													
E													
F													
G													
H													
103 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4598	5685	5662	6723	6587	5295	7664	8226	9872	10807	11007	6702	
D													
E													
F													
G													
H													
106 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	4528	5795	5536	6584	6727	5389	7760	8272	9883	10713	11086	6593	
D													
E													
F													
G													
H													
110 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
