

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20181108_GAP_sensor_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	11/8/2018
Time	1:53:33 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Start Kinetic	Runtime 0:40:00 (HH:MM:SS), Interval 0:00:05, 481 Reads
    Read	Fluorescence Endpoint
	G1..G12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 59
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
H													Well ID

425,457

Time	T° 425,457	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12
0:00:00	25.9	3135	3493	3523	3859	3948	4465	4569	4408	4486	5177	5026	5119
0:00:05	25.9	3168	3549	3596	3991	4000	4633	4725	4498	4566	5204	5210	5239
0:00:10	25.9	3218	3670	3713	4130	4121	4709	4854	4632	4687	5401	5306	5382
0:00:15	25.9	3226	3721	3766	4194	4189	4819	4984	4802	4772	5477	5464	5509
0:00:20	25.9	3282	3746	3789	4279	4255	4939	5086	4881	4910	5566	5619	5615
0:00:25	25.9	3282	3808	3874	4419	4333	5020	5260	4994	5044	5700	5647	5759
0:00:30	25.9	3319	3927	3927	4520	4366	5145	5321	5055	5148	5797	5777	5857
0:00:35	25.9	3327	3958	4002	4580	4484	5233	5474	5148	5339	5937	5925	6048
0:00:40	25.9	3337	4025	4083	4668	4550	5383	5589	5267	5432	6013	6007	6173
0:00:45	25.9	3348	4049	4127	4749	4610	5442	5685	5407	5509	6190	6148	6293
0:00:50	25.9	3350	4065	4186	4818	4696	5552	5908	5449	5641	6290	6257	6349
0:00:55	25.9	3331	4125	4221	4920	4730	5651	5963	5602	5737	6406	6353	6541
0:01:00	25.9	3364	4198	4310	4965	4799	5781	6096	5660	5859	6465	6449	6619
0:01:05	25.9	3371	4222	4346	5065	4891	5893	6184	5798	5941	6653	6576	6741
0:01:10	25.9	3382	4258	4436	5126	4972	5950	6293	5855	6069	6690	6776	6885
0:01:15	25.9	3360	4296	4497	5204	5053	6027	6463	6000	6214	6781	6874	7023
0:01:20	25.9	3387	4325	4558	5276	5096	6177	6621	6027	6252	6872	7000	7122
0:01:25	25.9	3401	4378	4567	5332	5134	6266	6682	6211	6379	7004	7069	7224
0:01:30	25.9	3401	4394	4601	5411	5234	6376	6735	6252	6501	7125	7237	7326
0:01:35	25.9	3428	4402	4694	5496	5333	6524	6921	6469	6600	7146	7324	7396
0:01:40	25.9	3431	4421	4719	5515	5410	6545	7009	6463	6673	7348	7429	7495
0:01:45	25.8	3433	4445	4787	5523	5505	6611	7095	6533	6774	7530	7502	7617
0:01:50	25.8	3406	4473	4845	5601	5510	6739	7272	6679	6939	7577	7612	7806
0:01:55	25.8	3405	4512	4880	5694	5583	6733	7264	6814	7048	7690	7753	7919
0:02:00	25.8	3426	4507	4941	5677	5636	6939	7476	6904	7036	7840	7794	8038
0:02:05	25.8	3456	4506	5011	5728	5731	7033	7544	6944	7197	7913	7885	8165
0:02:10	25.8	3424	4586	5078	5798	5797	7105	7711	7022	7263	7984	8038	8322
0:02:15	25.8	3429	4589	5110	5813	5850	7141	7730	7141	7383	8092	8182	8407
0:02:20	25.8	3424	4570	5156	5898	5908	7269	7839	7283	7491	8266	8315	8549
0:02:25	25.8	3454	4601	5188	5988	5902	7365	7939	7387	7528	8268	8373	8677
0:02:30	25.8	3450	4597	5236	5881	6028	7403	8119	7409	7628	8373	8451	8904
0:02:35	25.8	3424	4589	5260	5909	6094	7493	8204	7514	7802	8512	8545	8937
0:02:40	25.8	3448	4615	5357	6031	6160	7582	8308	7586	7858	8637	8715	8992
0:02:45	25.8	3469	4648	5373	6057	6255	7633	8303	7715	7915	8749	8765	9143
0:02:50	25.8	3461	4616	5346	6085	6332	7736	8485	7763	8001	8817	8895	9337
0:02:55	25.8	3436	4593	5426	6047	6366	7794	8565	7933	8117	8949	9077	9350
0:03:00	25.8	3475	4593	5444	6076	6408	7881	8641	8026	8248	9060	9201	9529
0:03:05	25.8	3454	4684	5482	6096	6450	8012	8662	8053	8327	9157	9221	9654
0:03:10	25.8	3523	4661	5552	6093	6510	8073	8769	8135	8356	9241	9286	9689
0:03:15	25.8	3486	4665	5561	6148	6562	8080	8848	8231	8445	9286	9441	9822
0:03:20	25.8	3493	4653	5645	6166	6624	8103	8938	8287	8562	9444	9569	10017
0:03:25	25.8	3515	4668	5635	6179	6767	8201	9050	8449	8657	9590	9722	10106
0:03:30	25.8	3487	4671	5683	6145	6749	8322	9104	8498	8776	9561	9878	10149
0:03:35	25.8	3491	4693	5692	6136	6757	8329	9131	8584	8799	9760	10030	10322
0:03:40	25.8	3505	4659	5716	6184	6859	8403	9260	8712	8895	9857	10018	10348
0:03:45	25.8	3473	4701	5790	6170	6863	8439	9387	8744	8932	9938	10089	10520
0:03:50	25.8	3505	4657	5739	6200	6893	8543	9358	8899	9057	10061	10242	10564
0:03:55	25.8	3518	4662	5761	6214	6938	8540	9310	8914	9160	10171	10368	10687
0:04:00	25.8	3478	4669	5839	6221	7026	8609	9416	9056	9192	10196	10432	10855
0:04:05	25.8	3480	4700	5801	6214	7076	8710	9495	9099	9206	10240	10658	10908
0:04:10	25.8	3480	4685	5846	6259	7159	8669	9599	9190	9369	10527	10665	10929
0:04:15	25.8	3488	4647	5835	6190	7192	8765	9617	9210	9408	10571	10702	11018
0:04:20	25.8	3510	4678	5863	6247	7158	8704	9659	9272	9520	10580	10849	11122
0:04:25	25.8	3519	4681	5929	6220	7228	8787	9578	9379	9656	10671	10954	11343
0:04:30	25.8	3502	4677	5922	6308	7171	8892	9646	9431	9701	10811	10934	11376
0:04:35	25.8	3487	4711	6007	6186	7275	8861	9592	9505	9748	10838	11044	11402
0:04:40	25.8	3498	4612	5912	6217	7279	8918	9738	9477	9764	11029	11217	11574
0:04:45	25.8	3487	4691	5886	6285	7327	8935	9719	9648	9779	11009	11261	11591
0:04:50	25.8	3475	4652	5951	6250	7424	9053	9755	9652	9964	11098	11365	11806
0:04:55	25.8	3493	4673	6046	6281	7386	8990	9826	9793	9962	11198	11520	11904
0:05:00	25.8	3461	4707	5980	6200	7365	9054	9745	9804	10079	11386	11557	11960
0:05:05	25.8	3481	4695	6012	6236	7436	9014	9862	9870	10170	11365	11609	12038
0:05:10	25.8	3486	4729	6009	6264	7522	9076	9921	9939	10267	11447	11736	12214
0:05:15	25.8	3465	4698	6003	6273	7515	9085	9945	10012	10150	11447	11768	12232
0:05:20	25.8	3485	4698	6017	6284	7537	9138	9900	9999	10361	11554	11843	12258
0:05:25	25.8	3473	4711	6093	6213	7550	9117	9904	10166	10302	11688	11951	12419
0:05:30	25.8	3470	4667	6077	6267	7562	9042	9904	10071	10412	11742	11982	12446
0:05:35	25.8	3511	4717	6062	6243	7550	9213	9933	10215	10484	11858	12118	12410
0:05:40	25.8	3478	4665	6049	6292	7563	9218	9820	10318	10574	11893	12186	12537
0:05:45	25.8	3460	4702	6034	6233	7558	9243	9892	10187	10508	11992	12167	12643
0:05:50	25.8	3474	4666	6105	6266	7614	9224	9949	10298	10621	12036	12255	12696
0:05:55	25.8	3479	4692	6026	6233	7579	9121	9950	10375	10703	12041	12343	12781
0:06:00	25.8	3469	4707	6104	6298	7654	9226	9902	10357	10831	12112	12378	12803
0:06:05	25.8	3492	4678	6075	6282	7690	9214	9950	10433	10819	12232	12404	12942
0:06:10	25.8	3506	4712	6105	6296	7625	9185	9921	10484	10844	12275	12442	13005
0:06:15	25.8	3481	4672	6172	6274	7629	9177	9926	10542	10830	12303	12593	13038
0:06:20	25.8	3519	4684	6136	6331	7645	9265	9888	10568	10906	12390	12694	13148
0:06:25	25.8	3494	4664	6123	6188	7657	9301	9912	10537	10962	12423	12717	13200
0:06:30	25.8	3441	4682	6109	6283	7631	9297	9971	10656	11015	12514	12647	13318
0:06:35	25.8	3511	4683	6114	6306	7652	9314	9913	10576	11110	12539	12774	13303
0:06:40	25.8	3506	4714	6128	6247	7636	9302	9937	10591	10974	12525	12797	13372
0:06:45	25.8	3459	4699	6154	6227	7617	9263	9921	10669	11117	12584	12762	13392
0:06:50	25.8	3467	4677	6142	6257	7685	9227	9965	10651	11006	12668	12898	13587
0:06:55	25.8	3500	4704	6126	6255	7629	9333	9956	10701	11075	12671	12933	13583
0:07:00	25.8	3481	4725	6130	6272	7694	9335	10012	10680	11143	12640	13005	13717
0:07:05	25.8	3508	4712	6138	6283	7779	9307	9958	10740	11245	12709	12876	13724
0:07:10	25.8	3493	4701	6116	6228	7672	9310	9910	10678	11158	12641	13036	13697
0:07:15	25.8	3479	4691	6121	6217	7776	9235	10056	10742	11253	12826	12949	13795
0:07:20	25.8	3500	4750	6148	6251	7694	9304	10010	10707	11234	12766	13024	13796
