

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20181205_GAP_sensor_calibration.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	12/5/2018
Time	1:24:13 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 0:30:00 (HH:MM:SS), Interval 0:00:20, 91 Reads
    Read	Fluorescence Endpoint
	A2..E7
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: AutoScale
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	



Automatic gain values	 
Gain(425,457)	57

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A		SPL22	SPL25	SPL28	SPL31	SPL34	SPL37						Well ID
B		SPL23	SPL26	SPL29	SPL32	SPL35	SPL38						Well ID
C		SPL24	SPL27	SPL30	SPL33	SPL36	SPL39						Well ID
D		SPL41	SPL43	SPL45	SPL47	SPL49	SPL51						Well ID
E		SPL42	SPL44	SPL46	SPL48	SPL50	SPL52						Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A2	A3	A4	A5	A6	A7	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7
0:00:00	30.0	14965	11181	7073	6307	5320	3729	3404	11484	7293	6346	6088	3639	48963	47222	43329	39871	34902	29633	23281	20441	16956	10872	7399	5582	39290	28971	20098	13849	8003	7304
0:00:20	30.0	15005	11076	7082	6292	5302	3750	3381	11291	7250	6304	6081	3671	48955	46780	43565	39453	35278	29677	23331	20322	16963	10838	7428	5591	39418	28849	19907	13922	8045	7332
0:00:40	30.1	15040	11117	7075	6320	5356	3763	3395	11249	7236	6295	6139	3689	48689	46456	43447	40135	35152	29399	23241	20357	16710	10929	7388	5598	39789	29274	20003	13853	8040	7286
0:01:00	30.0	14787	11000	7056	6293	5303	3755	3368	11288	7211	6385	6080	3654	48298	46514	43395	39972	34877	29550	23069	20455	16946	10821	7424	5599	39533	29047	19884	13849	7984	7262
0:01:20	30.0	14867	10962	7105	6260	5359	3802	3391	11190	7217	6320	6112	3642	48510	46617	43343	39479	34624	29355	22995	20177	16929	10844	7441	5585	38816	28624	19478	13723	8033	7332
0:01:40	30.0	14760	11017	7043	6208	5316	3759	3393	11155	7233	6320	6050	3659	48148	46099	43371	39301	34696	29395	22907	20092	16804	10796	7398	5603	38789	28559	19851	13683	8029	7330
0:02:00	30.0	14609	10992	7036	6197	5284	3749	3375	11128	7169	6342	6078	3632	48096	45846	42918	39325	34826	29113	22933	20123	16745	10770	7390	5552	39269	28620	19597	13572	7941	7373
0:02:20	30.0	14620	11029	6979	6212	5305	3780	3432	11233	7153	6331	6097	3623	48107	46130	42869	39114	34689	28840	22869	20095	16883	10735	7371	5557	38656	28463	19585	13637	7896	7288
0:02:40	30.0	14770	10953	7005	6263	5314	3779	3404	11028	7179	6248	6057	3645	47536	45933	42724	39256	34294	29075	22715	20016	16684	10771	7322	5623	38471	28484	19713	13604	7958	7310
0:03:00	30.0	14707	10877	7033	6218	5318	3779	3411	10985	7111	6302	6085	3638	47365	45903	42858	38868	34890	28960	22794	19927	16651	10774	7388	5625	38173	28297	19597	13601	7990	7348
0:03:20	30.0	14537	10807	7017	6190	5318	3780	3413	11032	7172	6275	6069	3663	47510	45722	42766	38527	34218	28946	22700	19980	16571	10619	7357	5601	38112	28247	19476	13401	7896	7342
0:03:40	30.0	14597	10803	6976	6193	5260	3816	3417	10980	7097	6209	5994	3656	47255	44980	42226	38766	34067	28702	22554	19870	16526	10662	7404	5640	38332	27957	19434	13448	7944	7249
0:04:00	30.0	14494	10801	7008	6178	5292	3756	3417	10985	7114	6226	6027	3683	46816	45096	42409	38712	34133	28397	22359	19670	16532	10675	7336	5574	37661	28131	19366	13516	7927	7274
0:04:20	30.0	14423	10774	6969	6172	5276	3783	3422	10953	7066	6267	6009	3645	46851	45352	42130	38469	34217	28460	22384	19683	16465	10605	7415	5598	37538	28094	19335	13515	7884	7254
0:04:40	30.0	14387	10760	7023	6166	5238	3781	3435	10878	7076	6297	5986	3641	46984	45011	42597	38287	34018	28446	22238	19640	16488	10679	7402	5623	37861	27870	19300	13359	7967	7318
0:05:00	30.0	14476	10831	6962	6135	5261	3784	3397	10968	7122	6224	6022	3640	46540	44787	42465	38438	34047	28488	22247	19590	16540	10640	7303	5597	37443	27769	19093	13352	7926	7223
0:05:20	30.0	14396	10774	6906	6182	5231	3795	3394	10786	7040	6225	5996	3601	46555	44821	42207	38233	33710	28271	22137	19568	16403	10631	7324	5562	37556	27566	19114	13332	7890	7285
0:05:40	30.0	14354	10720	6966	6179	5232	3757	3405	10774	7058	6156	5973	3607	46629	44748	41807	37873	33495	28205	22272	19493	16384	10654	7296	5587	37395	27634	19102	13324	7853	7246
0:06:00	30.0	14335	10661	6972	6177	5208	3770	3436	10768	6969	6202	5944	3614	46526	44391	41762	38202	33712	27940	22277	19355	16207	10526	7317	5585	37305	27668	19134	13376	7898	7310
0:06:20	30.0	14221	10691	6946	6115	5218	3781	3429	10777	6973	6252	5954	3615	46140	44523	41584	37513	33489	27943	22288	19369	16289	10510	7266	5611	36857	27635	19165	13225	7936	7278
0:06:40	30.0	14280	10787	6922	6054	5235	3796	3443	10778	6930	6202	5921	3620	46133	44363	41805	37540	33463	28037	21883	19354	16341	10606	7309	5575	37248	27464	18992	13302	7882	7235
0:07:00	30.0	14120	10579	6886	6072	5199	3768	3417	10816	6988	6190	5914	3595	45896	44053	41718	37880	33337	27890	21937	19393	16281	10449	7324	5620	36673	27327	18979	13218	7899	7260
0:07:20	30.0	14219	10620	6893	6116	5236	3755	3422	10744	6955	6145	5908	3616	46041	43847	41492	37708	33212	27896	22090	19401	16049	10455	7263	5583	36603	27333	18844	13145	7806	7244
0:07:40	30.0	14303	10627	6813	6119	5252	3759	3417	10648	6961	6203	5952	3620	45635	43947	41376	37510	33331	27800	21710	19242	16177	10447	7280	5607	36691	27308	18760	13192	7858	7200
0:08:00	30.0	14115	10649	6886	6124	5220	3763	3428	10625	6981	6143	5935	3662	45601	43904	41248	37253	32992	27644	21869	19404	16060	10362	7329	5575	36669	27039	18853	13153	7818	7207
0:08:20	30.0	14184	10510	6904	6015	5215	3773	3398	10724	6918	6108	5861	3641	45263	43871	41216	37189	33251	27462	21688	19263	16073	10402	7301	5570	36615	27178	18850	13147	7846	7203
0:08:40	30.0	14097	10504	6883	6122	5193	3730	3407	10625	6925	6105	5889	3597	45528	43868	40616	37110	33012	27565	21843	19112	16022	10461	7314	5555	36320	26882	18865	13075	7832	7208
0:09:00	30.0	14056	10509	6825	6002	5180	3741	3390	10637	6900	6099	5869	3613	45531	43646	40924	37035	32965	27659	21679	19208	15969	10495	7262	5515	36664	26780	18778	13135	7781	7238
0:09:20	30.0	14065	10480	6772	6060	5185	3789	3424	10541	6868	6176	5862	3638	45245	43546	40781	37424	32688	27551	21463	19028	16011	10412	7250	5568	36134	27018	18649	13084	7863	7147
0:09:40	30.0	13847	10500	6845	6036	5181	3756	3425	10551	6901	6053	5856	3636	44966	43538	41068	37002	32726	27354	21731	19004	15836	10370	7290	5550	36283	26740	18703	13044	7823	7220
0:10:00	30.0	13943	10515	6817	6031	5163	3765	3410	10488	6883	6059	5858	3647	45139	42936	40889	37134	32865	27354	21562	18971	15848	10415	7275	5542	36426	26638	18649	13157	7791	7204
0:10:20	30.0	13938	10531	6782	5972	5181	3754	3397	10392	6883	6136	5909	3653	45009	43367	40478	37035	32629	27355	21555	19104	15842	10328	7251	5584	36150	26883	18701	12930	7750	7145
0:10:40	30.0	13879	10341	6838	6033	5159	3732	3370	10444	6831	6094	5828	3665	45168	42839	40667	36591	32797	27452	21430	19011	15925	10391	7296	5523	35859	26718	18582	12912	7808	7136
0:11:00	30.0	13906	10371	6767	6009	5147	3744	3393	10437	6843	6090	5833	3679	44766	42890	40328	36819	32392	26957	21315	18781	15870	10347	7218	5587	35865	26333	18563	12944	7806	7176
0:11:20	30.0	13881	10403	6761	6018	5172	3720	3413	10503	6853	6029	5846	3688	44584	42624	40038	36417	32525	26992	21386	18783	15812	10315	7248	5536	36008	26637	18519	12970	7786	7147
0:11:40	30.0	13865	10424	6715	6079	5171	3750	3394	10467	6767	6046	5848	3630	44762	42534	40338	36420	32285	26982	21185	18875	15751	10269	7224	5546	35720	26598	18422	12923	7765	7182
0:12:00	30.0	13860	10391	6794	6003	5139	3756	3374	10462	6803	6004	5837	3666	44122	42465	40089	36484	32244	27226	21372	18689	15677	10228	7209	5528	35573	26649	18390	12840	7745	7177
0:12:20	30.0	13758	10290	6713	5957	5172	3721	3382	10403	6850	6054	5817	3649	43850	42435	40165	36440	32338	26954	21386	18692	15718	10180	7290	5570	35834	26377	18491	12966	7697	7127
0:12:40	30.0	13724	10326	6712	5997	5124	3756	3403	10381	6821	6054	5762	3667	44234	42617	40195	36541	32098	26968	21384	18642	15807	10235	7302	5555	35668	26406	18364	12917	7784	7109
0:13:00	30.0	13838	10278	6715	5992	5103	3739	3394	10410	6809	6031	5802	3689	44332	42643	39962	35907	32284	26787	21241	18643	15742	10322	7215	5528	35397	26435	18320	12793	7773	7153
0:13:20	30.0	13744	10425	6764	6002	5140	3754	3398	10380	6762	6007	5779	3695	44604	42040	39577	36143	32060	26977	21319	18695	15692	10185	7284	5601	35680	26069	18348	12876	7710	7175
0:13:40	30.0	13804	10350	6691	6040	5112	3706	3397	10392	6790	6047	5822	3683	43842	42406	39675	36176	32003	26615	21302	18528	15646	10235	7185	5532	35384	26102	18218	12925	7781	7120
0:14:00	30.0	13810	10331	6736	5937	5162	3752	3434	10300	6804	5982	5774	3697	44257	42321	39632	35991	32026	26816	21205	18663	15497	10128	7178	5600	35462	26245	18263	12881	7757	7111
0:14:20	30.0	13793	10269	6700	5947	5141	3743	3388	10368	6710	5972	5805	3694	44408	42096	40007	36022	31998	26574	21181	18531	15596	10173	7222	5553	35342	26143	18351	12782	7747	7115
