

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20181210_GAP_assay3.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	12/10/2018
Time	4:49:39 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 0:25:00 (HH:MM:SS), Interval 0:00:05, 301 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	3232	3363	3428	3736	4161	4849	5196	5590	4980	5560	5451	5179
0:00:05	30.0	3231	3448	3534	3899	4334	5066	5304	5747	5163	5764	5574	5383
0:00:10	30.0	3273	3528	3643	4048	4412	5142	5505	5952	5305	5892	5789	5561
0:00:15	30.0	3247	3595	3747	4203	4615	5293	5695	6080	5529	6098	5982	5815
0:00:20	30.0	3262	3685	3812	4277	4707	5433	5782	6222	5667	6273	6162	5939
0:00:25	30.0	3277	3743	3919	4419	4827	5576	5979	6348	5793	6517	6392	6184
0:00:30	30.0	3275	3751	3984	4550	4994	5689	6195	6498	5995	6717	6548	6382
0:00:35	30.0	3298	3814	4042	4634	5144	5832	6223	6657	6195	6860	6791	6653
0:00:40	30.0	3294	3846	4154	4733	5213	5945	6431	6747	6337	7032	6971	6844
0:00:45	30.0	3335	3855	4225	4840	5348	6050	6566	6942	6553	7273	7152	6989
0:00:50	30.0	3337	3921	4301	4947	5469	6217	6730	7018	6739	7373	7389	7184
0:00:55	30.0	3337	3959	4342	5014	5598	6338	6767	7125	6917	7559	7527	7420
0:01:00	30.0	3328	3997	4396	5052	5651	6468	6929	7268	6995	7705	7699	7649
