

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190117_GAP_assay5.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	1/17/2019
Time	1:43:04 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 0:05:00 (HH:MM:SS), Interval 0:00:02, 151 Reads
    Read	Fluorescence Endpoint
	A10
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A										SPL1			Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A10
0:00:00	30.0	4993
0:00:02	30.0	5030
0:00:04	30.0	5097
0:00:06	30.0	5209
0:00:08	30.0	5212
0:00:10	30.0	5277
0:00:12	30.0	5352
0:00:14	30.0	5385
0:00:16	30.0	5420
0:00:18	30.0	5463
0:00:20	30.0	5532
0:00:22	30.0	5618
0:00:24	30.0	5607
0:00:26	30.0	5640
0:00:28	30.0	5672
0:00:30	30.0	5703
0:00:32	30.0	5712
0:00:34	30.0	5717
0:00:36	30.0	5728
0:00:38	30.0	5793
0:00:40	30.0	5818
0:00:42	30.0	5801
0:00:44	30.0	5829
0:00:46	30.1	5785
0:00:48	30.0	5827
0:00:50	30.0	5876
0:00:52	30.0	5849
0:00:54	30.0	5883
0:00:56	30.0	5896
0:00:58	30.0	5863
0:01:00	30.0	5878
0:01:02	30.0	5882
0:01:04	30.0	5889
0:01:06	30.0	5843
0:01:08	30.0	5879
0:01:10	30.0	5859
0:01:12	30.0	5876
0:01:14	30.0	5913
0:01:16	30.0	5905
0:01:18	30.0	5888
0:01:20	30.0	5889
0:01:22	30.0	5901
0:01:24	30.0	5933
0:01:26	30.0	5932
0:01:28	30.0	5940
0:01:30	30.0	5960
0:01:32	30.0	5939
0:01:34	30.1	5944
0:01:36	30.0	5925
0:01:38	30.0	5940
0:01:40	30.0	5955
0:01:42	30.0	5962
0:01:44	30.0	5948
0:01:46	30.0	5911
0:01:48	30.0	5912
0:01:50	30.0	5927
0:01:52	30.0	5921
0:01:54	30.0	5929
0:01:56	30.0	5917
0:01:58	30.0	5902
0:02:00	30.0	5903
0:02:02	30.0	6019
0:02:04	29.9	5963
0:02:06	29.9	5921
0:02:08	30.0	5959
0:02:10	30.0	5930
0:02:12	30.0	5988
0:02:14	30.0	5939
0:02:16	30.0	5974
0:02:18	30.0	5980
0:02:20	30.0	5963
0:02:22	30.1	5927
0:02:24	30.0	5997
0:02:26	30.0	5958
0:02:28	30.0	6021
0:02:30	30.0	5957
0:02:32	30.0	6017
0:02:34	30.0	5999
0:02:36	30.0	6030
0:02:38	30.0	5956
0:02:40	30.0	5946
0:02:42	30.0	6016
0:02:44	30.0	5994
0:02:46	30.0	5962
0:02:48	30.0	6017
0:02:50	30.0	5998
0:02:52	30.0	5967
0:02:54	30.0	5996
0:02:56	30.0	6010
0:02:58	30.0	5975
0:03:00	30.0	5945
0:03:02	30.0	6002
0:03:04	30.0	5949
0:03:06	30.0	6016
0:03:08	30.0	6000
0:03:10	30.0	5960
0:03:12	30.0	5964
0:03:14	30.0	5989
0:03:16	30.0	6024
0:03:18	30.0	5992
0:03:20	30.0	5972
0:03:22	30.0	5968
0:03:24	30.0	6017
0:03:26	30.0	6001
0:03:28	30.0	6007
0:03:30	30.0	6041
0:03:32	30.0	5994
0:03:34	30.0	6012
0:03:36	30.0	5999
0:03:38	30.0	6035
0:03:40	30.0	5972
0:03:42	30.0	5994
0:03:44	30.0	5970
0:03:46	30.0	5969
0:03:48	30.0	5961
0:03:50	30.0	6020
0:03:52	30.0	6009
0:03:54	30.0	5983
0:03:56	30.0	5918
0:03:58	30.0	5973
0:04:00	30.0	6003
0:04:02	30.0	6036
0:04:04	30.0	5966
0:04:06	30.0	6031
0:04:08	30.0	5952
0:04:10	30.0	5955
0:04:12	30.0	6022
0:04:14	30.0	5976
0:04:16	30.0	5931
0:04:18	30.0	5964
0:04:20	30.0	6000
0:04:22	30.0	5999
0:04:24	30.0	6005
0:04:26	30.0	6001
0:04:28	30.0	5945
0:04:30	30.0	6034
0:04:32	30.0	6000
0:04:34	30.0	5934
0:04:36	30.0	5927
0:04:38	30.0	6015
0:04:40	30.0	5942
0:04:42	30.0	6000
0:04:44	30.0	6003
0:04:46	30.0	5991
0:04:48	30.0	5991
0:04:50	30.0	5923
0:04:52	30.0	5960
0:04:54	30.0	6012
0:04:56	30.0	5981
0:04:58	30.0	5967
0:05:00	30.0	6008

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A										3480000.000			Max V [425,457]
										1.000			R-Squared [425,457]
										0:02:01			t at Max V [425,457]
										0:01:44			Lagtime [425,457]
B													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
C													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
D													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
E													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
F													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
G													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
H													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]

