

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190117_GAP_assay8.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	1/17/2019
Time	2:35:51 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 0:45:00 (HH:MM:SS), Interval 0:00:05, 541 Reads
    Read	Fluorescence Endpoint
	G1..G12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
H													Well ID

425,457

Time	T° 425,457	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12
0:00:00	30.0	7732	5499	6237	4345	4464	4096	5260	7727	7961	8040	7864	8233
0:00:05	30.0	7786	5723	6402	4684	4698	4360	5507	7878	8038	8205	8019	8319
0:00:10	30.0	7969	5890	6566	4974	4948	4661	5725	7979	8160	8377	8182	8475
0:00:15	30.0	7968	6169	6764	5230	5277	4921	5966	8099	8254	8473	8284	8538
0:00:20	30.0	8081	6389	6827	5522	5572	5210	6123	8198	8304	8522	8396	8768
0:00:25	30.0	8097	6596	6998	5754	5852	5438	6389	8183	8463	8656	8504	8802
0:00:30	30.0	8250	6744	7131	6055	6148	5652	6563	8326	8519	8759	8654	8889
0:00:35	30.0	8276	6941	7213	6299	6370	5908	6736	8365	8578	8763	8721	8987
0:00:40	30.0	8338	7111	7362	6528	6647	6174	7052	8475	8695	8955	8781	9166
0:00:45	30.0	8373	7260	7458	6756	6860	6387	7163	8536	8745	9067	8946	9254
0:00:50	30.0	8436	7458	7691	6963	7015	6600	7410	8716	8848	9095	9096	9459
0:00:55	30.0	8538	7603	7808	7198	7342	6836	7585	8717	8984	9229	9226	9590
0:01:00	30.0	8529	7805	7879	7467	7563	7069	7799	8794	8982	9265	9227	9654
0:01:05	30.0	8544	7936	8019	7686	7792	7292	7944	8894	9040	9425	9442	9801
0:01:10	30.0	8579	8030	8072	7862	8023	7500	8203	8970	9127	9434	9562	9879
0:01:15	30.0	8665	8089	8235	8073	8263	7680	8329	9093	9277	9689	9691	9946
0:01:20	30.0	8589	8223	8309	8286	8500	7802	8651	9183	9328	9762	9841	10158
0:01:25	30.0	8702	8381	8418	8393	8674	8059	8821	9169	9415	9735	10035	10238
0:01:30	30.0	8657	8456	8530	8500	8922	8211	9062	9351	9400	9886	10007	10356
0:01:35	30.0	8729	8500	8663	8705	8984	8375	9231	9384	9576	9971	10323	10425
0:01:40	30.0	8694	8555	8768	8769	9383	8487	9442	9533	9663	10176	10328	10592
0:01:45	30.0	8768	8631	8861	9083	9428	8711	9607	9599	9723	10247	10447	10665
0:01:50	30.0	8668	8785	8961	9092	9615	8789	9728	9604	9849	10404	10530	10934
0:01:55	30.0	8760	8741	9021	9158	9791	8917	9881	9740	9935	10406	10651	11112
0:02:00	30.0	8748	8845	9111	9262	9795	9130	10166	9809	10109	10561	10825	11147
0:02:05	30.0	8729	8784	9215	9334	9922	9270	10293	9872	10020	10689	10933	11241
0:02:10	30.0	8742	8873	9301	9415	10200	9333	10483	9900	10130	10602	11072	11389
0:02:15	30.0	8716	8845	9220	9409	10194	9446	10596	10023	10173	10764	11118	11671
0:02:20	30.0	8726	8910	9331	9526	10280	9588	10810	10083	10288	10915	11272	11679
0:02:25	30.0	8807	8914	9450	9523	10256	9660	10930	10118	10454	10930	11400	11747
0:02:30	30.0	8734	8963	9410	9568	10459	9709	11016	10160	10421	11082	11466	11917
0:02:35	30.0	8718	8892	9530	9580	10470	9761	11219	10384	10610	11197	11653	12002
0:02:40	30.0	8786	8906	9519	9680	10520	9814	11319	10434	10602	11252	11735	12060
0:02:45	30.1	8746	8929	9520	9684	10527	9907	11483	10488	10713	11255	11785	12313
0:02:50	30.0	8707	8926	9644	9678	10595	9883	11541	10559	10738	11324	12007	12375
0:02:55	30.0	8764	8837	9598	9626	10646	10019	11632	10605	10852	11482	12129	12517
0:03:00	30.0	8815	8915	9544	9701	10663	9985	11743	10668	10906	11437	12084	12626
0:03:05	30.0	8744	8910	9684	9722	10676	9988	11946	10675	10945	11661	12227	12675
0:03:10	30.0	8782	8900	9621	9715	10610	10105	11990	10804	10959	11684	12322	12709
0:03:15	30.0	8819	8871	9679	9725	10615	10016	12058	10800	11154	11638	12475	12969
0:03:20	30.0	8765	8901	9633	9721	10670	10049	12143	10892	11141	11657	12542	13096
0:03:25	30.0	8763	8847	9637	9648	10681	10074	12120	10861	11135	11799	12754	13113
0:03:30	30.0	8779	8862	9656	9720	10750	10011	12184	11107	11339	11795	12707	13310
0:03:35	30.0	8740	8865	9610	9624	10719	10071	12173	11082	11240	11826	12971	13352
0:03:40	30.0	8747	8834	9658	9630	10727	10141	12157	11056	11257	11836	13025	13357
0:03:45	30.0	8703	8942	9627	9722	10703	10059	12245	11162	11360	11986	13020	13540
0:03:50	30.0	8720	8762	9684	9657	10694	10131	12311	11213	11389	11812	13165	13648
0:03:55	30.0	8760	8815	9573	9669	10777	10101	12293	11088	11352	11895	13220	13706
0:04:00	30.0	8727	8852	9589	9693	10613	10095	12355	11215	11412	11934	13278	13819
0:04:05	30.0	8735	8803	9653	9652	10719	10112	12313	11151	11487	11954	13367	13868
0:04:10	30.0	8796	8733	9654	9642	10742	10069	12310	11256	11470	11845	13358	13924
0:04:15	30.0	8813	8898	9626	9690	10716	10087	12384	11161	11554	11882	13421	13881
0:04:20	30.0	8754	8764	9515	9660	10713	9989	12304	11266	11461	11836	13651	14033
0:04:25	30.0	8794	8827	9625	9678	10753	10010	12288	11243	11488	12039	13594	14049
0:04:30	30.0	8813	8756	9631	9598	10784	10029	12331	11175	11458	11997	13623	14056
0:04:35	30.1	8745	8764	9582	9584	10744	9897	12445	11192	11404	11987	13685	14102
0:04:40	30.0	8711	8786	9605	9645	10772	10025	12300	11279	11495	11964	13827	14197
0:04:45	30.0	8636	8788	9536	9611	10758	10092	12366	11272	11609	11888	13664	14136
0:04:50	30.0	8788	8718	9617	9586	10603	9977	12360	11229	11471	12021	13659	14076
0:04:55	30.0	8839	8730	9600	9617	10716	10049	12193	11262	11521	11804	13832	14131
0:05:00	30.0	8791	8695	9616	9520	10649	10001	12349	11257	11489	11968	13711	14034
0:05:05	30.0	8724	8734	9519	9524	10727	10021	12317	11229	11494	11935	13892	14132
0:05:10	30.0	8689	8646	9439	9523	10601	10027	12328	11292	11454	11933	13849	14062
0:05:15	30.0	8763	8665	9555	9584	10711	10037	12305	11211	11519	11936	13777	14174
0:05:20	30.0	8724	8722	9554	9503	10683	9907	12358	11260	11456	12008	13704	14118
0:05:25	30.0	8711	8760	9552	9508	10686	10087	12304	11326	11541	11991	13804	13993
0:05:30	30.0	8710	8644	9478	9551	10684	9954	12348	11269	11452	11926	13915	14132
0:05:35	30.0	8736	8742	9562	9543	10679	10024	12344	11221	11595	11942	13784	14129
0:05:40	30.0	8683	8698	9566	9481	10597	9984	12315	11251	11529	11924	13753	14159
0:05:45	30.0	8832	8705	9461	9435	10692	9948	12313	11169	11387	11931	13851	14130
0:05:50	30.0	8753	8715	9432	9472	10615	9972	12276	11287	11561	11928	13867	14100
0:05:55	30.0	8694	8669	9512	9513	10627	9967	12334	11143	11423	11840	13696	14099
0:06:00	30.0	8717	8730	9567	9453	10557	10006	12233	11321	11399	11881	13805	14187
0:06:05	30.0	8712	8702	9502	9504	10561	9876	12259	11370	11500	11924	13746	14040
0:06:10	30.0	8708	8623	9503	9437	10550	9968	12374	11167	11398	11925	13854	13997
0:06:15	30.0	8725	8688	9473	9394	10629	9888	12098	11157	11401	11855	13772	14218
0:06:20	30.0	8728	8735	9509	9427	10599	9966	12263	11238	11420	11885	13780	14032
0:06:25	30.0	8739	8659	9458	9456	10529	9877	12235	11214	11464	11867	13826	14082
0:06:30	30.0	8740	8670	9391	9433	10587	9917	12176	11183	11429	11903	13780	14004
0:06:35	30.0	8697	8700	9440	9423	10425	9868	12229	11119	11395	11769	13787	14074
0:06:40	30.0	8668	8718	9451	9411	10543	9972	12125	11156	11426	11882	13718	14064
0:06:45	30.0	8683	8665	9422	9368	10533	9841	12297	11162	11450	11813	13663	14080
0:06:50	30.0	8677	8608	9454	9360	10502	9805	12336	11289	11384	11829	13852	14071
0:06:55	30.0	8763	8650	9417	9339	10543	9846	12225	11234	11419	11960	13710	14125
0:07:00	30.0	8681	8717	9483	9380	10475	9776	12196	11286	11433	11876	13704	14057
0:07:05	30.0	8693	8682	9439	9368	10494	9849	12178	11082	11432	11960	13775	14083
0:07:10	30.0	8739	8688	9390	9319	10503	9851	12167	11164	11503	11948	13690	14078
0:07:15	30.0	8619	8623	9455	9320	10556	9787	12115	11171	11348	11862	13692	14098
0:07:20	30.0	8750	8689	9431	9430	10448	9851	12221	11197	11347	11859	13746	14105
