

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190117_GAP_assay9.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	1/17/2019
Time	3:15:08 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 0:45:00 (HH:MM:SS), Interval 0:00:04, 676 Reads
    Read	Fluorescence Endpoint
	A1..A8
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8					Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A1	A2	A3	A4	A5	A6	A7	A8
0:00:00	30.0	6209	6104	6774	7985	6720	6623	6761	7266
0:00:04	30.0	6512	6266	6937	8075	6972	6801	7051	7513
0:00:08	30.0	6706	6521	7157	8256	7224	6886	7265	7740
0:00:12	30.0	6854	6784	7405	8383	7413	7113	7497	8023
0:00:16	30.0	6940	6982	7571	8509	7705	7280	7774	8298
0:00:20	30.0	7187	7227	7730	8702	7947	7360	8004	8428
0:00:24	30.0	7379	7437	7948	8739	8159	7526	8232	8727
0:00:28	30.0	7571	7618	8214	8903	8251	7661	8523	8987
0:00:32	30.0	7693	7827	8372	8994	8538	7792	8752	9199
0:00:36	30.0	7822	8174	8540	9078	8742	7982	9035	9407
0:00:40	30.0	7997	8253	8674	9332	8959	8122	9252	9707
0:00:44	30.0	8188	8524	8872	9318	9218	8253	9459	9847
0:00:48	30.0	8384	8772	9078	9468	9446	8319	9689	10145
0:00:52	30.0	8476	9001	9277	9644	9662	8539	9899	10402
0:00:56	30.0	8675	9117	9388	9750	9892	8629	10298	10580
0:01:00	30.0	8897	9375	9714	9809	10196	8804	10456	10886
0:01:04	30.0	8994	9628	9940	9972	10270	8989	10699	10937
0:01:08	30.0	9202	9901	10000	10104	10502	9120	10938	11239
0:01:12	30.0	9300	10072	10202	10273	10810	9169	11143	11560
0:01:16	30.0	9478	10229	10401	10346	10912	9372	11315	11747
0:01:20	30.0	9711	10505	10637	10528	11217	9534	11501	11976
0:01:24	30.0	9895	10694	10805	10671	11335	9684	11867	12215
0:01:28	30.0	10060	10820	10940	10838	11950	9768	11999	12540
0:01:32	30.0	10181	11011	11118	10841	12155	9923	12161	12622
0:01:36	30.0	10407	11282	11375	11000	12403	10071	12338	12820
0:01:40	30.0	10646	11470	11527	11145	12700	10145	12617	13102
0:01:44	30.0	10782	11580	11767	11236	12851	10324	12898	13319
0:01:48	30.0	10912	11829	11936	11426	13086	10555	13017	13532
0:01:52	30.0	11044	11986	12153	11531	13206	10576	13243	13858
0:01:56	30.0	11235	12178	12258	11649	13481	10766	13466	13983
0:02:00	30.0	11451	12327	12370	11801	13782	10932	13622	14203
0:02:04	30.0	11482	12589	12662	11942	14052	11125	13834	14342
0:02:08	30.0	11662	12757	12828	12129	14176	11221	14047	14600
0:02:12	30.0	11896	12942	13106	12218	14261	11352	14158	14754
0:02:16	30.0	11985	13140	13254	12364	14642	11478	14417	15108
0:02:20	30.0	12272	13353	13431	12376	14883	11557	14658	15353
0:02:24	30.0	12356	13512	13545	12511	15032	11750	14764	15349
0:02:28	30.0	12606	13656	13801	12609	15359	11785	15093	15626
0:02:32	30.0	12747	13873	13905	12823	15482	11918	15212	15999
0:02:36	30.0	12856	14027	14059	12836	15881	12086	15236	16101
0:02:40	30.0	13052	14191	14278	12977	15934	12183	15427	16408
0:02:44	30.0	13203	14308	14380	13194	16222	12341	15724	16652
0:02:48	30.0	13391	14571	14555	13225	16446	12546	15780	16788
0:02:52	30.0	13467	14730	14702	13414	16506	12581	16003	17055
0:02:56	30.0	13707	14920	14951	13481	16775	12735	16172	17111
0:03:00	30.0	13808	14998	15136	13691	16842	12866	16244	17296
0:03:04	30.0	13931	15248	15202	13828	16998	12890	16413	17505
0:03:08	30.0	14111	15325	15518	13989	17125	13133	16488	17918
0:03:12	30.0	14270	15488	15619	14016	17408	13150	16712	17929
0:03:16	30.0	14524	15678	15712	14181	17414	13319	16948	18203
0:03:20	30.0	14611	15936	16054	14315	17626	13505	16990	18293
0:03:24	30.0	14707	15998	16076	14458	17895	13568	17162	18447
