

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190122_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	1/22/2019
Time	2:36:39 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 0:06:00 (HH:MM:SS), Interval 0:00:02, 181 Reads
    Read	Fluorescence Endpoint
	C1
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C	SPL1												Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	C1
0:00:00	30.1	2958
0:00:02	30.0	2968
0:00:04	30.0	3004
0:00:06	30.0	3000
0:00:08	30.0	3032
0:00:10	30.0	3048
0:00:12	30.0	3075
0:00:14	30.0	3075
0:00:16	30.0	3079
0:00:18	30.0	3110
0:00:20	30.0	3096
0:00:22	30.0	3120
0:00:24	30.0	3188
0:00:26	30.0	3173
0:00:28	30.0	3172
0:00:30	30.0	3221
0:00:32	30.0	3234
0:00:34	30.0	3240
0:00:36	30.0	3228
0:00:38	30.0	3264
0:00:40	30.0	3265
0:00:42	30.0	3257
0:00:44	30.0	3302
0:00:46	30.0	3317
0:00:48	30.0	3330
0:00:50	30.0	3316
0:00:52	30.0	3345
0:00:54	30.0	3341
0:00:56	30.0	3363
0:00:58	30.0	3367
0:01:00	30.0	3368
0:01:02	30.0	3387
0:01:04	30.0	3388
0:01:06	30.0	3408
0:01:08	30.0	3430
0:01:10	30.0	3386
0:01:12	30.0	3438
0:01:14	30.0	3446
0:01:16	30.0	3465
0:01:18	30.0	3461
0:01:20	30.0	3482
0:01:22	30.0	3476
0:01:24	30.0	3479
0:01:26	30.0	3534
0:01:28	30.0	3504
0:01:30	30.0	3540
0:01:32	30.0	3508
0:01:34	30.0	3509
0:01:36	30.0	3535
0:01:38	30.0	3519
0:01:40	30.0	3538
0:01:42	30.0	3570
0:01:44	30.0	3532
0:01:46	30.0	3597
0:01:48	30.0	3593
0:01:50	30.0	3591
0:01:52	30.0	3563
0:01:54	30.0	3617
0:01:56	30.0	3595
0:01:58	30.0	3583
0:02:00	30.0	3608
0:02:02	30.0	3645
0:02:04	30.0	3608
0:02:06	30.0	3653
0:02:08	30.0	3645
0:02:10	30.0	3642
0:02:12	30.0	3649
0:02:14	30.0	3677
0:02:16	30.0	3704
0:02:18	30.0	3702
0:02:20	30.0	3678
0:02:22	30.0	3709
0:02:24	30.0	3696
0:02:26	30.0	3684
0:02:28	30.0	3646
0:02:30	30.0	3725
0:02:32	30.0	3683
0:02:34	30.0	3712
0:02:36	30.0	3713
0:02:38	30.0	3697
0:02:40	30.0	3717
0:02:42	30.0	3722
0:02:44	30.0	3742
0:02:46	30.0	3738
0:02:48	30.0	3680
0:02:50	30.0	3686
0:02:52	30.0	3710
0:02:54	30.0	3694
0:02:56	30.0	3712
0:02:58	30.0	3698
0:03:00	30.0	3713
0:03:02	30.1	3701
0:03:04	30.0	3699
0:03:06	30.0	3727
0:03:08	30.0	3708
0:03:10	30.0	3709
0:03:12	30.0	3732
0:03:14	30.0	3700
0:03:16	30.0	3707
0:03:18	30.0	3722
0:03:20	30.0	3671
0:03:22	30.0	3696
0:03:24	30.0	3696
0:03:26	29.9	3729
0:03:28	29.9	3734
0:03:30	29.9	3731
0:03:32	30.0	3715
0:03:34	30.0	3721
0:03:36	30.0	3719
0:03:38	30.0	3753
0:03:40	30.1	3727
0:03:42	30.0	3727
0:03:44	30.0	3720
0:03:46	30.0	3721
0:03:48	30.0	3683
0:03:50	30.0	3695
0:03:52	30.0	3707
0:03:54	30.0	3741
0:03:56	30.0	3709
0:03:58	30.0	3708
0:04:00	30.0	3727
0:04:02	30.0	3748
0:04:04	30.0	3743
0:04:06	30.0	3730
0:04:08	30.0	3731
0:04:10	30.0	3765
0:04:12	30.0	3728
0:04:14	30.0	3730
0:04:16	30.0	3726
0:04:18	30.0	3727
0:04:20	30.0	3765
0:04:22	30.0	3725
0:04:24	30.0	3734
0:04:26	30.0	3734
0:04:28	30.0	3770
0:04:30	30.0	3779
0:04:32	30.0	3723
0:04:34	30.0	3730
0:04:36	30.0	3736
0:04:38	30.0	3759
0:04:40	30.0	3741
0:04:42	30.0	3740
0:04:44	30.0	3728
0:04:46	30.0	3729
0:04:48	30.0	3767
0:04:50	30.0	3746
0:04:52	30.0	3718
0:04:54	30.0	3776
0:04:56	30.0	3754
0:04:58	30.0	3774
0:05:00	30.0	3755
0:05:02	30.0	3753
0:05:04	30.0	3732
0:05:06	30.0	3757
0:05:08	30.0	3742
0:05:10	30.0	3738
0:05:12	30.0	3752
0:05:14	30.0	3741
0:05:16	30.0	3756
0:05:18	30.0	3730
0:05:20	30.0	3758
0:05:22	30.0	3742
0:05:24	30.0	3748
0:05:26	30.0	3733
0:05:28	30.0	3724
0:05:30	30.0	3724
0:05:32	30.0	3720
0:05:34	30.0	3731
0:05:36	30.0	3724
0:05:38	30.0	3768
0:05:40	30.0	3706
0:05:42	30.0	3731
0:05:44	30.0	3739
0:05:46	30.0	3745
0:05:48	30.0	3772
0:05:50	30.0	3716
0:05:52	30.0	3741
0:05:54	30.0	3707
0:05:56	30.0	3734
0:05:58	30.0	3696
0:06:00	30.0	3740

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
B													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
C	2370000.000												Max V [425,457]
	1.000												R-Squared [425,457]
	0:02:29												t at Max V [425,457]
	0:02:11												Lagtime [425,457]
D													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
E													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
F													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
G													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
H													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]

