

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190122_GAP_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	1/22/2019
Time	2:44:47 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 0:12:00 (HH:MM:SS), Interval 0:00:02, 361 Reads
    Read	Fluorescence Endpoint
	C2
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C		SPL1											Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	C2
0:00:00	30.0	3337
0:00:02	30.0	3353
0:00:04	30.0	3400
0:00:06	30.0	3429
0:00:08	30.0	3469
0:00:10	30.0	3492
0:00:12	29.9	3508
0:00:14	29.9	3576
0:00:16	30.0	3619
0:00:18	30.0	3594
0:00:20	30.0	3652
0:00:22	30.0	3667
0:00:24	30.1	3720
0:00:26	30.1	3699
0:00:28	30.1	3729
0:00:30	30.0	3787
0:00:32	30.0	3816
0:00:34	30.0	3858
0:00:36	30.0	3914
0:00:38	30.0	3886
0:00:40	30.0	3924
0:00:42	30.0	3963
0:00:44	30.0	3950
0:00:46	30.0	3940
0:00:48	30.0	4013
0:00:50	30.0	4003
0:00:52	30.0	4037
0:00:54	30.0	4068
0:00:56	30.0	4090
0:00:58	30.0	4146
0:01:00	30.0	4140
0:01:02	30.0	4143
0:01:04	30.0	4192
0:01:06	30.0	4241
0:01:08	30.1	4164
0:01:10	30.0	4196
0:01:12	30.0	4171
0:01:14	30.0	4233
0:01:16	30.0	4230
0:01:18	30.0	4213
0:01:20	30.0	4292
0:01:22	30.0	4279
0:01:24	30.0	4304
0:01:26	30.0	4287
0:01:28	30.0	4304
0:01:30	30.0	4327
0:01:32	30.0	4341
0:01:34	30.0	4330
0:01:36	30.0	4374
0:01:38	30.0	4304
0:01:40	30.0	4369
0:01:42	30.0	4357
0:01:44	30.0	4381
0:01:46	30.0	4343
0:01:48	30.0	4382
0:01:50	30.0	4422
0:01:52	30.0	4419
0:01:54	30.0	4411
0:01:56	30.0	4418
0:01:58	30.0	4388
0:02:00	30.0	4410
0:02:02	30.0	4423
0:02:04	30.0	4409
0:02:06	30.0	4411
0:02:08	30.0	4424
0:02:10	30.0	4438
0:02:12	30.0	4486
0:02:14	30.0	4494
0:02:16	30.0	4531
0:02:18	30.0	4481
0:02:20	30.0	4508
0:02:22	30.0	4479
0:02:24	30.0	4469
0:02:26	30.0	4504
0:02:28	30.0	4499
0:02:30	30.0	4497
0:02:32	30.0	4528
0:02:34	30.0	4505
0:02:36	30.0	4495
0:02:38	30.0	4512
0:02:40	30.0	4486
0:02:42	30.0	4544
0:02:44	30.0	4518
0:02:46	30.0	4575
0:02:48	30.0	4547
0:02:50	30.0	4495
0:02:52	30.0	4482
0:02:54	30.0	4533
0:02:56	30.0	4519
0:02:58	30.0	4518
0:03:00	30.0	4531
0:03:02	30.0	4494
0:03:04	30.0	4553
0:03:06	30.0	4514
0:03:08	30.0	4529
0:03:10	30.0	4538
0:03:12	30.0	4503
0:03:14	30.0	4510
0:03:16	30.0	4518
0:03:18	30.0	4511
0:03:20	30.0	4564
0:03:22	30.0	4559
0:03:24	30.0	4498
0:03:26	30.0	4520
0:03:28	30.0	4498
0:03:30	30.0	4500
0:03:32	30.0	4504
0:03:34	30.0	4513
0:03:36	30.0	4497
0:03:38	30.0	4578
0:03:40	30.0	4490
0:03:42	30.0	4548
0:03:44	30.0	4524
0:03:46	30.0	4542
0:03:48	30.0	4517
0:03:50	30.0	4509
0:03:52	30.0	4490
0:03:54	30.0	4522
0:03:56	30.0	4543
0:03:58	30.0	4478
0:04:00	30.0	4522
0:04:02	30.0	4520
0:04:04	30.0	4515
0:04:06	30.0	4502
0:04:08	30.0	4559
0:04:10	30.0	4529
0:04:12	30.0	4517
0:04:14	30.0	4483
0:04:16	30.0	4539
0:04:18	30.0	4525
0:04:20	30.0	4489
0:04:22	30.0	4525
0:04:24	30.0	4523
0:04:26	30.0	4479
0:04:28	30.0	4541
0:04:30	30.0	4487
0:04:32	30.0	4499
0:04:34	30.0	4553
0:04:36	30.0	4505
0:04:38	30.0	4525
0:04:40	30.0	4500
0:04:42	30.0	4546
0:04:44	30.0	4510
0:04:46	30.0	4495
0:04:48	30.0	4534
0:04:50	30.0	4509
0:04:52	30.0	4562
0:04:54	30.0	4557
0:04:56	30.0	4524
0:04:58	30.0	4547
0:05:00	30.0	4569
0:05:02	30.0	4543
0:05:04	30.0	4536
0:05:06	30.0	4553
0:05:08	30.0	4520
0:05:10	30.0	4521
0:05:12	30.0	4543
0:05:14	30.0	4568
0:05:16	30.0	4543
0:05:18	30.0	4510
0:05:20	30.0	4567
0:05:22	30.0	4575
0:05:24	30.0	4522
0:05:26	30.0	4582
0:05:28	30.0	4558
0:05:30	30.0	4570
0:05:32	30.0	4544
0:05:34	30.0	4566
0:05:36	30.0	4568
0:05:38	30.0	4567
0:05:40	30.0	4519
0:05:42	30.0	4519
0:05:44	30.0	4559
0:05:46	30.0	4596
0:05:48	30.0	4592
0:05:50	30.0	4558
0:05:52	30.0	4581
0:05:54	30.0	4568
0:05:56	30.0	4554
0:05:58	30.0	4585
0:06:00	30.0	4596
0:06:02	30.0	4577
0:06:04	30.0	4591
0:06:06	30.0	4618
0:06:08	30.0	4559
0:06:10	30.0	4594
0:06:12	30.0	4615
0:06:14	30.0	4532
0:06:16	30.0	4611
0:06:18	29.9	4628
0:06:20	29.9	4581
0:06:22	30.0	4594
0:06:24	30.0	4593
0:06:26	30.0	4599
0:06:28	30.0	4608
0:06:30	30.1	4596
0:06:32	30.1	4611
0:06:34	30.1	4622
0:06:36	30.1	4579
0:06:38	30.1	4617
0:06:40	30.0	4610
0:06:42	30.0	4594
0:06:44	30.0	4592
0:06:46	30.0	4617
0:06:48	30.0	4618
0:06:50	30.0	4610
0:06:52	30.0	4612
0:06:54	30.0	4622
0:06:56	30.0	4609
0:06:58	30.0	4610
0:07:00	30.0	4608
0:07:02	30.0	4587
0:07:04	30.0	4623
0:07:06	30.0	4647
0:07:08	30.0	4623
0:07:10	30.0	4604
0:07:12	30.0	4613
0:07:14	30.0	4659
0:07:16	30.0	4610
0:07:18	30.0	4617
0:07:20	30.0	4626
0:07:22	30.0	4580
0:07:24	30.0	4579
0:07:26	30.0	4592
0:07:28	30.0	4599
0:07:30	30.0	4597
0:07:32	30.0	4634
0:07:34	30.0	4673
0:07:36	30.0	4600
0:07:38	30.0	4579
0:07:40	30.0	4638
0:07:42	30.0	4629
0:07:44	30.0	4602
0:07:46	30.0	4585
0:07:48	30.0	4612
0:07:50	30.0	4620
0:07:52	30.0	4568
0:07:54	30.0	4577
0:07:56	30.0	4623
0:07:58	30.0	4605
0:08:00	30.0	4562
0:08:02	30.0	4624
0:08:04	30.0	4609
0:08:06	30.0	4616
0:08:08	30.0	4598
0:08:10	30.0	4598
0:08:12	30.0	4599
0:08:14	30.0	4601
0:08:16	30.0	4590
0:08:18	30.0	4576
0:08:20	30.0	4658
0:08:22	30.0	4607
0:08:24	30.0	4594
0:08:26	30.0	4576
0:08:28	30.0	4591
0:08:30	30.0	4576
0:08:32	30.0	4582
0:08:34	30.0	4572
0:08:36	30.0	4582
0:08:38	30.0	4579
0:08:40	30.0	4599
0:08:42	30.0	4604
0:08:44	30.0	4612
0:08:46	30.0	4619
0:08:48	30.0	4570
0:08:50	30.0	4581
0:08:52	30.0	4562
0:08:54	30.0	4619
0:08:56	30.0	4608
0:08:58	30.0	4600
0:09:00	30.0	4565
0:09:02	30.0	4605
0:09:04	30.0	4590
0:09:06	30.0	4593
0:09:08	30.0	4654
0:09:10	30.0	4622
0:09:12	30.0	4599
0:09:14	30.0	4593
0:09:16	30.0	4585
0:09:18	30.0	4595
0:09:20	30.0	4615
0:09:22	30.0	4582
0:09:24	30.0	4602
0:09:26	30.0	4565
0:09:28	30.0	4594
0:09:30	30.0	4591
0:09:32	30.0	4538
0:09:34	30.0	4584
0:09:36	30.0	4607
0:09:38	30.0	4594
0:09:40	30.0	4582
0:09:42	30.0	4599
0:09:44	30.0	4609
0:09:46	30.0	4634
0:09:48	30.0	4561
0:09:50	30.0	4615
0:09:52	30.0	4555
0:09:54	30.0	4554
0:09:56	30.0	4618
0:09:58	30.0	4567
0:10:00	30.0	4631
0:10:02	30.0	4592
0:10:04	30.0	4594
0:10:06	30.0	4600
0:10:08	30.0	4649
0:10:10	30.0	4568
0:10:12	30.0	4554
0:10:14	30.0	4623
0:10:16	30.0	4547
0:10:18	30.0	4610
0:10:20	30.0	4577
0:10:22	30.0	4584
0:10:24	30.0	4555
0:10:26	30.0	4557
0:10:28	30.0	4569
0:10:30	30.0	4609
0:10:32	29.9	4616
0:10:34	30.0	4589
0:10:36	30.0	4544
0:10:38	30.0	4548
0:10:40	30.0	4574
0:10:42	30.0	4577
0:10:44	30.0	4571
0:10:46	30.1	4625
0:10:48	30.1	4602
0:10:50	30.1	4606
0:10:52	30.0	4605
0:10:54	30.0	4600
0:10:56	30.0	4600
0:10:58	30.0	4598
0:11:00	30.0	4589
0:11:02	30.0	4573
0:11:04	30.0	4551
0:11:06	30.0	4585
0:11:08	30.0	4559
0:11:10	30.0	4567
0:11:12	30.0	4602
0:11:14	30.0	4567
0:11:16	30.0	4565
0:11:18	30.0	4549
0:11:20	30.0	4589
0:11:22	30.0	4556
0:11:24	30.0	4591
0:11:26	30.0	4591
0:11:28	30.0	4598
0:11:30	30.0	4582
0:11:32	30.0	4580
0:11:34	30.0	4591
0:11:36	30.0	4606
0:11:38	30.0	4567
0:11:40	30.0	4587
0:11:42	30.0	4553
0:11:44	30.0	4577
0:11:46	30.0	4556
0:11:48	30.0	4550
0:11:50	30.0	4601
0:11:52	30.0	4604
0:11:54	30.0	4581
0:11:56	30.0	4582
0:11:58	30.0	4601
0:12:00	30.0	4590

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
B													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
C		-2640000.000											Max V [425,457]
		1.000											R-Squared [425,457]
		0:03:39											t at Max V [425,457]
		0:04:06											Lagtime [425,457]
D													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
E													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
F													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
G													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]
H													Max V [425,457]
													R-Squared [425,457]
													t at Max V [425,457]
													Lagtime [425,457]

