

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190122_GAP_assay3.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	1/22/2019
Time	2:59:28 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 0:35:00 (HH:MM:SS), Interval 0:00:03, 701 Reads
    Read	Fluorescence Endpoint
	C3..C6
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C			SPL1	SPL2	SPL3	SPL4							Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	C3	C4	C5	C6
0:00:00	30.0	3475	3386	3523	3412
0:00:03	30.0	3549	3449	3577	3474
0:00:06	30.0	3653	3516	3675	3559
0:00:09	30.0	3758	3604	3758	3623
0:00:12	30.0	3708	3668	3813	3738
0:00:15	30.0	3753	3711	3914	3795
0:00:18	30.0	3810	3792	3997	3872
0:00:21	30.0	3890	3838	4097	3922
0:00:24	30.0	3985	3906	4194	4028
0:00:27	30.0	4016	3939	4241	4082
0:00:30	30.0	4071	4030	4314	4132
0:00:33	30.1	4165	4089	4385	4213
0:00:36	30.1	4213	4122	4424	4255
0:00:39	30.1	4238	4249	4516	4384
0:00:42	30.0	4309	4245	4575	4408
0:00:45	30.0	4345	4306	4671	4471
0:00:48	30.0	4395	4348	4729	4572
0:00:51	30.0	4443	4425	4786	4580
0:00:54	30.0	4499	4452	4881	4693
0:00:57	30.0	4562	4534	4935	4829
0:01:00	30.0	4580	4620	4983	4828
0:01:03	30.0	4661	4601	5066	4867
0:01:06	30.0	4702	4726	5136	4984
0:01:09	30.0	4720	4697	5141	5091
0:01:12	30.0	4780	4780	5218	5078
0:01:15	30.0	4814	4811	5337	5141
0:01:18	30.0	4843	4861	5350	5228
0:01:21	30.0	4833	4923	5397	5185
0:01:24	30.0	4866	4950	5493	5350
0:01:27	30.0	4941	4977	5545	5380
0:01:30	30.0	4930	5041	5527	5435
0:01:33	30.0	4962	5067	5555	5435
0:01:36	30.0	4997	5113	5721	5513
0:01:39	30.0	4984	5127	5726	5577
0:01:42	30.0	5034	5160	5755	5640
0:01:45	30.0	5024	5208	5766	5724
0:01:48	30.0	5014	5237	5896	5792
0:01:51	30.0	5069	5271	5862	5854
0:01:54	30.0	5115	5250	5898	5858
0:01:57	30.0	5099	5345	5970	5917
0:02:00	30.0	5124	5336	6014	5873
0:02:03	30.0	5142	5344	5964	6043
0:02:06	30.0	5106	5425	6051	6059
0:02:09	30.0	5147	5389	6104	6116
0:02:12	30.0	5172	5454	6087	6134
0:02:15	30.0	5095	5421	6144	6163
0:02:18	30.0	5157	5522	6115	6179
0:02:21	30.0	5193	5495	6163	6247
0:02:24	30.0	5188	5497	6209	6308
0:02:27	30.0	5164	5555	6208	6339
0:02:30	30.0	5236	5533	6244	6385
