

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190123_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	1/23/2019
Time	3:18:42 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:05, 721 Reads
    Read	Fluorescence Endpoint
	G1..G12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL14	Well ID
H													Well ID

425,457

Time	T° 425,457	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12
0:00:00	30.0	3773	3792	3754	3963	5651	5851	5931	6309	6568	6824	6920	7118
0:00:05	30.0	3635	3857	3846	4023	5731	5899	6073	6365	6684	6985	7183	7315
0:00:10	30.0	3658	3883	3868	4109	5875	6038	6212	6530	6878	7208	7353	7434
0:00:15	30.0	3709	3945	3919	4202	5968	6140	6350	6633	7036	7412	7534	7652
0:00:20	30.0	3748	3947	3992	4262	6107	6288	6465	6773	7177	7585	7659	7812
0:00:25	30.0	3799	4025	4066	4360	6199	6352	6569	6914	7321	7613	7953	7982
0:00:30	30.0	3856	4074	4110	4505	6200	6453	6647	7097	7507	7823	8055	8105
0:00:35	30.0	3874	4110	4193	4608	6392	6552	6773	7211	7684	8121	8271	8266
0:00:40	30.0	3919	4177	4226	4743	6493	6630	6894	7271	7861	8295	8414	8379
0:00:45	30.0	3919	4184	4293	4831	6521	6764	6981	7498	7989	8431	8606	8531
0:00:50	30.0	4052	4235	4361	4994	6708	6856	7112	7593	8037	8653	8719	8765
0:00:55	30.0	4107	4260	4389	5104	6702	6932	7293	7738	8261	8736	8950	8909
0:01:00	30.0	4167	4320	4458	5185	6822	7086	7453	7876	8435	8906	9120	9113
0:01:05	30.0	4152	4348	4499	5247	6939	7152	7444	8015	8562	9131	9397	9251
0:01:10	30.0	4163	4407	4590	5250	7029	7260	7614	8101	8760	9290	9490	9473
0:01:15	30.0	4119	4425	4637	5317	7163	7419	7807	8332	8988	9456	9633	9618
0:01:20	30.0	4162	4476	4733	5459	7331	7500	7819	8420	9108	9591	9821	9705
0:01:25	30.0	4168	4561	4744	5556	7414	7569	7986	8605	9281	9843	9997	9946
0:01:30	30.0	4147	4542	4843	5599	7515	7729	8137	8660	9437	10033	10193	10017
0:01:35	30.0	4183	4668	4860	5767	7591	7855	8295	8906	9602	10267	10404	10213
0:01:40	30.0	4240	4640	4966	5885	7748	7925	8293	9027	9789	10377	10577	10418
0:01:45	30.0	4219	4783	4976	5957	7936	8021	8470	9200	9824	10511	10757	10547
0:01:50	30.0	4272	4771	5041	6058	8092	8052	8633	9312	10084	10712	11003	10718
0:01:55	30.0	4304	4869	5120	6105	8207	8278	8750	9465	10221	10926	11196	10795
0:02:00	30.0	4308	4878	5136	6215	8324	8338	8918	9574	10408	11113	11389	11100
0:02:05	30.0	4344	4938	5222	6277	8445	8531	8902	9756	10540	11195	11440	11315
0:02:10	30.0	4355	4977	5288	6329	8554	8673	9093	9883	10726	11430	11625	11400
0:02:15	30.0	4394	5007	5352	6473	8648	8697	9077	10055	10927	11601	11881	11620
0:02:20	30.0	4387	5055	5307	6485	8775	8858	9309	10119	11065	11820	12039	11720
0:02:25	30.0	4423	5122	5402	6542	8903	9066	9378	10296	11311	11910	12236	12040
0:02:30	30.0	4424	5136	5503	6532	8955	9183	9581	10507	11427	12174	12478	12239
0:02:35	30.0	4369	5150	5498	6581	9111	9309	9635	10632	11447	12335	12638	12296
0:02:40	30.0	4371	5171	5497	6661	9085	9624	9735	10687	11770	12582	12832	12632
0:02:45	30.0	4420	5205	5536	6732	9246	9695	9880	10874	11883	12631	12927	12779
0:02:50	30.0	4421	5269	5550	6785	9344	9788	10100	11092	12086	12903	13172	12984
0:02:55	30.0	4450	5228	5654	6844	9410	10040	10091	11188	12164	12969	13247	13261
0:03:00	30.0	4471	5290	5661	6892	9529	10281	10305	11316	12190	13293	13406	13369
0:03:05	30.0	4476	5311	5649	6924	9501	10371	10377	11371	12557	13435	13574	13630
0:03:10	30.0	4491	5345	5726	7027	9506	10499	10610	11617	12718	13629	13769	13818
0:03:15	30.0	4505	5376	5713	7083	9642	10720	10684	11705	12800	13826	13919	13917
0:03:20	30.0	4530	5381	5795	6998	9733	10677	10845	11975	12949	13888	14111	14148
0:03:25	30.0	4576	5391	5767	7063	9762	10950	10882	11952	13160	14232	14393	14263
0:03:30	30.0	4556	5398	5731	7127	9783	11097	11038	12112	13302	14257	14495	14241
0:03:35	30.0	4612	5441	5804	7184	9953	11113	11177	12251	13398	14455	14618	14601
0:03:40	30.0	4562	5450	5855	7249	10000	11408	11160	12456	13759	14673	14740	14766
0:03:45	30.0	4602	5436	5859	7277	10033	11519	11396	12488	13735	15003	14980	15038
0:03:50	30.0	4567	5509	5917	7375	10048	11573	11509	12809	13944	15034	15009	15129
0:03:55	30.0	4619	5496	5873	7374	10143	11586	11646	12922	13992	15411	15076	15195
0:04:00	30.0	4646	5519	5897	7464	10194	11714	11792	12832	14162	15550	15489	15456
0:04:05	30.0	4668	5485	5942	7475	10241	11847	11737	13033	14435	15527	15455	15630
0:04:10	30.0	4699	5523	5969	7549	10355	11878	11944	13094	14598	15906	15749	15668
0:04:15	30.0	4716	5549	5960	7497	10360	12064	12012	13309	14567	16115	15789	15817
0:04:20	30.0	4706	5525	5992	7602	10536	11990	12241	13473	14819	16325	16129	15935
0:04:25	30.0	4697	5587	5967	7656	10581	12161	12137	13472	14888	16408	16219	16232
0:04:30	29.9	4652	5578	6013	7674	10592	12201	12337	13637	15071	16443	16416	16448
0:04:35	30.0	4725	5573	6048	7701	10771	12310	12605	13742	15268	16857	16501	16490
0:04:40	30.0	4729	5650	6032	7722	10782	12422	12582	13911	15336	16761	16752	16616
0:04:45	30.1	4764	5629	6025	7768	10851	12515	12694	14120	15526	17044	16767	16860
0:04:50	30.1	4782	5653	6072	7822	10996	12572	12690	14243	15782	17279	17013	17040
0:04:55	30.0	4762	5624	6078	7868	10837	12540	12976	14317	15928	17532	17290	17210
0:05:00	30.0	4769	5696	6091	7897	10970	12656	12975	14364	16022	17597	17345	17457
0:05:05	30.0	4849	5625	6165	7966	11062	12599	13015	14600	16135	17871	17475	17598
0:05:10	30.0	4783	5684	6145	7906	11149	12859	13207	14685	16344	17846	17745	17785
0:05:15	30.0	4817	5696	6122	7958	11169	12857	13388	14720	16471	18002	17724	18034
0:05:20	30.0	4801	5663	6108	7957	11163	12866	13353	14873	16626	18159	17889	18132
0:05:25	30.0	4863	5727	6147	8063	11364	13090	13501	15012	16579	18534	18117	18451
0:05:30	30.0	4817	5752	6196	8103	11369	13053	13559	15004	17009	18732	18259	18575
0:05:35	30.0	4849	5763	6188	8043	11398	13263	13654	15242	17063	18741	18526	18663
0:05:40	30.1	4863	5663	6197	8158	11407	13249	13645	15253	17049	18835	18592	18782
0:05:45	30.0	4850	5734	6220	8150	11498	13326	13784	15298	17287	19120	18771	18891
0:05:50	30.0	4852	5770	6280	8181	11508	13484	13974	15469	17253	19166	19014	19190
0:05:55	30.0	4887	5709	6197	8288	11489	13326	13913	15523	17643	19461	19077	19285
0:06:00	30.0	4887	5802	6303	8289	11560	13518	13930	15731	17572	19378	19197	19501
0:06:05	30.0	4828	5743	6253	8263	11691	13447	14211	15835	17823	19636	19433	19712
0:06:10	30.0	4849	5766	6325	8296	11636	13511	14309	15958	17798	19888	19761	19825
0:06:15	30.0	4896	5820	6238	8293	11779	13568	14409	15986	17940	19973	19870	19915
0:06:20	30.0	4900	5772	6319	8401	11819	13780	14336	16060	18047	20291	19709	20150
0:06:25	30.0	4963	5799	6355	8460	11761	13753	14430	16317	18205	20123	20074	20339
0:06:30	30.0	4954	5823	6327	8506	11818	13802	14524	16209	18497	20485	20103	20507
0:06:35	30.0	4925	5782	6383	8479	11881	13859	14631	16347	18513	20528	20419	20717
0:06:40	30.0	4997	5864	6381	8432	11909	13951	14833	16534	18780	20727	20474	20621
0:06:45	30.0	4990	5788	6397	8552	11983	14018	14784	16546	18753	20780	20632	21092
0:06:50	30.0	4968	5801	6345	8566	11913	14075	14935	16785	18837	20888	20800	21194
0:06:55	30.0	4990	5840	6442	8621	12007	13979	14987	16739	18945	21286	21111	21265
0:07:00	30.0	4986	5822	6405	8593	11983	14104	14888	16956	19351	21248	21336	21472
0:07:05	30.0	4988	5883	6440	8630	12003	14129	15109	17027	19165	21264	21237	21767
0:07:10	30.0	4963	5789	6404	8649	12006	14269	14953	17201	19471	21586	21482	21814
0:07:15	30.0	4950	5806	6468	8629	12083	14245	15113	17120	19574	21721	21789	21971
0:07:20	30.0	5046	5824	6381	8717	12050	14389	15237	17279	19902	21573	21992	22148
