

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190123_GAP_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	1/23/2019
Time	5:10:30 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:05, 721 Reads
    Read	Fluorescence Endpoint
	A1..A12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
0:00:00	30.0	4370	4905	4974	5120	6564	6524	6591	6767	7045	7294	7362	7633
0:00:05	30.0	4481	4968	5118	5331	6732	6625	6679	6906	7176	7347	7473	7823
0:00:10	30.0	4570	5138	5272	5488	6933	6780	6822	7036	7343	7485	7596	7928
0:00:15	30.0	4633	5254	5350	5678	6979	6837	6944	7131	7415	7632	7724	8184
0:00:20	30.0	4698	5393	5523	5854	7092	7005	7074	7242	7487	7813	7836	8266
0:00:25	30.0	4786	5456	5620	5932	7253	7164	7183	7340	7691	7881	7953	8417
0:00:30	30.0	4822	5478	5763	6098	7420	7166	7296	7524	7763	8084	8026	8674
0:00:35	30.0	4883	5612	5809	6294	7528	7321	7350	7634	7929	8191	8144	8757
0:00:40	30.0	4927	5675	5953	6433	7715	7418	7418	7695	8050	8211	8276	8842
0:00:45	30.0	4937	5740	6032	6586	7805	7585	7619	7863	8132	8376	8380	8938
0:00:50	30.0	5001	5830	6069	6815	7943	7712	7654	7918	8363	8515	8512	9159
0:00:55	30.0	5077	5886	6227	6954	8054	7803	7805	8097	8379	8675	8571	9345
0:01:00	30.0	5074	5970	6192	7119	8241	7953	7947	8223	8606	8806	8720	9445
0:01:05	30.0	5119	5999	6397	7187	8316	8005	8064	8390	8654	8896	8841	9625
0:01:10	30.0	5136	6030	6466	7378	8527	8080	8165	8405	8841	8973	8914	9711
0:01:15	30.0	5155	6008	6539	7610	8589	8210	8191	8582	8974	9235	9043	9865
0:01:20	30.0	5155	6092	6539	7737	8835	8387	8382	8687	9023	9299	9208	9987
0:01:25	30.0	5189	6155	6400	7881	8984	8592	8423	8800	9155	9417	9293	10210
0:01:30	30.0	5148	6140	6506	7971	9121	8683	8522	8978	9379	9682	9280	10364
0:01:35	30.0	5181	6163	6459	8198	9173	8806	8662	9126	9509	9734	9502	10578
