

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190129_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	1/29/2019
Time	11:52:37 AM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 4:00:00 (HH:MM:SS), Interval 0:00:15, 961 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL13	Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	26	16539	25053	17502	29026	24673	18095	15852	18108	23	18	19
0:00:15	30.0	15	16817	25125	17504	29048	24693	18127	15892	18225	19	17	18
0:00:30	30.0	12	17008	25335	17671	28863	24875	18308	16088	18215	18	20	21
0:00:45	30.0	18	16942	25415	17657	28954	25052	18425	15991	18157	17	18	21
0:01:00	30.0	24	17306	25568	17541	28899	25171	18122	16168	18137	17	18	22
0:01:15	30.0	22	17424	25479	17576	28989	25030	18439	16164	18103	21	20	11
0:01:30	30.0	20	17561	25408	17532	29016	25324	18438	16283	18140	12	21	21
0:01:45	29.9	21	17740	25440	17598	28704	25550	18472	16322	18184	19	22	27
0:02:00	30.0	19	17769	25541	17596	28719	25364	18525	16121	18098	21	17	20
0:02:15	30.0	24	17727	25458	17620	28625	25560	18476	16150	18047	25	14	20
0:02:30	30.0	19	18123	25456	17715	28472	25829	18509	16309	17925	21	18	16
0:02:45	30.0	17	18076	25353	17687	28701	25770	18721	16210	18079	23	17	14
0:03:00	30.0	19	18336	25472	17576	28536	26001	18744	16199	17980	17	14	18
0:03:15	30.0	19	18388	25550	17732	28515	26137	18900	16229	17963	12	19	17
