

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190201_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	2/1/2019
Time	2:06:26 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:05, 721 Reads
    Read	Fluorescence Endpoint
	C1..C12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
0:00:00	30.0	3459	3658	3814	3741	3566	5410	5615	5801	5996	6112	6521	4952
0:00:05	30.0	3466	3683	3837	3758	3562	5429	5629	5833	6029	6109	6593	4985
0:00:10	30.0	3488	3723	3856	3793	3593	5461	5698	5888	6072	6187	6661	5018
0:00:15	30.0	3506	3703	3830	3756	3608	5486	5671	5860	6067	6234	6600	4983
0:00:20	30.0	3472	3737	3850	3788	3603	5528	5691	5918	6060	6172	6661	5012
0:00:25	30.0	3498	3716	3869	3835	3594	5531	5734	5955	6096	6262	6653	5023
0:00:30	30.1	3512	3729	3857	3800	3603	5513	5702	5880	6061	6223	6681	5006
0:00:35	30.0	3523	3735	3886	3836	3607	5549	5730	5933	6112	6199	6701	5041
0:00:40	30.0	3497	3741	3889	3876	3589	5547	5733	5938	6150	6292	6687	5040
0:00:45	30.0	3511	3810	3947	3862	3583	5567	5746	5946	6087	6291	6697	5100
0:00:50	30.0	3550	3771	3907	3883	3627	5555	5746	5992	6155	6281	6755	5088
0:00:55	30.0	3520	3808	3925	3829	3632	5581	5721	5931	6112	6304	6738	5035
0:01:00	30.0	3509	3818	3948	3874	3600	5547	5786	5984	6165	6303	6729	5050
0:01:05	30.0	3544	3822	3953	3911	3604	5557	5737	5962	6164	6301	6735	5050
0:01:10	30.0	3549	3814	3956	3920	3617	5596	5722	6031	6226	6359	6737	5087
0:01:15	30.0	3570	3874	3990	3967	3651	5597	5789	6005	6219	6319	6769	5072
0:01:20	30.0	3561	3881	3979	3945	3643	5555	5775	5964	6207	6331	6828	5051
0:01:25	30.0	3606	3869	3990	3992	3626	5571	5797	6032	6303	6384	6776	5056
0:01:30	30.0	3605	3895	3992	3957	3657	5586	5790	6006	6255	6386	6825	5092
0:01:35	30.0	3608	3869	4020	3982	3701	5642	5825	6056	6261	6381	6872	5031
0:01:40	30.0	3605	3901	4040	3999	3648	5682	5783	6097	6278	6476	6859	5092
0:01:45	30.0	3625	3905	4069	4003	3669	5600	5818	6066	6343	6418	6887	5055
0:01:50	30.0	3654	3942	4058	3981	3705	5675	5844	6009	6237	6449	6834	5028
0:01:55	30.0	3634	3918	4134	4069	3716	5635	5838	6079	6249	6456	6834	5058
0:02:00	30.0	3657	3955	4066	4061	3706	5654	5835	6081	6313	6489	6895	5042
0:02:05	30.0	3675	3934	4076	4063	3689	5630	5841	6093	6345	6491	6836	4999
0:02:10	30.0	3634	3957	4084	4125	3731	5715	5815	6147	6306	6518	6882	5020
0:02:15	30.0	3669	3934	4091	4116	3696	5666	5847	6153	6342	6530	6883	5082
0:02:20	30.0	3666	3971	4138	4138	3702	5729	5899	6168	6379	6511	6885	5041
0:02:25	30.0	3705	3941	4148	4136	3715	5686	5872	6183	6393	6512	6876	5068
0:02:30	30.0	3674	3973	4114	4121	3732	5755	5872	6156	6388	6568	6862	5064
0:02:35	30.0	3707	3978	4110	4157	3723	5714	5948	6139	6385	6573	6894	5045
0:02:40	30.0	3703	4005	4117	4188	3742	5752	5928	6185	6419	6561	6906	5070
0:02:45	30.0	3722	3954	4114	4169	3728	5712	5912	6195	6403	6612	6972	5033
0:02:50	30.0	3712	3993	4168	4202	3728	5759	5968	6250	6405	6480	6956	5056
0:02:55	30.0	3710	3968	4129	4190	3723	5760	5923	6157	6435	6578	7086	5040
0:03:00	30.0	3706	4030	4145	4227	3742	5762	5940	6177	6446	6624	6970	5077
0:03:05	30.0	3687	4026	4135	4224	3732	5783	5944	6206	6424	6569	6986	5028
0:03:10	30.0	3732	4004	4167	4212	3723	5780	5961	6209	6447	6634	6976	5041
0:03:15	30.0	3725	4009	4214	4240	3715	5757	6023	6191	6427	6587	7010	5076
0:03:20	30.0	3722	3959	4179	4238	3726	5793	5994	6236	6477	6633	6998	5105
0:03:25	30.0	3684	4043	4152	4224	3729	5762	5983	6232	6529	6672	7067	5061
0:03:30	30.0	3706	4038	4150	4200	3710	5818	6001	6280	6504	6645	7004	5086
0:03:35	30.0	3715	4058	4209	4218	3664	5837	6072	6260	6471	6698	7033	5027
0:03:40	30.0	3682	4052	4148	4279	3727	5808	6039	6255	6493	6755	7065	5091
0:03:45	30.0	3707	4015	4189	4258	3739	5891	5993	6295	6483	6636	7038	5042
0:03:50	30.0	3689	4036	4164	4237	3707	5835	6024	6231	6536	6674	7082	5079
0:03:55	30.0	3722	4072	4214	4269	3690	5764	6053	6264	6507	6666	7151	5054
0:04:00	30.0	3702	4059	4157	4301	3708	5825	6080	6236	6527	6678	7084	5055
0:04:05	30.0	3685	4048	4187	4265	3674	5881	6031	6264	6568	6778	7130	5045
0:04:10	30.0	3639	4118	4232	4294	3698	5836	5993	6285	6568	6764	7084	5087
0:04:15	30.0	3686	4051	4168	4317	3735	5849	6018	6282	6493	6728	7173	5079
0:04:20	30.0	3682	4100	4222	4288	3709	5899	6098	6274	6539	6776	7123	5095
0:04:25	30.0	3717	4060	4225	4346	3707	5851	6067	6288	6585	6754	7176	5070
0:04:30	30.0	3694	4115	4240	4318	3701	5825	6069	6325	6536	6819	7158	5069
0:04:35	30.0	3730	4097	4201	4310	3688	5899	6145	6304	6600	6772	7175	5128
0:04:40	30.0	3691	4124	4279	4338	3682	5880	6079	6344	6590	6797	7202	5098
0:04:45	30.0	3699	4120	4254	4364	3697	5830	6078	6367	6593	6793	7211	5070
0:04:50	30.0	3707	4144	4259	4314	3706	5852	6112	6325	6574	6830	7218	5076
0:04:55	30.0	3694	4176	4265	4405	3730	5899	6113	6353	6624	6797	7182	5065
0:05:00	30.0	3709	4143	4262	4343	3697	5877	6092	6348	6614	6858	7263	5083
0:05:05	30.0	3698	4168	4256	4380	3711	5899	6081	6331	6586	6793	7238	5118
0:05:10	30.0	3735	4112	4283	4359	3702	5911	6110	6344	6645	6836	7213	5105
0:05:15	30.0	3725	4167	4280	4385	3744	5856	6089	6431	6675	6918	7331	5060
0:05:20	30.0	3754	4143	4291	4386	3676	5884	6147	6306	6636	6894	7261	5121
0:05:25	30.0	3730	4161	4309	4341	3701	5924	6113	6343	6647	6833	7245	5070
0:05:30	30.0	3730	4147	4335	4387	3716	5932	6145	6407	6610	6895	7246	5104
0:05:35	30.0	3717	4180	4351	4385	3682	5931	6170	6398	6734	6872	7209	5143
0:05:40	30.0	3741	4195	4317	4410	3709	5939	6122	6410	6695	6950	7318	5108
0:05:45	30.0	3767	4200	4353	4440	3714	5957	6184	6389	6640	6969	7296	5099
0:05:50	30.0	3758	4255	4301	4426	3683	5891	6129	6427	6675	6888	7300	5059
0:05:55	30.0	3764	4166	4335	4403	3683	5918	6141	6456	6686	6929	7351	5060
0:06:00	30.0	3738	4212	4355	4435	3699	5966	6153	6479	6701	6996	7371	5098
0:06:05	30.0	3744	4223	4331	4481	3709	5968	6187	6473	6720	6976	7381	5077
0:06:10	30.0	3771	4185	4377	4463	3713	5935	6184	6435	6718	6942	7436	5119
0:06:15	30.0	3734	4250	4335	4480	3711	5926	6222	6440	6788	6927	7389	5085
0:06:20	30.0	3729	4257	4423	4524	3709	5952	6192	6498	6779	6932	7435	5038
0:06:25	30.0	3746	4268	4385	4528	3697	5966	6231	6500	6783	6995	7401	5109
0:06:30	30.0	3765	4289	4401	4487	3705	5981	6188	6490	6792	7062	7468	5091
0:06:35	30.0	3744	4259	4412	4493	3728	6022	6225	6465	6758	7043	7467	5133
0:06:40	30.0	3778	4273	4375	4500	3717	5913	6197	6467	6766	7079	7511	5075
0:06:45	30.0	3754	4261	4380	4508	3748	5985	6206	6545	6774	7083	7509	5091
0:06:50	30.0	3829	4318	4440	4504	3702	6018	6244	6498	6780	7035	7555	5080
0:06:55	30.0	3809	4271	4454	4529	3687	5982	6186	6487	6793	7107	7506	5119
0:07:00	30.0	3803	4293	4416	4574	3720	5948	6242	6495	6832	7098	7554	5097
0:07:05	30.0	3782	4309	4414	4535	3729	5986	6253	6577	6789	7125	7511	5118
0:07:10	30.0	3799	4315	4446	4579	3729	5964	6318	6547	6815	7085	7511	5060
0:07:15	30.0	3787	4309	4453	4586	3687	5999	6201	6554	6812	7162	7519	5071
0:07:20	30.0	3755	4315	4475	4617	3719	6000	6219	6562	6865	7145	7517	5077
0:07:25	30.0	3789	4314	4458	4605	3723	5963	6302	6564	6845	7097	7514	5049
0:07:30	30.0	3814	4335	4463	4629	3708	5987	6290	6611	6856	7196	7556	5088
0:07:35	30.0	3774	4325	4483	4626	3707	5960	6343	6612	6878	7131	7490	5041
0:07:40	30.0	3827	4325	4502	4630	3701	5981	6331	6564	6866	7169	7554	5118
0:07:45	30.0	3809	4323	4507	4674	3704	6015	6368	6621	6915	7174	7544	5086
0:07:50	30.0	3809	4321	4523	4632	3677	6033	6313	6639	6891	7154	7625	5091
0:07:55	30.0	3784	4376	4512	4665	3748	6027	6320	6541	6897	7213	7613	5094
0:08:00	30.0	3781	4348	4517	4650	3705	6039	6340	6602	6949	7228	7646	5083
0:08:05	30.0	3813	4359	4532	4648	3698	6044	6252	6661	6962	7247	7617	5120
0:08:10	30.0	3844	4357	4528	4658	3693	6047	6319	6625	6905	7175	7654	5025
0:08:15	30.0	3798	4390	4517	4659	3712	6043	6337	6639	6912	7241	7659	5124
0:08:20	30.0	3843	4366	4537	4701	3716	6019	6403	6628	7053	7207	7717	5040
0:08:25	30.0	3771	4368	4535	4701	3691	6034	6377	6657	6912	7241	7710	5070
0:08:30	30.0	3809	4384	4548	4729	3687	6052	6344	6631	6878	7250	7743	5069
0:08:35	30.0	3805	4352	4555	4704	3732	6012	6400	6664	6997	7269	7634	5070
0:08:40	30.0	3772	4353	4556	4762	3751	6069	6353	6652	7005	7284	7710	5059
0:08:45	30.0	3788	4388	4569	4721	3718	6105	6382	6721	6997	7335	7731	5043
0:08:50	30.0	3827	4352	4571	4699	3715	6026	6383	6699	6995	7315	7719	5005
0:08:55	30.0	3798	4337	4595	4775	3688	6082	6389	6676	7041	7276	7673	5038
0:09:00	30.0	3793	4369	4547	4772	3715	6077	6359	6702	7044	7323	7761	5051
0:09:05	30.0	3821	4427	4594	4805	3711	6038	6426	6725	7062	7366	7807	5065
0:09:10	30.0	3815	4420	4586	4772	3749	6119	6428	6697	7074	7409	7777	5085
0:09:15	30.0	3854	4402	4594	4783	3738	6032	6462	6752	7060	7295	7798	5044
0:09:20	30.0	3806	4444	4590	4762	3742	6102	6438	6731	7068	7379	7803	5072
0:09:25	30.0	3847	4456	4608	4819	3698	6100	6445	6754	7016	7478	7806	5073
0:09:30	30.0	3767	4421	4636	4813	3686	6170	6451	6762	7132	7460	7765	5082
0:09:35	30.0	3802	4419	4621	4773	3721	6126	6461	6724	7067	7391	7826	5064
0:09:40	30.0	3804	4477	4587	4857	3714	6077	6521	6797	7080	7484	7803	5069
0:09:45	30.0	3841	4443	4633	4817	3710	6133	6513	6791	7038	7423	7807	5053
0:09:50	30.0	3828	4464	4640	4798	3709	6110	6484	6775	7156	7410	7864	5058
0:09:55	30.0	3841	4451	4608	4827	3697	6090	6524	6787	7131	7422	7829	5071
0:10:00	30.0	3794	4432	4662	4885	3713	6163	6449	6813	7134	7509	7890	5094
0:10:05	30.0	3822	4473	4689	4861	3716	6170	6455	6903	7116	7445	7989	5061
0:10:10	30.0	3814	4441	4685	4877	3667	6214	6494	6784	7118	7443	7836	5013
0:10:15	30.0	3819	4450	4664	4830	3722	6121	6518	6858	7145	7506	7917	5081
0:10:20	30.0	3847	4419	4676	4918	3719	6157	6482	6829	7107	7540	7930	5125
0:10:25	30.0	3825	4468	4687	4877	3694	6152	6513	6869	7169	7556	7885	5025
0:10:30	30.0	3809	4508	4682	4892	3703	6140	6458	6859	7185	7501	7926	5000
0:10:35	30.0	3824	4486	4683	4925	3714	6155	6493	6904	7149	7505	7924	5095
0:10:40	30.0	3827	4450	4710	4944	3760	6227	6520	6877	7198	7602	7989	5102
0:10:45	30.0	3840	4497	4717	4889	3724	6125	6538	6874	7247	7611	7978	5041
