

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190201_GAP_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	2/1/2019
Time	3:39:32 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:05, 721 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.1	3367	3356	3621	3670	3401	5219	5509	5924	6220	6998	7701	4740
0:00:05	30.1	3408	3368	3607	3713	3404	5297	5495	5879	6212	7024	7828	4776
0:00:10	30.0	3439	3370	3610	3698	3412	5278	5512	5933	6225	7036	7760	4777
0:00:15	30.1	3457	3371	3651	3728	3422	5259	5542	5931	6233	7109	7800	4800
0:00:20	30.0	3497	3387	3636	3733	3440	5298	5555	5886	6328	7081	7780	4806
0:00:25	30.0	3479	3424	3681	3763	3450	5293	5589	5911	6328	7107	7850	4848
0:00:30	30.0	3540	3408	3684	3778	3430	5350	5550	5912	6326	7060	7829	4773
0:00:35	30.1	3521	3423	3693	3768	3416	5261	5566	5909	6350	7134	7869	4848
0:00:40	30.0	3504	3414	3684	3786	3428	5348	5645	6002	6311	7085	7891	4808
0:00:45	30.0	3539	3438	3754	3790	3426	5311	5672	5961	6335	7095	7869	4842
0:00:50	30.0	3564	3403	3712	3846	3474	5351	5592	5967	6330	7138	7814	4780
0:00:55	30.0	3555	3431	3692	3872	3478	5365	5616	6008	6335	7131	7885	4811
0:01:00	30.0	3585	3476	3754	3873	3469	5364	5635	6016	6348	7137	7895	4803
