well	sample	conc	450	595	ratio_abs
D8	G	0	0.383	0.335	0.8746736292428199
E8	G	0	0.374	0.327	0.8743315508021391
F6	buffer	0	0.375	0.335	0.8933333333333334
F7	buffer	0	0.375	0.337	0.8986666666666667
F8	G	0	0.381	0.343	0.9002624671916011
D7	F	2.5	0.373	0.359	0.9624664879356568
E7	F	2.5	0.368	0.35	0.9510869565217391
D6	E	5	0.357	0.431	1.207282913165266
E6	E	5	0.368	0.374	1.016304347826087
D5	D	10	0.366	0.618	1.6885245901639345
E5	D	10	0.306	0.534	1.7450980392156865
F5	D	10	0.311	0.546	1.7556270096463025
D4	C	15	0.248	0.699	2.818548387096774
E4	C	15	0.243	0.701	2.8847736625514404
F4	C	15	0.241	0.714	2.962655601659751
D3	B	20	0.225	0.799	3.551111111111111
E3	B	20	0.218	0.781	3.5825688073394497
F3	B	20	0.22	0.791	3.5954545454545457
D2	A	25	0.224	0.896	4
E2	A	25	0.203	0.825	4.064039408866995
F2	A	25	0.205	0.854	4.1658536585365855
