well	sample	conc	450	595	ratio_abs	row	column
D8	G	0	0.439	0.345	0.785876993166287	D	8
D9	buffer	0	0.431	0.361	0.8375870069605569	D	9
E8	G	0	0.448	0.337	0.7522321428571429	E	8
E9	buffer	0	0.432	0.363	0.8402777777777778	E	9
F8	G	0	0.477	0.355	0.7442348008385744	F	8
F9	buffer	0	0.459	0.368	0.8017429193899782	F	9
D7	F	2.5	0.453	0.359	0.792494481236203	D	7
E7	F	2.5	0.44	0.364	0.8272727272727273	E	7
F7	F	2.5	0.45	0.378	0.84	F	7
D6	E	5	0.435	0.399	0.9172413793103449	D	6
E6	E	5	0.421	0.408	0.9691211401425178	E	6
F6	E	5	0.442	0.412	0.9321266968325791	F	6
D5	D	10	0.413	0.467	1.1307506053268765	D	5
E5	D	10	0.406	0.474	1.1674876847290638	E	5
F5	D	10	0.421	0.49	1.163895486935867	F	5
D4	C	15	0.395	0.521	1.3189873417721518	D	4
E4	C	15	0.361	0.577	1.598337950138504	E	4
F4	C	15	0.426	0.476	1.1173708920187793	F	4
D3	B	20	0.39	0.546	1.4000000000000001	D	3
E3	B	20	0.34	0.645	1.8970588235294117	E	3
F3	B	20	0.425	0.511	1.2023529411764706	F	3
D2	A	25	0.375	0.587	1.5653333333333332	D	2
E2	A	25	0.343	0.65	1.8950437317784257	E	2
F2	A	25	0.418	0.523	1.2511961722488039	F	2
