condition	Time	fluorescence
20190212-PE20_K132H-E11-8-1-20	0	6348
20190212-PE20_K132H-E11-8-1-20	5	6342
20190212-PE20_K132H-E11-8-1-20	10	6447
20190212-PE20_K132H-E11-8-1-20	15	6538
20190212-PE20_K132H-E11-8-1-20	20	6569
20190212-PE20_K132H-E11-8-1-20	25	6608
20190212-PE20_K132H-E11-8-1-20	30	6643
20190212-PE20_K132H-E11-8-1-20	35	6664
20190212-PE20_K132H-E11-8-1-20	40	6667
20190212-PE20_K132H-E11-8-1-20	45	6648
20190212-PE20_K132H-E11-8-1-20	50	6670
20190212-PE20_K132H-E11-8-1-20	55	6767
20190212-PE20_K132H-E11-8-1-20	60	6782
20190212-PE20_K132H-E11-8-1-20	65	6775
20190212-PE20_K132H-E11-8-1-20	70	6823
20190212-PE20_K132H-E11-8-1-20	75	6843
20190212-PE20_K132H-E11-8-1-20	80	6971
20190212-PE20_K132H-E11-8-1-20	85	6952
20190212-PE20_K132H-E11-8-1-20	90	6976
20190212-PE20_K132H-E11-8-1-20	95	7074
20190212-PE20_K132H-E11-8-1-20	100	7093
20190212-PE20_K132H-E11-8-1-20	105	7106
20190212-PE20_K132H-E11-8-1-20	110	7121
20190212-PE20_K132H-E11-8-1-20	115	7159
20190212-PE20_K132H-E11-8-1-20	120	7161
20190212-PE20_K132H-E11-8-1-20	125	7244
20190212-PE20_K132H-E11-8-1-20	130	7246
20190212-PE20_K132H-E11-8-1-20	135	7203
20190212-PE20_K132H-E11-8-1-20	140	7341
20190212-PE20_K132H-E11-8-1-20	145	7366
20190212-PE20_K132H-E11-8-1-20	150	7372
20190212-PE20_K132H-E11-8-1-20	155	7468
20190212-PE20_K132H-E11-8-1-20	160	7433
20190212-PE20_K132H-E11-8-1-20	165	7465
20190212-PE20_K132H-E11-8-1-20	170	7537
20190212-PE20_K132H-E11-8-1-20	175	7553
20190212-PE20_K132H-E11-8-1-20	180	7594
20190212-PE20_K132H-E11-8-1-20	185	7556
20190212-PE20_K132H-E11-8-1-20	190	7651
20190212-PE20_K132H-E11-8-1-20	195	7672
20190212-PE20_K132H-E11-8-1-20	200	7732
20190212-PE20_K132H-E11-8-1-20	205	7741
20190212-PE20_K132H-E11-8-1-20	210	7796
20190212-PE20_K132H-E11-8-1-20	215	7831
20190212-PE20_K132H-E11-8-1-20	220	7859
20190212-PE20_K132H-E11-8-1-20	225	7847
20190212-PE20_K132H-E11-8-1-20	230	7916
20190212-PE20_K132H-E11-8-1-20	235	7915
20190212-PE20_K132H-E11-8-1-20	240	7960
20190212-PE20_K132H-E11-8-1-20	245	7936
20190212-PE20_K132H-E11-8-1-20	250	7990
20190212-PE20_K132H-E11-8-1-20	255	8079
20190212-PE20_K132H-E11-8-1-20	260	8125
20190212-PE20_K132H-E11-8-1-20	265	8141
20190212-PE20_K132H-E11-8-1-20	270	8164
20190212-PE20_K132H-E11-8-1-20	275	8259
20190212-PE20_K132H-E11-8-1-20	280	8286
20190212-PE20_K132H-E11-8-1-20	285	8358
20190212-PE20_K132H-E11-8-1-20	290	8349
20190212-PE20_K132H-E11-8-1-20	295	8439
20190212-PE20_K132H-E11-8-1-20	300	8394
20190212-PE20_K132H-E11-8-1-20	305	8445
20190212-PE20_K132H-E11-8-1-20	310	8450
20190212-PE20_K132H-E11-8-1-20	315	8491
20190212-PE20_K132H-E11-8-1-20	320	8539
20190212-PE20_K132H-E11-8-1-20	325	8525
20190212-PE20_K132H-E11-8-1-20	330	8596
20190212-PE20_K132H-E11-8-1-20	335	8689
20190212-PE20_K132H-E11-8-1-20	340	8724
20190212-PE20_K132H-E11-8-1-20	345	8730
20190212-PE20_K132H-E11-8-1-20	350	8807
20190212-PE20_K132H-E11-8-1-20	355	8805
20190212-PE20_K132H-E11-8-1-20	360	8774
20190212-PE20_K132H-E11-8-1-20	365	8865
20190212-PE20_K132H-E11-8-1-20	370	8832
20190212-PE20_K132H-E11-8-1-20	375	8867
20190212-PE20_K132H-E11-8-1-20	380	9038
20190212-PE20_K132H-E11-8-1-20	385	8989
20190212-PE20_K132H-E11-8-1-20	390	9091
20190212-PE20_K132H-E11-8-1-20	395	9074
20190212-PE20_K132H-E11-8-1-20	400	9113
20190212-PE20_K132H-E11-8-1-20	405	9218
20190212-PE20_K132H-E11-8-1-20	410	9225
20190212-PE20_K132H-E11-8-1-20	415	9226
20190212-PE20_K132H-E11-8-1-20	420	9286
20190212-PE20_K132H-E11-8-1-20	425	9303
20190212-PE20_K132H-E11-8-1-20	430	9340
20190212-PE20_K132H-E11-8-1-20	435	9349
20190212-PE20_K132H-E11-8-1-20	440	9419
20190212-PE20_K132H-E11-8-1-20	445	9494
20190212-PE20_K132H-E11-8-1-20	450	9473
20190212-PE20_K132H-E11-8-1-20	455	9479
20190212-PE20_K132H-E11-8-1-20	460	9578
20190212-PE20_K132H-E11-8-1-20	465	9597
20190212-PE20_K132H-E11-8-1-20	470	9612
20190212-PE20_K132H-E11-8-1-20	475	9675
20190212-PE20_K132H-E11-8-1-20	480	9750
20190212-PE20_K132H-E11-8-1-20	485	9707
20190212-PE20_K132H-E11-8-1-20	490	9760
20190212-PE20_K132H-E11-8-1-20	495	9766
20190212-PE20_K132H-E11-8-1-20	500	9940
20190212-PE20_K132H-E11-8-1-20	505	9792
20190212-PE20_K132H-E11-8-1-20	510	9997
20190212-PE20_K132H-E11-8-1-20	515	9922
20190212-PE20_K132H-E11-8-1-20	520	9964
20190212-PE20_K132H-E11-8-1-20	525	9979
20190212-PE20_K132H-E11-8-1-20	530	10072
