condition	Time	fluorescence
20190212-PE4_R108L-E3-8-1-20	0	6100
20190212-PE4_R108L-E3-8-1-20	5	6153
20190212-PE4_R108L-E3-8-1-20	10	6221
20190212-PE4_R108L-E3-8-1-20	15	6289
20190212-PE4_R108L-E3-8-1-20	20	6353
20190212-PE4_R108L-E3-8-1-20	25	6375
20190212-PE4_R108L-E3-8-1-20	30	6382
20190212-PE4_R108L-E3-8-1-20	35	6489
20190212-PE4_R108L-E3-8-1-20	40	6478
20190212-PE4_R108L-E3-8-1-20	45	6542
20190212-PE4_R108L-E3-8-1-20	50	6562
20190212-PE4_R108L-E3-8-1-20	55	6597
20190212-PE4_R108L-E3-8-1-20	60	6695
20190212-PE4_R108L-E3-8-1-20	65	6676
20190212-PE4_R108L-E3-8-1-20	70	6779
20190212-PE4_R108L-E3-8-1-20	75	6788
20190212-PE4_R108L-E3-8-1-20	80	6859
20190212-PE4_R108L-E3-8-1-20	85	6885
20190212-PE4_R108L-E3-8-1-20	90	6932
20190212-PE4_R108L-E3-8-1-20	95	6940
20190212-PE4_R108L-E3-8-1-20	100	6992
20190212-PE4_R108L-E3-8-1-20	105	7062
20190212-PE4_R108L-E3-8-1-20	110	7142
20190212-PE4_R108L-E3-8-1-20	115	7163
20190212-PE4_R108L-E3-8-1-20	120	7210
20190212-PE4_R108L-E3-8-1-20	125	7294
20190212-PE4_R108L-E3-8-1-20	130	7290
20190212-PE4_R108L-E3-8-1-20	135	7382
20190212-PE4_R108L-E3-8-1-20	140	7420
20190212-PE4_R108L-E3-8-1-20	145	7479
20190212-PE4_R108L-E3-8-1-20	150	7516
20190212-PE4_R108L-E3-8-1-20	155	7533
20190212-PE4_R108L-E3-8-1-20	160	7581
20190212-PE4_R108L-E3-8-1-20	165	7624
20190212-PE4_R108L-E3-8-1-20	170	7704
20190212-PE4_R108L-E3-8-1-20	175	7753
20190212-PE4_R108L-E3-8-1-20	180	7782
20190212-PE4_R108L-E3-8-1-20	185	7834
20190212-PE4_R108L-E3-8-1-20	190	7846
20190212-PE4_R108L-E3-8-1-20	195	7891
20190212-PE4_R108L-E3-8-1-20	200	7887
20190212-PE4_R108L-E3-8-1-20	205	7983
20190212-PE4_R108L-E3-8-1-20	210	7953
20190212-PE4_R108L-E3-8-1-20	215	8054
20190212-PE4_R108L-E3-8-1-20	220	8132
20190212-PE4_R108L-E3-8-1-20	225	8179
20190212-PE4_R108L-E3-8-1-20	230	8164
20190212-PE4_R108L-E3-8-1-20	235	8275
20190212-PE4_R108L-E3-8-1-20	240	8270
20190212-PE4_R108L-E3-8-1-20	245	8257
20190212-PE4_R108L-E3-8-1-20	250	8296
20190212-PE4_R108L-E3-8-1-20	255	8338
20190212-PE4_R108L-E3-8-1-20	260	8387
20190212-PE4_R108L-E3-8-1-20	265	8461
20190212-PE4_R108L-E3-8-1-20	270	8550
20190212-PE4_R108L-E3-8-1-20	275	8535
20190212-PE4_R108L-E3-8-1-20	280	8707
20190212-PE4_R108L-E3-8-1-20	285	8615
20190212-PE4_R108L-E3-8-1-20	290	8711
20190212-PE4_R108L-E3-8-1-20	295	8743
20190212-PE4_R108L-E3-8-1-20	300	8725
20190212-PE4_R108L-E3-8-1-20	305	8928
20190212-PE4_R108L-E3-8-1-20	310	8759
20190212-PE4_R108L-E3-8-1-20	315	8878
20190212-PE4_R108L-E3-8-1-20	320	8883
20190212-PE4_R108L-E3-8-1-20	325	8931
20190212-PE4_R108L-E3-8-1-20	330	9040
20190212-PE4_R108L-E3-8-1-20	335	9070
20190212-PE4_R108L-E3-8-1-20	340	9077
20190212-PE4_R108L-E3-8-1-20	345	9155
20190212-PE4_R108L-E3-8-1-20	350	9154
20190212-PE4_R108L-E3-8-1-20	355	9270
20190212-PE4_R108L-E3-8-1-20	360	9250
20190212-PE4_R108L-E3-8-1-20	365	9384
20190212-PE4_R108L-E3-8-1-20	370	9362
20190212-PE4_R108L-E3-8-1-20	375	9431
20190212-PE4_R108L-E3-8-1-20	380	9533
20190212-PE4_R108L-E3-8-1-20	385	9505
20190212-PE4_R108L-E3-8-1-20	390	9602
20190212-PE4_R108L-E3-8-1-20	395	9645
20190212-PE4_R108L-E3-8-1-20	400	9659
20190212-PE4_R108L-E3-8-1-20	405	9680
20190212-PE4_R108L-E3-8-1-20	410	9655
20190212-PE4_R108L-E3-8-1-20	415	9768
20190212-PE4_R108L-E3-8-1-20	420	9752
20190212-PE4_R108L-E3-8-1-20	425	9914
20190212-PE4_R108L-E3-8-1-20	430	9988
20190212-PE4_R108L-E3-8-1-20	435	10006
20190212-PE4_R108L-E3-8-1-20	440	10000
20190212-PE4_R108L-E3-8-1-20	445	10073
20190212-PE4_R108L-E3-8-1-20	450	10081
20190212-PE4_R108L-E3-8-1-20	455	10059
20190212-PE4_R108L-E3-8-1-20	460	10184
20190212-PE4_R108L-E3-8-1-20	465	10170
20190212-PE4_R108L-E3-8-1-20	470	10266
20190212-PE4_R108L-E3-8-1-20	475	10274
20190212-PE4_R108L-E3-8-1-20	480	10374
20190212-PE4_R108L-E3-8-1-20	485	10341
20190212-PE4_R108L-E3-8-1-20	490	10539
20190212-PE4_R108L-E3-8-1-20	495	10466
20190212-PE4_R108L-E3-8-1-20	500	10532
20190212-PE4_R108L-E3-8-1-20	505	10556
20190212-PE4_R108L-E3-8-1-20	510	10718
20190212-PE4_R108L-E3-8-1-20	515	10725
20190212-PE4_R108L-E3-8-1-20	520	10804
20190212-PE4_R108L-E3-8-1-20	525	10782
20190212-PE4_R108L-E3-8-1-20	530	10871
20190212-PE4_R108L-E3-8-1-20	535	10846
20190212-PE4_R108L-E3-8-1-20	540	11032
20190212-PE4_R108L-E3-8-1-20	545	10900
20190212-PE4_R108L-E3-8-1-20	550	11143
20190212-PE4_R108L-E3-8-1-20	555	11051
20190212-PE4_R108L-E3-8-1-20	560	11155
20190212-PE4_R108L-E3-8-1-20	565	11227
20190212-PE4_R108L-E3-8-1-20	570	11285
20190212-PE4_R108L-E3-8-1-20	575	11396
20190212-PE4_R108L-E3-8-1-20	580	11429
20190212-PE4_R108L-E3-8-1-20	585	11386
20190212-PE4_R108L-E3-8-1-20	590	11485
20190212-PE4_R108L-E3-8-1-20	595	11501
20190212-PE4_R108L-E3-8-1-20	600	11629
20190212-PE4_R108L-E3-8-1-20	605	11514
20190212-PE4_R108L-E3-8-1-20	610	11674
20190212-PE4_R108L-E3-8-1-20	615	11664
20190212-PE4_R108L-E3-8-1-20	620	11785
20190212-PE4_R108L-E3-8-1-20	625	11753
20190212-PE4_R108L-E3-8-1-20	630	11865
20190212-PE4_R108L-E3-8-1-20	635	11879
20190212-PE4_R108L-E3-8-1-20	640	11937
20190212-PE4_R108L-E3-8-1-20	645	11944
20190212-PE4_R108L-E3-8-1-20	650	11943
20190212-PE4_R108L-E3-8-1-20	655	12077
20190212-PE4_R108L-E3-8-1-20	660	12049
20190212-PE4_R108L-E3-8-1-20	665	12112
20190212-PE4_R108L-E3-8-1-20	670	12092
20190212-PE4_R108L-E3-8-1-20	675	12123
20190212-PE4_R108L-E3-8-1-20	680	12231
20190212-PE4_R108L-E3-8-1-20	685	12261
20190212-PE4_R108L-E3-8-1-20	690	12355
20190212-PE4_R108L-E3-8-1-20	695	12477
20190212-PE4_R108L-E3-8-1-20	700	12405
20190212-PE4_R108L-E3-8-1-20	705	12493
20190212-PE4_R108L-E3-8-1-20	710	12484
20190212-PE4_R108L-E3-8-1-20	715	12520
20190212-PE4_R108L-E3-8-1-20	720	12686
20190212-PE4_R108L-E3-8-1-20	725	12623
20190212-PE4_R108L-E3-8-1-20	730	12777
20190212-PE4_R108L-E3-8-1-20	735	12774
20190212-PE4_R108L-E3-8-1-20	740	12811
20190212-PE4_R108L-E3-8-1-20	745	12792
20190212-PE4_R108L-E3-8-1-20	750	12879
20190212-PE4_R108L-E3-8-1-20	755	13021
20190212-PE4_R108L-E3-8-1-20	760	12953
20190212-PE4_R108L-E3-8-1-20	765	13028
20190212-PE4_R108L-E3-8-1-20	770	13093
20190212-PE4_R108L-E3-8-1-20	775	13135
20190212-PE4_R108L-E3-8-1-20	780	13008
20190212-PE4_R108L-E3-8-1-20	785	13131
20190212-PE4_R108L-E3-8-1-20	790	13225
20190212-PE4_R108L-E3-8-1-20	795	13318
20190212-PE4_R108L-E3-8-1-20	800	13438
20190212-PE4_R108L-E3-8-1-20	805	13462
20190212-PE4_R108L-E3-8-1-20	810	13527
20190212-PE4_R108L-E3-8-1-20	815	13544
20190212-PE4_R108L-E3-8-1-20	820	13403
20190212-PE4_R108L-E3-8-1-20	825	13677
20190212-PE4_R108L-E3-8-1-20	830	13618
20190212-PE4_R108L-E3-8-1-20	835	13639
