condition	Time	fluorescence
20190212-PE5_R108A-C9-8-1-20	0	6423
20190212-PE5_R108A-C9-8-1-20	4	6533
20190212-PE5_R108A-C9-8-1-20	8	6600
20190212-PE5_R108A-C9-8-1-20	12	6688
20190212-PE5_R108A-C9-8-1-20	16	6736
20190212-PE5_R108A-C9-8-1-20	20	6772
20190212-PE5_R108A-C9-8-1-20	24	6771
20190212-PE5_R108A-C9-8-1-20	28	6944
20190212-PE5_R108A-C9-8-1-20	32	7008
20190212-PE5_R108A-C9-8-1-20	36	6969
20190212-PE5_R108A-C9-8-1-20	40	7105
20190212-PE5_R108A-C9-8-1-20	44	7062
20190212-PE5_R108A-C9-8-1-20	48	7329
20190212-PE5_R108A-C9-8-1-20	52	7223
20190212-PE5_R108A-C9-8-1-20	56	7323
20190212-PE5_R108A-C9-8-1-20	60	7423
20190212-PE5_R108A-C9-8-1-20	64	7459
20190212-PE5_R108A-C9-8-1-20	68	7493
20190212-PE5_R108A-C9-8-1-20	72	7594
20190212-PE5_R108A-C9-8-1-20	76	7683
20190212-PE5_R108A-C9-8-1-20	80	7667
20190212-PE5_R108A-C9-8-1-20	84	7680
20190212-PE5_R108A-C9-8-1-20	88	7818
20190212-PE5_R108A-C9-8-1-20	92	7795
20190212-PE5_R108A-C9-8-1-20	96	7845
20190212-PE5_R108A-C9-8-1-20	100	7909
20190212-PE5_R108A-C9-8-1-20	104	8006
20190212-PE5_R108A-C9-8-1-20	108	8011
20190212-PE5_R108A-C9-8-1-20	112	8084
20190212-PE5_R108A-C9-8-1-20	116	8207
20190212-PE5_R108A-C9-8-1-20	120	8220
20190212-PE5_R108A-C9-8-1-20	124	8269
20190212-PE5_R108A-C9-8-1-20	128	8320
20190212-PE5_R108A-C9-8-1-20	132	8354
20190212-PE5_R108A-C9-8-1-20	136	8472
20190212-PE5_R108A-C9-8-1-20	140	8498
20190212-PE5_R108A-C9-8-1-20	144	8577
20190212-PE5_R108A-C9-8-1-20	148	8690
20190212-PE5_R108A-C9-8-1-20	152	8591
20190212-PE5_R108A-C9-8-1-20	156	8773
20190212-PE5_R108A-C9-8-1-20	160	8812
20190212-PE5_R108A-C9-8-1-20	164	8902
20190212-PE5_R108A-C9-8-1-20	168	8960
20190212-PE5_R108A-C9-8-1-20	172	8941
20190212-PE5_R108A-C9-8-1-20	176	9124
20190212-PE5_R108A-C9-8-1-20	180	9103
20190212-PE5_R108A-C9-8-1-20	184	9158
20190212-PE5_R108A-C9-8-1-20	188	9233
20190212-PE5_R108A-C9-8-1-20	192	9202
20190212-PE5_R108A-C9-8-1-20	196	9379
20190212-PE5_R108A-C9-8-1-20	200	9380
20190212-PE5_R108A-C9-8-1-20	204	9501
20190212-PE5_R108A-C9-8-1-20	208	9456
20190212-PE5_R108A-C9-8-1-20	212	9636
20190212-PE5_R108A-C9-8-1-20	216	9563
20190212-PE5_R108A-C9-8-1-20	220	9740
20190212-PE5_R108A-C9-8-1-20	224	9718
20190212-PE5_R108A-C9-8-1-20	228	9903
20190212-PE5_R108A-C9-8-1-20	232	9899
20190212-PE5_R108A-C9-8-1-20	236	9938
20190212-PE5_R108A-C9-8-1-20	240	10005
20190212-PE5_R108A-C9-8-1-20	244	10091
20190212-PE5_R108A-C9-8-1-20	248	10043
20190212-PE5_R108A-C9-8-1-20	252	10118
20190212-PE5_R108A-C9-8-1-20	256	10202
20190212-PE5_R108A-C9-8-1-20	260	10275
20190212-PE5_R108A-C9-8-1-20	264	10419
20190212-PE5_R108A-C9-8-1-20	268	10524
20190212-PE5_R108A-C9-8-1-20	272	10460
20190212-PE5_R108A-C9-8-1-20	276	10575
20190212-PE5_R108A-C9-8-1-20	280	10573
20190212-PE5_R108A-C9-8-1-20	284	10695
20190212-PE5_R108A-C9-8-1-20	288	10762
20190212-PE5_R108A-C9-8-1-20	292	10767
20190212-PE5_R108A-C9-8-1-20	296	10888
20190212-PE5_R108A-C9-8-1-20	300	10859
