condition	Time	fluorescence
20190212-PE7_Q147E-E5-8-1-20	0	6048
20190212-PE7_Q147E-E5-8-1-20	5	6108
20190212-PE7_Q147E-E5-8-1-20	10	6166
20190212-PE7_Q147E-E5-8-1-20	15	6193
20190212-PE7_Q147E-E5-8-1-20	20	6275
20190212-PE7_Q147E-E5-8-1-20	25	6341
20190212-PE7_Q147E-E5-8-1-20	30	6343
20190212-PE7_Q147E-E5-8-1-20	35	6424
20190212-PE7_Q147E-E5-8-1-20	40	6538
20190212-PE7_Q147E-E5-8-1-20	45	6616
20190212-PE7_Q147E-E5-8-1-20	50	6624
20190212-PE7_Q147E-E5-8-1-20	55	6734
20190212-PE7_Q147E-E5-8-1-20	60	6730
20190212-PE7_Q147E-E5-8-1-20	65	6832
20190212-PE7_Q147E-E5-8-1-20	70	6865
20190212-PE7_Q147E-E5-8-1-20	75	6862
20190212-PE7_Q147E-E5-8-1-20	80	7033
20190212-PE7_Q147E-E5-8-1-20	85	7051
20190212-PE7_Q147E-E5-8-1-20	90	7062
20190212-PE7_Q147E-E5-8-1-20	95	7207
20190212-PE7_Q147E-E5-8-1-20	100	7247
20190212-PE7_Q147E-E5-8-1-20	105	7345
20190212-PE7_Q147E-E5-8-1-20	110	7372
20190212-PE7_Q147E-E5-8-1-20	115	7420
20190212-PE7_Q147E-E5-8-1-20	120	7447
20190212-PE7_Q147E-E5-8-1-20	125	7557
20190212-PE7_Q147E-E5-8-1-20	130	7606
20190212-PE7_Q147E-E5-8-1-20	135	7645
20190212-PE7_Q147E-E5-8-1-20	140	7683
20190212-PE7_Q147E-E5-8-1-20	145	7845
20190212-PE7_Q147E-E5-8-1-20	150	7854
20190212-PE7_Q147E-E5-8-1-20	155	7872
20190212-PE7_Q147E-E5-8-1-20	160	7962
20190212-PE7_Q147E-E5-8-1-20	165	8076
20190212-PE7_Q147E-E5-8-1-20	170	8142
20190212-PE7_Q147E-E5-8-1-20	175	8197
20190212-PE7_Q147E-E5-8-1-20	180	8240
20190212-PE7_Q147E-E5-8-1-20	185	8240
20190212-PE7_Q147E-E5-8-1-20	190	8361
20190212-PE7_Q147E-E5-8-1-20	195	8378
20190212-PE7_Q147E-E5-8-1-20	200	8464
20190212-PE7_Q147E-E5-8-1-20	205	8554
20190212-PE7_Q147E-E5-8-1-20	210	8607
20190212-PE7_Q147E-E5-8-1-20	215	8709
20190212-PE7_Q147E-E5-8-1-20	220	8756
20190212-PE7_Q147E-E5-8-1-20	225	8757
20190212-PE7_Q147E-E5-8-1-20	230	8795
20190212-PE7_Q147E-E5-8-1-20	235	8992
20190212-PE7_Q147E-E5-8-1-20	240	9024
20190212-PE7_Q147E-E5-8-1-20	245	9099
20190212-PE7_Q147E-E5-8-1-20	250	9119
20190212-PE7_Q147E-E5-8-1-20	255	9245
20190212-PE7_Q147E-E5-8-1-20	260	9285
20190212-PE7_Q147E-E5-8-1-20	265	9275
20190212-PE7_Q147E-E5-8-1-20	270	9368
20190212-PE7_Q147E-E5-8-1-20	275	9360
20190212-PE7_Q147E-E5-8-1-20	280	9568
20190212-PE7_Q147E-E5-8-1-20	285	9617
20190212-PE7_Q147E-E5-8-1-20	290	9684
20190212-PE7_Q147E-E5-8-1-20	295	9673
20190212-PE7_Q147E-E5-8-1-20	300	9775
20190212-PE7_Q147E-E5-8-1-20	305	9775
20190212-PE7_Q147E-E5-8-1-20	310	9891
20190212-PE7_Q147E-E5-8-1-20	315	9853
20190212-PE7_Q147E-E5-8-1-20	320	9978
20190212-PE7_Q147E-E5-8-1-20	325	10015
20190212-PE7_Q147E-E5-8-1-20	330	10136
20190212-PE7_Q147E-E5-8-1-20	335	10148
20190212-PE7_Q147E-E5-8-1-20	340	10224
20190212-PE7_Q147E-E5-8-1-20	345	10325
20190212-PE7_Q147E-E5-8-1-20	350	10307
20190212-PE7_Q147E-E5-8-1-20	355	10433
20190212-PE7_Q147E-E5-8-1-20	360	10479
20190212-PE7_Q147E-E5-8-1-20	365	10525
20190212-PE7_Q147E-E5-8-1-20	370	10547
20190212-PE7_Q147E-E5-8-1-20	375	10615
20190212-PE7_Q147E-E5-8-1-20	380	10651
20190212-PE7_Q147E-E5-8-1-20	385	10746
20190212-PE7_Q147E-E5-8-1-20	390	10759
20190212-PE7_Q147E-E5-8-1-20	395	10873
20190212-PE7_Q147E-E5-8-1-20	400	10919
20190212-PE7_Q147E-E5-8-1-20	405	11023
20190212-PE7_Q147E-E5-8-1-20	410	11115
20190212-PE7_Q147E-E5-8-1-20	415	11161
20190212-PE7_Q147E-E5-8-1-20	420	11223
20190212-PE7_Q147E-E5-8-1-20	425	11272
20190212-PE7_Q147E-E5-8-1-20	430	11190
20190212-PE7_Q147E-E5-8-1-20	435	11275
20190212-PE7_Q147E-E5-8-1-20	440	11354
20190212-PE7_Q147E-E5-8-1-20	445	11330
20190212-PE7_Q147E-E5-8-1-20	450	11548
20190212-PE7_Q147E-E5-8-1-20	455	11605
20190212-PE7_Q147E-E5-8-1-20	460	11651
20190212-PE7_Q147E-E5-8-1-20	465	11735
20190212-PE7_Q147E-E5-8-1-20	470	11839
20190212-PE7_Q147E-E5-8-1-20	475	11777
20190212-PE7_Q147E-E5-8-1-20	480	11941
20190212-PE7_Q147E-E5-8-1-20	485	11996
20190212-PE7_Q147E-E5-8-1-20	490	11986
20190212-PE7_Q147E-E5-8-1-20	495	12097
20190212-PE7_Q147E-E5-8-1-20	500	12286
20190212-PE7_Q147E-E5-8-1-20	505	12128
20190212-PE7_Q147E-E5-8-1-20	510	12308
20190212-PE7_Q147E-E5-8-1-20	515	12395
20190212-PE7_Q147E-E5-8-1-20	520	12353
20190212-PE7_Q147E-E5-8-1-20	525	12444
20190212-PE7_Q147E-E5-8-1-20	530	12567
20190212-PE7_Q147E-E5-8-1-20	535	12532
20190212-PE7_Q147E-E5-8-1-20	540	12584
20190212-PE7_Q147E-E5-8-1-20	545	12596
20190212-PE7_Q147E-E5-8-1-20	550	12771
20190212-PE7_Q147E-E5-8-1-20	555	12799
20190212-PE7_Q147E-E5-8-1-20	560	12835
20190212-PE7_Q147E-E5-8-1-20	565	12822
20190212-PE7_Q147E-E5-8-1-20	570	13069
20190212-PE7_Q147E-E5-8-1-20	575	13103
20190212-PE7_Q147E-E5-8-1-20	580	13088
20190212-PE7_Q147E-E5-8-1-20	585	13268
20190212-PE7_Q147E-E5-8-1-20	590	13254
20190212-PE7_Q147E-E5-8-1-20	595	13376
20190212-PE7_Q147E-E5-8-1-20	600	13241
20190212-PE7_Q147E-E5-8-1-20	605	13409
20190212-PE7_Q147E-E5-8-1-20	610	13453
20190212-PE7_Q147E-E5-8-1-20	615	13520
20190212-PE7_Q147E-E5-8-1-20	620	13602
20190212-PE7_Q147E-E5-8-1-20	625	13649
20190212-PE7_Q147E-E5-8-1-20	630	13753
20190212-PE7_Q147E-E5-8-1-20	635	13774
20190212-PE7_Q147E-E5-8-1-20	640	13778
20190212-PE7_Q147E-E5-8-1-20	645	13811
20190212-PE7_Q147E-E5-8-1-20	650	13929
20190212-PE7_Q147E-E5-8-1-20	655	14053
20190212-PE7_Q147E-E5-8-1-20	660	14030
20190212-PE7_Q147E-E5-8-1-20	665	14076
20190212-PE7_Q147E-E5-8-1-20	670	14181
20190212-PE7_Q147E-E5-8-1-20	675	14081
20190212-PE7_Q147E-E5-8-1-20	680	14354
20190212-PE7_Q147E-E5-8-1-20	685	14336
20190212-PE7_Q147E-E5-8-1-20	690	14376
