condition	Time	fluorescence
20190213-PE10_G80A-A3-8-1-20	0	6477
20190213-PE10_G80A-A3-8-1-20	5	6561
20190213-PE10_G80A-A3-8-1-20	10	6561
20190213-PE10_G80A-A3-8-1-20	15	6618
20190213-PE10_G80A-A3-8-1-20	20	6653
20190213-PE10_G80A-A3-8-1-20	25	6669
20190213-PE10_G80A-A3-8-1-20	30	6684
20190213-PE10_G80A-A3-8-1-20	35	6706
20190213-PE10_G80A-A3-8-1-20	40	6775
20190213-PE10_G80A-A3-8-1-20	45	6813
20190213-PE10_G80A-A3-8-1-20	50	6845
20190213-PE10_G80A-A3-8-1-20	55	6883
20190213-PE10_G80A-A3-8-1-20	60	6899
20190213-PE10_G80A-A3-8-1-20	65	6983
20190213-PE10_G80A-A3-8-1-20	70	6970
20190213-PE10_G80A-A3-8-1-20	75	7040
20190213-PE10_G80A-A3-8-1-20	80	7098
20190213-PE10_G80A-A3-8-1-20	85	7071
20190213-PE10_G80A-A3-8-1-20	90	7170
20190213-PE10_G80A-A3-8-1-20	95	7183
20190213-PE10_G80A-A3-8-1-20	100	7221
20190213-PE10_G80A-A3-8-1-20	105	7217
20190213-PE10_G80A-A3-8-1-20	110	7240
20190213-PE10_G80A-A3-8-1-20	115	7295
20190213-PE10_G80A-A3-8-1-20	120	7288
20190213-PE10_G80A-A3-8-1-20	125	7366
20190213-PE10_G80A-A3-8-1-20	130	7398
20190213-PE10_G80A-A3-8-1-20	135	7447
20190213-PE10_G80A-A3-8-1-20	140	7548
20190213-PE10_G80A-A3-8-1-20	145	7554
20190213-PE10_G80A-A3-8-1-20	150	7542
20190213-PE10_G80A-A3-8-1-20	155	7641
20190213-PE10_G80A-A3-8-1-20	160	7691
20190213-PE10_G80A-A3-8-1-20	165	7691
20190213-PE10_G80A-A3-8-1-20	170	7725
20190213-PE10_G80A-A3-8-1-20	175	7698
20190213-PE10_G80A-A3-8-1-20	180	7822
20190213-PE10_G80A-A3-8-1-20	185	7903
20190213-PE10_G80A-A3-8-1-20	190	7787
20190213-PE10_G80A-A3-8-1-20	195	7890
20190213-PE10_G80A-A3-8-1-20	200	7934
20190213-PE10_G80A-A3-8-1-20	205	7972
20190213-PE10_G80A-A3-8-1-20	210	8092
20190213-PE10_G80A-A3-8-1-20	215	8094
20190213-PE10_G80A-A3-8-1-20	220	8184
20190213-PE10_G80A-A3-8-1-20	225	8184
20190213-PE10_G80A-A3-8-1-20	230	8195
20190213-PE10_G80A-A3-8-1-20	235	8264
20190213-PE10_G80A-A3-8-1-20	240	8316
20190213-PE10_G80A-A3-8-1-20	245	8271
20190213-PE10_G80A-A3-8-1-20	250	8395
20190213-PE10_G80A-A3-8-1-20	255	8434
20190213-PE10_G80A-A3-8-1-20	260	8482
20190213-PE10_G80A-A3-8-1-20	265	8459
20190213-PE10_G80A-A3-8-1-20	270	8494
20190213-PE10_G80A-A3-8-1-20	275	8599
20190213-PE10_G80A-A3-8-1-20	280	8548
20190213-PE10_G80A-A3-8-1-20	285	8674
20190213-PE10_G80A-A3-8-1-20	290	8652
20190213-PE10_G80A-A3-8-1-20	295	8737
20190213-PE10_G80A-A3-8-1-20	300	8794
20190213-PE10_G80A-A3-8-1-20	305	8772
20190213-PE10_G80A-A3-8-1-20	310	8773
20190213-PE10_G80A-A3-8-1-20	315	8919
20190213-PE10_G80A-A3-8-1-20	320	8955
20190213-PE10_G80A-A3-8-1-20	325	8952
20190213-PE10_G80A-A3-8-1-20	330	8918
20190213-PE10_G80A-A3-8-1-20	335	9063
