condition	Time	fluorescence
20190213-PE13_T34Q-G10-8-1-20	0	6366
20190213-PE13_T34Q-G10-8-1-20	4	6430
20190213-PE13_T34Q-G10-8-1-20	8	6523
20190213-PE13_T34Q-G10-8-1-20	12	6532
20190213-PE13_T34Q-G10-8-1-20	16	6509
20190213-PE13_T34Q-G10-8-1-20	20	6644
20190213-PE13_T34Q-G10-8-1-20	24	6643
20190213-PE13_T34Q-G10-8-1-20	28	6578
20190213-PE13_T34Q-G10-8-1-20	32	6677
20190213-PE13_T34Q-G10-8-1-20	36	6696
20190213-PE13_T34Q-G10-8-1-20	40	6759
20190213-PE13_T34Q-G10-8-1-20	44	6775
20190213-PE13_T34Q-G10-8-1-20	48	6834
20190213-PE13_T34Q-G10-8-1-20	52	6864
20190213-PE13_T34Q-G10-8-1-20	56	6827
20190213-PE13_T34Q-G10-8-1-20	60	6853
20190213-PE13_T34Q-G10-8-1-20	64	6904
20190213-PE13_T34Q-G10-8-1-20	68	6932
20190213-PE13_T34Q-G10-8-1-20	72	7030
20190213-PE13_T34Q-G10-8-1-20	76	6941
20190213-PE13_T34Q-G10-8-1-20	80	7059
20190213-PE13_T34Q-G10-8-1-20	84	7050
20190213-PE13_T34Q-G10-8-1-20	88	7123
20190213-PE13_T34Q-G10-8-1-20	92	7149
20190213-PE13_T34Q-G10-8-1-20	96	7156
20190213-PE13_T34Q-G10-8-1-20	100	7152
20190213-PE13_T34Q-G10-8-1-20	104	7167
20190213-PE13_T34Q-G10-8-1-20	108	7228
20190213-PE13_T34Q-G10-8-1-20	112	7190
20190213-PE13_T34Q-G10-8-1-20	116	7288
20190213-PE13_T34Q-G10-8-1-20	120	7332
20190213-PE13_T34Q-G10-8-1-20	124	7379
20190213-PE13_T34Q-G10-8-1-20	128	7403
20190213-PE13_T34Q-G10-8-1-20	132	7409
20190213-PE13_T34Q-G10-8-1-20	136	7479
20190213-PE13_T34Q-G10-8-1-20	140	7493
20190213-PE13_T34Q-G10-8-1-20	144	7486
20190213-PE13_T34Q-G10-8-1-20	148	7599
