condition	Time	fluorescence
20190213-PE14_Y157A-A9-8-1-20	0	6563
20190213-PE14_Y157A-A9-8-1-20	5	6602
20190213-PE14_Y157A-A9-8-1-20	10	6620
20190213-PE14_Y157A-A9-8-1-20	15	6675
20190213-PE14_Y157A-A9-8-1-20	20	6822
20190213-PE14_Y157A-A9-8-1-20	25	6789
20190213-PE14_Y157A-A9-8-1-20	30	6862
20190213-PE14_Y157A-A9-8-1-20	35	6885
20190213-PE14_Y157A-A9-8-1-20	40	6923
20190213-PE14_Y157A-A9-8-1-20	45	6955
20190213-PE14_Y157A-A9-8-1-20	50	7018
20190213-PE14_Y157A-A9-8-1-20	55	7051
20190213-PE14_Y157A-A9-8-1-20	60	7054
20190213-PE14_Y157A-A9-8-1-20	65	7114
20190213-PE14_Y157A-A9-8-1-20	70	7081
20190213-PE14_Y157A-A9-8-1-20	75	7143
20190213-PE14_Y157A-A9-8-1-20	80	7212
20190213-PE14_Y157A-A9-8-1-20	85	7232
20190213-PE14_Y157A-A9-8-1-20	90	7318
20190213-PE14_Y157A-A9-8-1-20	95	7319
20190213-PE14_Y157A-A9-8-1-20	100	7385
20190213-PE14_Y157A-A9-8-1-20	105	7371
20190213-PE14_Y157A-A9-8-1-20	110	7441
20190213-PE14_Y157A-A9-8-1-20	115	7458
20190213-PE14_Y157A-A9-8-1-20	120	7467
20190213-PE14_Y157A-A9-8-1-20	125	7566
20190213-PE14_Y157A-A9-8-1-20	130	7595
20190213-PE14_Y157A-A9-8-1-20	135	7678
20190213-PE14_Y157A-A9-8-1-20	140	7718
20190213-PE14_Y157A-A9-8-1-20	145	7647
20190213-PE14_Y157A-A9-8-1-20	150	7738
20190213-PE14_Y157A-A9-8-1-20	155	7835
20190213-PE14_Y157A-A9-8-1-20	160	7832
20190213-PE14_Y157A-A9-8-1-20	165	7910
20190213-PE14_Y157A-A9-8-1-20	170	7897
20190213-PE14_Y157A-A9-8-1-20	175	8003
20190213-PE14_Y157A-A9-8-1-20	180	8023
20190213-PE14_Y157A-A9-8-1-20	185	8035
20190213-PE14_Y157A-A9-8-1-20	190	8079
20190213-PE14_Y157A-A9-8-1-20	195	8113
20190213-PE14_Y157A-A9-8-1-20	200	8163
20190213-PE14_Y157A-A9-8-1-20	205	8170
20190213-PE14_Y157A-A9-8-1-20	210	8264
20190213-PE14_Y157A-A9-8-1-20	215	8338
20190213-PE14_Y157A-A9-8-1-20	220	8412
20190213-PE14_Y157A-A9-8-1-20	225	8444
20190213-PE14_Y157A-A9-8-1-20	230	8451
20190213-PE14_Y157A-A9-8-1-20	235	8511
20190213-PE14_Y157A-A9-8-1-20	240	8549
20190213-PE14_Y157A-A9-8-1-20	245	8587
20190213-PE14_Y157A-A9-8-1-20	250	8702
20190213-PE14_Y157A-A9-8-1-20	255	8651
20190213-PE14_Y157A-A9-8-1-20	260	8717
20190213-PE14_Y157A-A9-8-1-20	265	8755
20190213-PE14_Y157A-A9-8-1-20	270	8856
20190213-PE14_Y157A-A9-8-1-20	275	8769
20190213-PE14_Y157A-A9-8-1-20	280	8958
20190213-PE14_Y157A-A9-8-1-20	285	8990
20190213-PE14_Y157A-A9-8-1-20	290	9004
20190213-PE14_Y157A-A9-8-1-20	295	9096
20190213-PE14_Y157A-A9-8-1-20	300	9024
20190213-PE14_Y157A-A9-8-1-20	305	9070
20190213-PE14_Y157A-A9-8-1-20	310	9112
20190213-PE14_Y157A-A9-8-1-20	315	9223
20190213-PE14_Y157A-A9-8-1-20	320	9221
20190213-PE14_Y157A-A9-8-1-20	325	9192
20190213-PE14_Y157A-A9-8-1-20	330	9332
20190213-PE14_Y157A-A9-8-1-20	335	9388
20190213-PE14_Y157A-A9-8-1-20	340	9459
20190213-PE14_Y157A-A9-8-1-20	345	9459
20190213-PE14_Y157A-A9-8-1-20	350	9542
20190213-PE14_Y157A-A9-8-1-20	355	9545
20190213-PE14_Y157A-A9-8-1-20	360	9620
20190213-PE14_Y157A-A9-8-1-20	365	9586
20190213-PE14_Y157A-A9-8-1-20	370	9612
20190213-PE14_Y157A-A9-8-1-20	375	9715
20190213-PE14_Y157A-A9-8-1-20	380	9755
20190213-PE14_Y157A-A9-8-1-20	385	9716
20190213-PE14_Y157A-A9-8-1-20	390	9820
20190213-PE14_Y157A-A9-8-1-20	395	9859
20190213-PE14_Y157A-A9-8-1-20	400	9936
20190213-PE14_Y157A-A9-8-1-20	405	10006
20190213-PE14_Y157A-A9-8-1-20	410	10030
20190213-PE14_Y157A-A9-8-1-20	415	10110
20190213-PE14_Y157A-A9-8-1-20	420	10140
20190213-PE14_Y157A-A9-8-1-20	425	10023
20190213-PE14_Y157A-A9-8-1-20	430	10190
20190213-PE14_Y157A-A9-8-1-20	435	10245
20190213-PE14_Y157A-A9-8-1-20	440	10302
20190213-PE14_Y157A-A9-8-1-20	445	10265
20190213-PE14_Y157A-A9-8-1-20	450	10348
20190213-PE14_Y157A-A9-8-1-20	455	10444
20190213-PE14_Y157A-A9-8-1-20	460	10379
20190213-PE14_Y157A-A9-8-1-20	465	10526
20190213-PE14_Y157A-A9-8-1-20	470	10525
20190213-PE14_Y157A-A9-8-1-20	475	10640
20190213-PE14_Y157A-A9-8-1-20	480	10611
20190213-PE14_Y157A-A9-8-1-20	485	10647
20190213-PE14_Y157A-A9-8-1-20	490	10739
20190213-PE14_Y157A-A9-8-1-20	495	10830
20190213-PE14_Y157A-A9-8-1-20	500	10834
20190213-PE14_Y157A-A9-8-1-20	505	10993
20190213-PE14_Y157A-A9-8-1-20	510	10957
20190213-PE14_Y157A-A9-8-1-20	515	10865
20190213-PE14_Y157A-A9-8-1-20	520	10976
20190213-PE14_Y157A-A9-8-1-20	525	11029
20190213-PE14_Y157A-A9-8-1-20	530	11048
20190213-PE14_Y157A-A9-8-1-20	535	11195
20190213-PE14_Y157A-A9-8-1-20	540	11201
20190213-PE14_Y157A-A9-8-1-20	545	11254
20190213-PE14_Y157A-A9-8-1-20	550	11177
20190213-PE14_Y157A-A9-8-1-20	555	11281
20190213-PE14_Y157A-A9-8-1-20	560	11372
