condition	Time	fluorescence
20190213-PE2_T34A-G3-8-1-20	0	6512
20190213-PE2_T34A-G3-8-1-20	4	6596
20190213-PE2_T34A-G3-8-1-20	8	6659
20190213-PE2_T34A-G3-8-1-20	12	6708
20190213-PE2_T34A-G3-8-1-20	16	6712
20190213-PE2_T34A-G3-8-1-20	20	6698
20190213-PE2_T34A-G3-8-1-20	24	6723
20190213-PE2_T34A-G3-8-1-20	28	6820
20190213-PE2_T34A-G3-8-1-20	32	6875
20190213-PE2_T34A-G3-8-1-20	36	6955
20190213-PE2_T34A-G3-8-1-20	40	6946
20190213-PE2_T34A-G3-8-1-20	44	6978
20190213-PE2_T34A-G3-8-1-20	48	7010
20190213-PE2_T34A-G3-8-1-20	52	7052
20190213-PE2_T34A-G3-8-1-20	56	7022
20190213-PE2_T34A-G3-8-1-20	60	7047
20190213-PE2_T34A-G3-8-1-20	64	7059
20190213-PE2_T34A-G3-8-1-20	68	7148
20190213-PE2_T34A-G3-8-1-20	72	7206
20190213-PE2_T34A-G3-8-1-20	76	7222
20190213-PE2_T34A-G3-8-1-20	80	7266
20190213-PE2_T34A-G3-8-1-20	84	7257
20190213-PE2_T34A-G3-8-1-20	88	7263
20190213-PE2_T34A-G3-8-1-20	92	7337
20190213-PE2_T34A-G3-8-1-20	96	7421
20190213-PE2_T34A-G3-8-1-20	100	7340
20190213-PE2_T34A-G3-8-1-20	104	7455
20190213-PE2_T34A-G3-8-1-20	108	7469
20190213-PE2_T34A-G3-8-1-20	112	7531
20190213-PE2_T34A-G3-8-1-20	116	7556
20190213-PE2_T34A-G3-8-1-20	120	7597
20190213-PE2_T34A-G3-8-1-20	124	7670
20190213-PE2_T34A-G3-8-1-20	128	7668
20190213-PE2_T34A-G3-8-1-20	132	7678
20190213-PE2_T34A-G3-8-1-20	136	7754
20190213-PE2_T34A-G3-8-1-20	140	7772
20190213-PE2_T34A-G3-8-1-20	144	7827
20190213-PE2_T34A-G3-8-1-20	148	7884
20190213-PE2_T34A-G3-8-1-20	152	7871
20190213-PE2_T34A-G3-8-1-20	156	7916
20190213-PE2_T34A-G3-8-1-20	160	7926
20190213-PE2_T34A-G3-8-1-20	164	7937
20190213-PE2_T34A-G3-8-1-20	168	8016
20190213-PE2_T34A-G3-8-1-20	172	7945
20190213-PE2_T34A-G3-8-1-20	176	8117
20190213-PE2_T34A-G3-8-1-20	180	8071
20190213-PE2_T34A-G3-8-1-20	184	8080
20190213-PE2_T34A-G3-8-1-20	188	8151
20190213-PE2_T34A-G3-8-1-20	192	8140
20190213-PE2_T34A-G3-8-1-20	196	8242
20190213-PE2_T34A-G3-8-1-20	200	8273
20190213-PE2_T34A-G3-8-1-20	204	8334
20190213-PE2_T34A-G3-8-1-20	208	8281
20190213-PE2_T34A-G3-8-1-20	212	8350
20190213-PE2_T34A-G3-8-1-20	216	8311
20190213-PE2_T34A-G3-8-1-20	220	8380
20190213-PE2_T34A-G3-8-1-20	224	8439
20190213-PE2_T34A-G3-8-1-20	228	8434
20190213-PE2_T34A-G3-8-1-20	232	8448
20190213-PE2_T34A-G3-8-1-20	236	8546
20190213-PE2_T34A-G3-8-1-20	240	8566
20190213-PE2_T34A-G3-8-1-20	244	8589
20190213-PE2_T34A-G3-8-1-20	248	8642
20190213-PE2_T34A-G3-8-1-20	252	8673
20190213-PE2_T34A-G3-8-1-20	256	8630
20190213-PE2_T34A-G3-8-1-20	260	8621
20190213-PE2_T34A-G3-8-1-20	264	8727
20190213-PE2_T34A-G3-8-1-20	268	8676
20190213-PE2_T34A-G3-8-1-20	272	8812
20190213-PE2_T34A-G3-8-1-20	276	8810
20190213-PE2_T34A-G3-8-1-20	280	8826
20190213-PE2_T34A-G3-8-1-20	284	8885
20190213-PE2_T34A-G3-8-1-20	288	8884
20190213-PE2_T34A-G3-8-1-20	292	8939
20190213-PE2_T34A-G3-8-1-20	296	8971
20190213-PE2_T34A-G3-8-1-20	300	8955
20190213-PE2_T34A-G3-8-1-20	304	9057
20190213-PE2_T34A-G3-8-1-20	308	9020
20190213-PE2_T34A-G3-8-1-20	312	9093
20190213-PE2_T34A-G3-8-1-20	316	9149
20190213-PE2_T34A-G3-8-1-20	320	9173
20190213-PE2_T34A-G3-8-1-20	324	9089
20190213-PE2_T34A-G3-8-1-20	328	9180
20190213-PE2_T34A-G3-8-1-20	332	9158
20190213-PE2_T34A-G3-8-1-20	336	9248
20190213-PE2_T34A-G3-8-1-20	340	9221
20190213-PE2_T34A-G3-8-1-20	344	9351
20190213-PE2_T34A-G3-8-1-20	348	9389
20190213-PE2_T34A-G3-8-1-20	352	9429
20190213-PE2_T34A-G3-8-1-20	356	9476
20190213-PE2_T34A-G3-8-1-20	360	9389
20190213-PE2_T34A-G3-8-1-20	364	9528
20190213-PE2_T34A-G3-8-1-20	368	9495
20190213-PE2_T34A-G3-8-1-20	372	9509
20190213-PE2_T34A-G3-8-1-20	376	9543
20190213-PE2_T34A-G3-8-1-20	380	9608
20190213-PE2_T34A-G3-8-1-20	384	9575
20190213-PE2_T34A-G3-8-1-20	388	9581
20190213-PE2_T34A-G3-8-1-20	392	9563
20190213-PE2_T34A-G3-8-1-20	396	9664
20190213-PE2_T34A-G3-8-1-20	400	9667
20190213-PE2_T34A-G3-8-1-20	404	9648
20190213-PE2_T34A-G3-8-1-20	408	9796
20190213-PE2_T34A-G3-8-1-20	412	9722
20190213-PE2_T34A-G3-8-1-20	416	9813
20190213-PE2_T34A-G3-8-1-20	420	9818
20190213-PE2_T34A-G3-8-1-20	424	9919
20190213-PE2_T34A-G3-8-1-20	428	9943
20190213-PE2_T34A-G3-8-1-20	432	9960
20190213-PE2_T34A-G3-8-1-20	436	9906
20190213-PE2_T34A-G3-8-1-20	440	10028
20190213-PE2_T34A-G3-8-1-20	444	10000
20190213-PE2_T34A-G3-8-1-20	448	9975
20190213-PE2_T34A-G3-8-1-20	452	10100
20190213-PE2_T34A-G3-8-1-20	456	10055
20190213-PE2_T34A-G3-8-1-20	460	10181
20190213-PE2_T34A-G3-8-1-20	464	10123
20190213-PE2_T34A-G3-8-1-20	468	10195
20190213-PE2_T34A-G3-8-1-20	472	10173
20190213-PE2_T34A-G3-8-1-20	476	10210
20190213-PE2_T34A-G3-8-1-20	480	10198
20190213-PE2_T34A-G3-8-1-20	484	10288
20190213-PE2_T34A-G3-8-1-20	488	10321
20190213-PE2_T34A-G3-8-1-20	492	10261
20190213-PE2_T34A-G3-8-1-20	496	10373
20190213-PE2_T34A-G3-8-1-20	500	10370
20190213-PE2_T34A-G3-8-1-20	504	10392
20190213-PE2_T34A-G3-8-1-20	508	10546
20190213-PE2_T34A-G3-8-1-20	512	10432
20190213-PE2_T34A-G3-8-1-20	516	10508
20190213-PE2_T34A-G3-8-1-20	520	10544
20190213-PE2_T34A-G3-8-1-20	524	10525
20190213-PE2_T34A-G3-8-1-20	528	10629
20190213-PE2_T34A-G3-8-1-20	532	10636
20190213-PE2_T34A-G3-8-1-20	536	10596
20190213-PE2_T34A-G3-8-1-20	540	10642
20190213-PE2_T34A-G3-8-1-20	544	10655
20190213-PE2_T34A-G3-8-1-20	548	10647
20190213-PE2_T34A-G3-8-1-20	552	10721
20190213-PE2_T34A-G3-8-1-20	556	10713
20190213-PE2_T34A-G3-8-1-20	560	10693
20190213-PE2_T34A-G3-8-1-20	564	10810
20190213-PE2_T34A-G3-8-1-20	568	10767
