condition	Time	fluorescence
20190213-PE9_D79S-G7-8-1-20	0	6934
20190213-PE9_D79S-G7-8-1-20	4	6959
20190213-PE9_D79S-G7-8-1-20	8	7027
20190213-PE9_D79S-G7-8-1-20	12	7065
20190213-PE9_D79S-G7-8-1-20	16	7084
20190213-PE9_D79S-G7-8-1-20	20	7110
20190213-PE9_D79S-G7-8-1-20	24	7146
20190213-PE9_D79S-G7-8-1-20	28	7202
20190213-PE9_D79S-G7-8-1-20	32	7221
20190213-PE9_D79S-G7-8-1-20	36	7234
20190213-PE9_D79S-G7-8-1-20	40	7290
20190213-PE9_D79S-G7-8-1-20	44	7336
20190213-PE9_D79S-G7-8-1-20	48	7323
20190213-PE9_D79S-G7-8-1-20	52	7381
20190213-PE9_D79S-G7-8-1-20	56	7464
20190213-PE9_D79S-G7-8-1-20	60	7484
20190213-PE9_D79S-G7-8-1-20	64	7460
20190213-PE9_D79S-G7-8-1-20	68	7484
20190213-PE9_D79S-G7-8-1-20	72	7558
20190213-PE9_D79S-G7-8-1-20	76	7564
20190213-PE9_D79S-G7-8-1-20	80	7694
20190213-PE9_D79S-G7-8-1-20	84	7568
20190213-PE9_D79S-G7-8-1-20	88	7731
20190213-PE9_D79S-G7-8-1-20	92	7705
20190213-PE9_D79S-G7-8-1-20	96	7779
20190213-PE9_D79S-G7-8-1-20	100	7778
20190213-PE9_D79S-G7-8-1-20	104	7816
20190213-PE9_D79S-G7-8-1-20	108	7913
20190213-PE9_D79S-G7-8-1-20	112	7809
20190213-PE9_D79S-G7-8-1-20	116	7932
20190213-PE9_D79S-G7-8-1-20	120	8023
20190213-PE9_D79S-G7-8-1-20	124	7995
20190213-PE9_D79S-G7-8-1-20	128	8085
20190213-PE9_D79S-G7-8-1-20	132	8043
20190213-PE9_D79S-G7-8-1-20	136	8063
20190213-PE9_D79S-G7-8-1-20	140	8116
20190213-PE9_D79S-G7-8-1-20	144	8162
20190213-PE9_D79S-G7-8-1-20	148	8189
20190213-PE9_D79S-G7-8-1-20	152	8240
20190213-PE9_D79S-G7-8-1-20	156	8319
20190213-PE9_D79S-G7-8-1-20	160	8323
20190213-PE9_D79S-G7-8-1-20	164	8282
20190213-PE9_D79S-G7-8-1-20	168	8332
20190213-PE9_D79S-G7-8-1-20	172	8371
20190213-PE9_D79S-G7-8-1-20	176	8450
20190213-PE9_D79S-G7-8-1-20	180	8504
20190213-PE9_D79S-G7-8-1-20	184	8604
20190213-PE9_D79S-G7-8-1-20	188	8587
20190213-PE9_D79S-G7-8-1-20	192	8575
20190213-PE9_D79S-G7-8-1-20	196	8628
20190213-PE9_D79S-G7-8-1-20	200	8642
20190213-PE9_D79S-G7-8-1-20	204	8663
20190213-PE9_D79S-G7-8-1-20	208	8745
20190213-PE9_D79S-G7-8-1-20	212	8838
20190213-PE9_D79S-G7-8-1-20	216	8857
20190213-PE9_D79S-G7-8-1-20	220	8880
20190213-PE9_D79S-G7-8-1-20	224	8910
20190213-PE9_D79S-G7-8-1-20	228	8883
20190213-PE9_D79S-G7-8-1-20	232	8955
20190213-PE9_D79S-G7-8-1-20	236	8935
20190213-PE9_D79S-G7-8-1-20	240	8980
20190213-PE9_D79S-G7-8-1-20	244	8995
20190213-PE9_D79S-G7-8-1-20	248	9062
20190213-PE9_D79S-G7-8-1-20	252	9151
20190213-PE9_D79S-G7-8-1-20	256	9138
20190213-PE9_D79S-G7-8-1-20	260	9282
20190213-PE9_D79S-G7-8-1-20	264	9340
20190213-PE9_D79S-G7-8-1-20	268	9406
20190213-PE9_D79S-G7-8-1-20	272	9481
20190213-PE9_D79S-G7-8-1-20	276	9474
20190213-PE9_D79S-G7-8-1-20	280	9478
20190213-PE9_D79S-G7-8-1-20	284	9527
20190213-PE9_D79S-G7-8-1-20	288	9549
20190213-PE9_D79S-G7-8-1-20	292	9620
20190213-PE9_D79S-G7-8-1-20	296	9677
20190213-PE9_D79S-G7-8-1-20	300	9772
20190213-PE9_D79S-G7-8-1-20	304	9755
20190213-PE9_D79S-G7-8-1-20	308	9818
20190213-PE9_D79S-G7-8-1-20	312	9855
20190213-PE9_D79S-G7-8-1-20	316	10011
20190213-PE9_D79S-G7-8-1-20	320	10023
20190213-PE9_D79S-G7-8-1-20	324	10031
20190213-PE9_D79S-G7-8-1-20	328	10146
20190213-PE9_D79S-G7-8-1-20	332	10173
20190213-PE9_D79S-G7-8-1-20	336	10193
20190213-PE9_D79S-G7-8-1-20	340	10230
20190213-PE9_D79S-G7-8-1-20	344	10304
20190213-PE9_D79S-G7-8-1-20	348	10445
20190213-PE9_D79S-G7-8-1-20	352	10435
20190213-PE9_D79S-G7-8-1-20	356	10502
20190213-PE9_D79S-G7-8-1-20	360	10537
20190213-PE9_D79S-G7-8-1-20	364	10587
20190213-PE9_D79S-G7-8-1-20	368	10602
20190213-PE9_D79S-G7-8-1-20	372	10754
20190213-PE9_D79S-G7-8-1-20	376	10757
20190213-PE9_D79S-G7-8-1-20	380	10799
20190213-PE9_D79S-G7-8-1-20	384	10848
20190213-PE9_D79S-G7-8-1-20	388	10827
20190213-PE9_D79S-G7-8-1-20	392	10823
20190213-PE9_D79S-G7-8-1-20	396	10935
20190213-PE9_D79S-G7-8-1-20	400	10862
20190213-PE9_D79S-G7-8-1-20	404	10988
20190213-PE9_D79S-G7-8-1-20	408	11047
20190213-PE9_D79S-G7-8-1-20	412	11055
20190213-PE9_D79S-G7-8-1-20	416	11085
20190213-PE9_D79S-G7-8-1-20	420	11137
20190213-PE9_D79S-G7-8-1-20	424	11109
20190213-PE9_D79S-G7-8-1-20	428	11154
20190213-PE9_D79S-G7-8-1-20	432	11135
20190213-PE9_D79S-G7-8-1-20	436	11224
20190213-PE9_D79S-G7-8-1-20	440	11262
20190213-PE9_D79S-G7-8-1-20	444	11308
20190213-PE9_D79S-G7-8-1-20	448	11290
20190213-PE9_D79S-G7-8-1-20	452	11417
20190213-PE9_D79S-G7-8-1-20	456	11430
20190213-PE9_D79S-G7-8-1-20	460	11395
20190213-PE9_D79S-G7-8-1-20	464	11550
20190213-PE9_D79S-G7-8-1-20	468	11454
20190213-PE9_D79S-G7-8-1-20	472	11515
20190213-PE9_D79S-G7-8-1-20	476	11580
20190213-PE9_D79S-G7-8-1-20	480	11641
20190213-PE9_D79S-G7-8-1-20	484	11637
20190213-PE9_D79S-G7-8-1-20	488	11670
20190213-PE9_D79S-G7-8-1-20	492	11706
20190213-PE9_D79S-G7-8-1-20	496	11691
20190213-PE9_D79S-G7-8-1-20	500	11694
20190213-PE9_D79S-G7-8-1-20	504	11750
20190213-PE9_D79S-G7-8-1-20	508	11713
20190213-PE9_D79S-G7-8-1-20	512	11956
20190213-PE9_D79S-G7-8-1-20	516	11803
20190213-PE9_D79S-G7-8-1-20	520	11812
20190213-PE9_D79S-G7-8-1-20	524	11854
20190213-PE9_D79S-G7-8-1-20	528	11969
20190213-PE9_D79S-G7-8-1-20	532	11897
20190213-PE9_D79S-G7-8-1-20	536	12048
20190213-PE9_D79S-G7-8-1-20	540	12204
20190213-PE9_D79S-G7-8-1-20	544	12192
20190213-PE9_D79S-G7-8-1-20	548	11983
20190213-PE9_D79S-G7-8-1-20	552	12246
20190213-PE9_D79S-G7-8-1-20	556	12217
20190213-PE9_D79S-G7-8-1-20	560	12143
20190213-PE9_D79S-G7-8-1-20	564	12334
20190213-PE9_D79S-G7-8-1-20	568	12214
20190213-PE9_D79S-G7-8-1-20	572	12377
20190213-PE9_D79S-G7-8-1-20	576	12370
20190213-PE9_D79S-G7-8-1-20	580	12471
20190213-PE9_D79S-G7-8-1-20	584	12437
20190213-PE9_D79S-G7-8-1-20	588	12480
20190213-PE9_D79S-G7-8-1-20	592	12602
20190213-PE9_D79S-G7-8-1-20	596	12478
20190213-PE9_D79S-G7-8-1-20	600	12623
20190213-PE9_D79S-G7-8-1-20	604	12706
20190213-PE9_D79S-G7-8-1-20	608	12702
20190213-PE9_D79S-G7-8-1-20	612	12642
