condition	Time	fluorescence
20190214-PE12_H141R-C4-8-1-20	0	6126
20190214-PE12_H141R-C4-8-1-20	5	6270
20190214-PE12_H141R-C4-8-1-20	10	6419
20190214-PE12_H141R-C4-8-1-20	15	6517
20190214-PE12_H141R-C4-8-1-20	20	6635
20190214-PE12_H141R-C4-8-1-20	25	6746
20190214-PE12_H141R-C4-8-1-20	30	6959
20190214-PE12_H141R-C4-8-1-20	35	7037
20190214-PE12_H141R-C4-8-1-20	40	7109
20190214-PE12_H141R-C4-8-1-20	45	7209
20190214-PE12_H141R-C4-8-1-20	50	7256
20190214-PE12_H141R-C4-8-1-20	55	7401
20190214-PE12_H141R-C4-8-1-20	60	7522
20190214-PE12_H141R-C4-8-1-20	65	7566
20190214-PE12_H141R-C4-8-1-20	70	7780
20190214-PE12_H141R-C4-8-1-20	75	7852
20190214-PE12_H141R-C4-8-1-20	80	7906
20190214-PE12_H141R-C4-8-1-20	85	8067
20190214-PE12_H141R-C4-8-1-20	90	8161
20190214-PE12_H141R-C4-8-1-20	95	8251
20190214-PE12_H141R-C4-8-1-20	100	8381
20190214-PE12_H141R-C4-8-1-20	105	8523
20190214-PE12_H141R-C4-8-1-20	110	8585
20190214-PE12_H141R-C4-8-1-20	115	8643
20190214-PE12_H141R-C4-8-1-20	120	8820
20190214-PE12_H141R-C4-8-1-20	125	8906
20190214-PE12_H141R-C4-8-1-20	130	8972
20190214-PE12_H141R-C4-8-1-20	135	9109
20190214-PE12_H141R-C4-8-1-20	140	9278
20190214-PE12_H141R-C4-8-1-20	145	9363
20190214-PE12_H141R-C4-8-1-20	150	9447
20190214-PE12_H141R-C4-8-1-20	155	9600
20190214-PE12_H141R-C4-8-1-20	160	9747
20190214-PE12_H141R-C4-8-1-20	165	9891
20190214-PE12_H141R-C4-8-1-20	170	9973
20190214-PE12_H141R-C4-8-1-20	175	10065
20190214-PE12_H141R-C4-8-1-20	180	10154
20190214-PE12_H141R-C4-8-1-20	185	10273
20190214-PE12_H141R-C4-8-1-20	190	10313
20190214-PE12_H141R-C4-8-1-20	195	10579
20190214-PE12_H141R-C4-8-1-20	200	10633
20190214-PE12_H141R-C4-8-1-20	205	10779
20190214-PE12_H141R-C4-8-1-20	210	10877
20190214-PE12_H141R-C4-8-1-20	215	11051
20190214-PE12_H141R-C4-8-1-20	220	11129
20190214-PE12_H141R-C4-8-1-20	225	11130
20190214-PE12_H141R-C4-8-1-20	230	11358
20190214-PE12_H141R-C4-8-1-20	235	11505
20190214-PE12_H141R-C4-8-1-20	240	11628
20190214-PE12_H141R-C4-8-1-20	245	11749
20190214-PE12_H141R-C4-8-1-20	250	11778
20190214-PE12_H141R-C4-8-1-20	255	11869
20190214-PE12_H141R-C4-8-1-20	260	11985
20190214-PE12_H141R-C4-8-1-20	265	12135
20190214-PE12_H141R-C4-8-1-20	270	12224
20190214-PE12_H141R-C4-8-1-20	275	12332
20190214-PE12_H141R-C4-8-1-20	280	12507
20190214-PE12_H141R-C4-8-1-20	285	12558
20190214-PE12_H141R-C4-8-1-20	290	12725
20190214-PE12_H141R-C4-8-1-20	295	12737
20190214-PE12_H141R-C4-8-1-20	300	12876
20190214-PE12_H141R-C4-8-1-20	305	13070
20190214-PE12_H141R-C4-8-1-20	310	13170
20190214-PE12_H141R-C4-8-1-20	315	13180
20190214-PE12_H141R-C4-8-1-20	320	13378
20190214-PE12_H141R-C4-8-1-20	325	13423
20190214-PE12_H141R-C4-8-1-20	330	13465
20190214-PE12_H141R-C4-8-1-20	335	13662
20190214-PE12_H141R-C4-8-1-20	340	13658
20190214-PE12_H141R-C4-8-1-20	345	13821
20190214-PE12_H141R-C4-8-1-20	350	13937
20190214-PE12_H141R-C4-8-1-20	355	14100
20190214-PE12_H141R-C4-8-1-20	360	14174
20190214-PE12_H141R-C4-8-1-20	365	14250
20190214-PE12_H141R-C4-8-1-20	370	14455
20190214-PE12_H141R-C4-8-1-20	375	14592
20190214-PE12_H141R-C4-8-1-20	380	14634
20190214-PE12_H141R-C4-8-1-20	385	14820
20190214-PE12_H141R-C4-8-1-20	390	14893
20190214-PE12_H141R-C4-8-1-20	395	14917
20190214-PE12_H141R-C4-8-1-20	400	14990
20190214-PE12_H141R-C4-8-1-20	405	15084
20190214-PE12_H141R-C4-8-1-20	410	15281
20190214-PE12_H141R-C4-8-1-20	415	15422
20190214-PE12_H141R-C4-8-1-20	420	15469
20190214-PE12_H141R-C4-8-1-20	425	15713
20190214-PE12_H141R-C4-8-1-20	430	15724
20190214-PE12_H141R-C4-8-1-20	435	15650
20190214-PE12_H141R-C4-8-1-20	440	15919
20190214-PE12_H141R-C4-8-1-20	445	15985
20190214-PE12_H141R-C4-8-1-20	450	16059
20190214-PE12_H141R-C4-8-1-20	455	16102
20190214-PE12_H141R-C4-8-1-20	460	16410
20190214-PE12_H141R-C4-8-1-20	465	16463
20190214-PE12_H141R-C4-8-1-20	470	16606
20190214-PE12_H141R-C4-8-1-20	475	16693
20190214-PE12_H141R-C4-8-1-20	480	16652
20190214-PE12_H141R-C4-8-1-20	485	16795
20190214-PE12_H141R-C4-8-1-20	490	16938
20190214-PE12_H141R-C4-8-1-20	495	17094
20190214-PE12_H141R-C4-8-1-20	500	17069
20190214-PE12_H141R-C4-8-1-20	505	17291
20190214-PE12_H141R-C4-8-1-20	510	17392
20190214-PE12_H141R-C4-8-1-20	515	17425
20190214-PE12_H141R-C4-8-1-20	520	17692
20190214-PE12_H141R-C4-8-1-20	525	17800
20190214-PE12_H141R-C4-8-1-20	530	17793
20190214-PE12_H141R-C4-8-1-20	535	17899
20190214-PE12_H141R-C4-8-1-20	540	17960
20190214-PE12_H141R-C4-8-1-20	545	18286
20190214-PE12_H141R-C4-8-1-20	550	18081
20190214-PE12_H141R-C4-8-1-20	555	18383
20190214-PE12_H141R-C4-8-1-20	560	18373
20190214-PE12_H141R-C4-8-1-20	565	18530
20190214-PE12_H141R-C4-8-1-20	570	18618
20190214-PE12_H141R-C4-8-1-20	575	18788
20190214-PE12_H141R-C4-8-1-20	580	18779
20190214-PE12_H141R-C4-8-1-20	585	19078
20190214-PE12_H141R-C4-8-1-20	590	19168
20190214-PE12_H141R-C4-8-1-20	595	19279
20190214-PE12_H141R-C4-8-1-20	600	19234
20190214-PE12_H141R-C4-8-1-20	605	19253
20190214-PE12_H141R-C4-8-1-20	610	19587
20190214-PE12_H141R-C4-8-1-20	615	19663
20190214-PE12_H141R-C4-8-1-20	620	19623
20190214-PE12_H141R-C4-8-1-20	625	19908
20190214-PE12_H141R-C4-8-1-20	630	19953
20190214-PE12_H141R-C4-8-1-20	635	20020
20190214-PE12_H141R-C4-8-1-20	640	20046
20190214-PE12_H141R-C4-8-1-20	645	19950
20190214-PE12_H141R-C4-8-1-20	650	20223
20190214-PE12_H141R-C4-8-1-20	655	20340
20190214-PE12_H141R-C4-8-1-20	660	20372
20190214-PE12_H141R-C4-8-1-20	665	20518
20190214-PE12_H141R-C4-8-1-20	670	20561
20190214-PE12_H141R-C4-8-1-20	675	20514
20190214-PE12_H141R-C4-8-1-20	680	20730
20190214-PE12_H141R-C4-8-1-20	685	20810
20190214-PE12_H141R-C4-8-1-20	690	21150
20190214-PE12_H141R-C4-8-1-20	695	21035
20190214-PE12_H141R-C4-8-1-20	700	21200
20190214-PE12_H141R-C4-8-1-20	705	21308
20190214-PE12_H141R-C4-8-1-20	710	21341
20190214-PE12_H141R-C4-8-1-20	715	21432
20190214-PE12_H141R-C4-8-1-20	720	21324
20190214-PE12_H141R-C4-8-1-20	725	21800
20190214-PE12_H141R-C4-8-1-20	730	21665
20190214-PE12_H141R-C4-8-1-20	735	21795
20190214-PE12_H141R-C4-8-1-20	740	21977
20190214-PE12_H141R-C4-8-1-20	745	21938
20190214-PE12_H141R-C4-8-1-20	750	21883
20190214-PE12_H141R-C4-8-1-20	755	22161
20190214-PE12_H141R-C4-8-1-20	760	22265
20190214-PE12_H141R-C4-8-1-20	765	22344
20190214-PE12_H141R-C4-8-1-20	770	22383
20190214-PE12_H141R-C4-8-1-20	775	22187
20190214-PE12_H141R-C4-8-1-20	780	22548
20190214-PE12_H141R-C4-8-1-20	785	22625
20190214-PE12_H141R-C4-8-1-20	790	22785
20190214-PE12_H141R-C4-8-1-20	795	22676
20190214-PE12_H141R-C4-8-1-20	800	22891
20190214-PE12_H141R-C4-8-1-20	805	22839
20190214-PE12_H141R-C4-8-1-20	810	22902
20190214-PE12_H141R-C4-8-1-20	815	23228
20190214-PE12_H141R-C4-8-1-20	820	23078
20190214-PE12_H141R-C4-8-1-20	825	23184
20190214-PE12_H141R-C4-8-1-20	830	23266
20190214-PE12_H141R-C4-8-1-20	835	23230
20190214-PE12_H141R-C4-8-1-20	840	23262
20190214-PE12_H141R-C4-8-1-20	845	23301
20190214-PE12_H141R-C4-8-1-20	850	23491
20190214-PE12_H141R-C4-8-1-20	855	23320
20190214-PE12_H141R-C4-8-1-20	860	23441
20190214-PE12_H141R-C4-8-1-20	865	23156
20190214-PE12_H141R-C4-8-1-20	870	23294
20190214-PE12_H141R-C4-8-1-20	875	23310
