condition	Time	fluorescence
20190214-PE15_T34L-A3-8-1-20	0	5395
20190214-PE15_T34L-A3-8-1-20	5	5455
20190214-PE15_T34L-A3-8-1-20	10	5489
20190214-PE15_T34L-A3-8-1-20	15	5522
20190214-PE15_T34L-A3-8-1-20	20	5547
20190214-PE15_T34L-A3-8-1-20	25	5589
20190214-PE15_T34L-A3-8-1-20	30	5623
20190214-PE15_T34L-A3-8-1-20	35	5621
20190214-PE15_T34L-A3-8-1-20	40	5658
20190214-PE15_T34L-A3-8-1-20	45	5707
20190214-PE15_T34L-A3-8-1-20	50	5720
20190214-PE15_T34L-A3-8-1-20	55	5768
20190214-PE15_T34L-A3-8-1-20	60	5791
20190214-PE15_T34L-A3-8-1-20	65	5820
20190214-PE15_T34L-A3-8-1-20	70	5846
20190214-PE15_T34L-A3-8-1-20	75	5880
20190214-PE15_T34L-A3-8-1-20	80	5949
20190214-PE15_T34L-A3-8-1-20	85	5922
20190214-PE15_T34L-A3-8-1-20	90	5990
20190214-PE15_T34L-A3-8-1-20	95	6046
20190214-PE15_T34L-A3-8-1-20	100	6048
20190214-PE15_T34L-A3-8-1-20	105	6060
20190214-PE15_T34L-A3-8-1-20	110	6137
20190214-PE15_T34L-A3-8-1-20	115	6137
20190214-PE15_T34L-A3-8-1-20	120	6150
20190214-PE15_T34L-A3-8-1-20	125	6176
20190214-PE15_T34L-A3-8-1-20	130	6213
20190214-PE15_T34L-A3-8-1-20	135	6281
20190214-PE15_T34L-A3-8-1-20	140	6351
20190214-PE15_T34L-A3-8-1-20	145	6357
20190214-PE15_T34L-A3-8-1-20	150	6370
20190214-PE15_T34L-A3-8-1-20	155	6407
20190214-PE15_T34L-A3-8-1-20	160	6412
20190214-PE15_T34L-A3-8-1-20	165	6429
20190214-PE15_T34L-A3-8-1-20	170	6454
20190214-PE15_T34L-A3-8-1-20	175	6558
20190214-PE15_T34L-A3-8-1-20	180	6594
20190214-PE15_T34L-A3-8-1-20	185	6566
20190214-PE15_T34L-A3-8-1-20	190	6634
20190214-PE15_T34L-A3-8-1-20	195	6604
20190214-PE15_T34L-A3-8-1-20	200	6687
20190214-PE15_T34L-A3-8-1-20	205	6722
20190214-PE15_T34L-A3-8-1-20	210	6722
20190214-PE15_T34L-A3-8-1-20	215	6778
20190214-PE15_T34L-A3-8-1-20	220	6796
20190214-PE15_T34L-A3-8-1-20	225	6844
20190214-PE15_T34L-A3-8-1-20	230	6913
20190214-PE15_T34L-A3-8-1-20	235	6937
20190214-PE15_T34L-A3-8-1-20	240	6924
20190214-PE15_T34L-A3-8-1-20	245	6998
20190214-PE15_T34L-A3-8-1-20	250	7021
20190214-PE15_T34L-A3-8-1-20	255	7052
20190214-PE15_T34L-A3-8-1-20	260	7077
20190214-PE15_T34L-A3-8-1-20	265	7071
20190214-PE15_T34L-A3-8-1-20	270	7112
20190214-PE15_T34L-A3-8-1-20	275	7180
20190214-PE15_T34L-A3-8-1-20	280	7218
20190214-PE15_T34L-A3-8-1-20	285	7227
20190214-PE15_T34L-A3-8-1-20	290	7241
20190214-PE15_T34L-A3-8-1-20	295	7379
20190214-PE15_T34L-A3-8-1-20	300	7309
20190214-PE15_T34L-A3-8-1-20	305	7378
20190214-PE15_T34L-A3-8-1-20	310	7355
20190214-PE15_T34L-A3-8-1-20	315	7483
20190214-PE15_T34L-A3-8-1-20	320	7521
20190214-PE15_T34L-A3-8-1-20	325	7414
20190214-PE15_T34L-A3-8-1-20	330	7559
20190214-PE15_T34L-A3-8-1-20	335	7575
20190214-PE15_T34L-A3-8-1-20	340	7580
20190214-PE15_T34L-A3-8-1-20	345	7650
20190214-PE15_T34L-A3-8-1-20	350	7679
20190214-PE15_T34L-A3-8-1-20	355	7664
20190214-PE15_T34L-A3-8-1-20	360	7698
20190214-PE15_T34L-A3-8-1-20	365	7731
20190214-PE15_T34L-A3-8-1-20	370	7798
20190214-PE15_T34L-A3-8-1-20	375	7833
20190214-PE15_T34L-A3-8-1-20	380	7832
20190214-PE15_T34L-A3-8-1-20	385	7919
20190214-PE15_T34L-A3-8-1-20	390	8022
20190214-PE15_T34L-A3-8-1-20	395	7919
20190214-PE15_T34L-A3-8-1-20	400	7971
20190214-PE15_T34L-A3-8-1-20	405	8000
20190214-PE15_T34L-A3-8-1-20	410	8008
20190214-PE15_T34L-A3-8-1-20	415	8137
20190214-PE15_T34L-A3-8-1-20	420	8137
20190214-PE15_T34L-A3-8-1-20	425	8206
20190214-PE15_T34L-A3-8-1-20	430	8214
20190214-PE15_T34L-A3-8-1-20	435	8184
20190214-PE15_T34L-A3-8-1-20	440	8231
20190214-PE15_T34L-A3-8-1-20	445	8290
20190214-PE15_T34L-A3-8-1-20	450	8280
20190214-PE15_T34L-A3-8-1-20	455	8312
20190214-PE15_T34L-A3-8-1-20	460	8335
20190214-PE15_T34L-A3-8-1-20	465	8410
20190214-PE15_T34L-A3-8-1-20	470	8460
20190214-PE15_T34L-A3-8-1-20	475	8508
20190214-PE15_T34L-A3-8-1-20	480	8508
20190214-PE15_T34L-A3-8-1-20	485	8468
20190214-PE15_T34L-A3-8-1-20	490	8574
20190214-PE15_T34L-A3-8-1-20	495	8577
20190214-PE15_T34L-A3-8-1-20	500	8649
20190214-PE15_T34L-A3-8-1-20	505	8785
20190214-PE15_T34L-A3-8-1-20	510	8722
20190214-PE15_T34L-A3-8-1-20	515	8731
20190214-PE15_T34L-A3-8-1-20	520	8770
20190214-PE15_T34L-A3-8-1-20	525	8718
20190214-PE15_T34L-A3-8-1-20	530	8808
20190214-PE15_T34L-A3-8-1-20	535	8869
20190214-PE15_T34L-A3-8-1-20	540	8850
20190214-PE15_T34L-A3-8-1-20	545	8981
20190214-PE15_T34L-A3-8-1-20	550	8988
20190214-PE15_T34L-A3-8-1-20	555	8981
20190214-PE15_T34L-A3-8-1-20	560	8974
20190214-PE15_T34L-A3-8-1-20	565	9046
20190214-PE15_T34L-A3-8-1-20	570	9128
20190214-PE15_T34L-A3-8-1-20	575	9203
20190214-PE15_T34L-A3-8-1-20	580	9133
20190214-PE15_T34L-A3-8-1-20	585	9180
20190214-PE15_T34L-A3-8-1-20	590	9219
20190214-PE15_T34L-A3-8-1-20	595	9291
20190214-PE15_T34L-A3-8-1-20	600	9204
20190214-PE15_T34L-A3-8-1-20	605	9354
20190214-PE15_T34L-A3-8-1-20	610	9306
20190214-PE15_T34L-A3-8-1-20	615	9390
20190214-PE15_T34L-A3-8-1-20	620	9378
20190214-PE15_T34L-A3-8-1-20	625	9465
20190214-PE15_T34L-A3-8-1-20	630	9512
20190214-PE15_T34L-A3-8-1-20	635	9468
20190214-PE15_T34L-A3-8-1-20	640	9626
20190214-PE15_T34L-A3-8-1-20	645	9602
20190214-PE15_T34L-A3-8-1-20	650	9590
20190214-PE15_T34L-A3-8-1-20	655	9575
20190214-PE15_T34L-A3-8-1-20	660	9601
20190214-PE15_T34L-A3-8-1-20	665	9603
20190214-PE15_T34L-A3-8-1-20	670	9694
20190214-PE15_T34L-A3-8-1-20	675	9724
20190214-PE15_T34L-A3-8-1-20	680	9734
20190214-PE15_T34L-A3-8-1-20	685	9817
20190214-PE15_T34L-A3-8-1-20	690	9888
