condition	Time	fluorescence
20190214-PE16_R108I-C7-8-1-20	0	5755
20190214-PE16_R108I-C7-8-1-20	5	5954
20190214-PE16_R108I-C7-8-1-20	10	5997
20190214-PE16_R108I-C7-8-1-20	15	6153
20190214-PE16_R108I-C7-8-1-20	20	6221
20190214-PE16_R108I-C7-8-1-20	25	6305
20190214-PE16_R108I-C7-8-1-20	30	6465
20190214-PE16_R108I-C7-8-1-20	35	6519
20190214-PE16_R108I-C7-8-1-20	40	6672
20190214-PE16_R108I-C7-8-1-20	45	6768
20190214-PE16_R108I-C7-8-1-20	50	6843
20190214-PE16_R108I-C7-8-1-20	55	6946
20190214-PE16_R108I-C7-8-1-20	60	7032
20190214-PE16_R108I-C7-8-1-20	65	7110
20190214-PE16_R108I-C7-8-1-20	70	7272
20190214-PE16_R108I-C7-8-1-20	75	7303
20190214-PE16_R108I-C7-8-1-20	80	7425
20190214-PE16_R108I-C7-8-1-20	85	7591
20190214-PE16_R108I-C7-8-1-20	90	7685
20190214-PE16_R108I-C7-8-1-20	95	7785
20190214-PE16_R108I-C7-8-1-20	100	7934
20190214-PE16_R108I-C7-8-1-20	105	7984
20190214-PE16_R108I-C7-8-1-20	110	8082
20190214-PE16_R108I-C7-8-1-20	115	8290
20190214-PE16_R108I-C7-8-1-20	120	8294
20190214-PE16_R108I-C7-8-1-20	125	8501
20190214-PE16_R108I-C7-8-1-20	130	8628
20190214-PE16_R108I-C7-8-1-20	135	8677
20190214-PE16_R108I-C7-8-1-20	140	8730
20190214-PE16_R108I-C7-8-1-20	145	8810
20190214-PE16_R108I-C7-8-1-20	150	8927
20190214-PE16_R108I-C7-8-1-20	155	9034
20190214-PE16_R108I-C7-8-1-20	160	9225
20190214-PE16_R108I-C7-8-1-20	165	9266
20190214-PE16_R108I-C7-8-1-20	170	9317
20190214-PE16_R108I-C7-8-1-20	175	9490
20190214-PE16_R108I-C7-8-1-20	180	9563
20190214-PE16_R108I-C7-8-1-20	185	9612
20190214-PE16_R108I-C7-8-1-20	190	9748
20190214-PE16_R108I-C7-8-1-20	195	9804
20190214-PE16_R108I-C7-8-1-20	200	9859
20190214-PE16_R108I-C7-8-1-20	205	9966
20190214-PE16_R108I-C7-8-1-20	210	10172
20190214-PE16_R108I-C7-8-1-20	215	10248
20190214-PE16_R108I-C7-8-1-20	220	10370
20190214-PE16_R108I-C7-8-1-20	225	10412
20190214-PE16_R108I-C7-8-1-20	230	10463
20190214-PE16_R108I-C7-8-1-20	235	10485
20190214-PE16_R108I-C7-8-1-20	240	10598
20190214-PE16_R108I-C7-8-1-20	245	10685
20190214-PE16_R108I-C7-8-1-20	250	10814
20190214-PE16_R108I-C7-8-1-20	255	10857
20190214-PE16_R108I-C7-8-1-20	260	10988
20190214-PE16_R108I-C7-8-1-20	265	11014
20190214-PE16_R108I-C7-8-1-20	270	11053
20190214-PE16_R108I-C7-8-1-20	275	11142
20190214-PE16_R108I-C7-8-1-20	280	11256
20190214-PE16_R108I-C7-8-1-20	285	11375
20190214-PE16_R108I-C7-8-1-20	290	11447
20190214-PE16_R108I-C7-8-1-20	295	11486
20190214-PE16_R108I-C7-8-1-20	300	11461
20190214-PE16_R108I-C7-8-1-20	305	11591
20190214-PE16_R108I-C7-8-1-20	310	11626
20190214-PE16_R108I-C7-8-1-20	315	11840
20190214-PE16_R108I-C7-8-1-20	320	11838
20190214-PE16_R108I-C7-8-1-20	325	11910
20190214-PE16_R108I-C7-8-1-20	330	11938
20190214-PE16_R108I-C7-8-1-20	335	12146
20190214-PE16_R108I-C7-8-1-20	340	12170
20190214-PE16_R108I-C7-8-1-20	345	12154
20190214-PE16_R108I-C7-8-1-20	350	12346
20190214-PE16_R108I-C7-8-1-20	355	12402
20190214-PE16_R108I-C7-8-1-20	360	12413
20190214-PE16_R108I-C7-8-1-20	365	12533
20190214-PE16_R108I-C7-8-1-20	370	12579
20190214-PE16_R108I-C7-8-1-20	375	12744
20190214-PE16_R108I-C7-8-1-20	380	12702
20190214-PE16_R108I-C7-8-1-20	385	12927
20190214-PE16_R108I-C7-8-1-20	390	13037
20190214-PE16_R108I-C7-8-1-20	395	12926
20190214-PE16_R108I-C7-8-1-20	400	13059
20190214-PE16_R108I-C7-8-1-20	405	13208
20190214-PE16_R108I-C7-8-1-20	410	13300
20190214-PE16_R108I-C7-8-1-20	415	13309
20190214-PE16_R108I-C7-8-1-20	420	13347
20190214-PE16_R108I-C7-8-1-20	425	13482
