condition	Time	fluorescence
20190214-PE18_R108Y-A7-8-1-20	0	5711
20190214-PE18_R108Y-A7-8-1-20	5	5769
20190214-PE18_R108Y-A7-8-1-20	10	5759
20190214-PE18_R108Y-A7-8-1-20	15	5826
20190214-PE18_R108Y-A7-8-1-20	20	5827
20190214-PE18_R108Y-A7-8-1-20	25	5912
20190214-PE18_R108Y-A7-8-1-20	30	5920
20190214-PE18_R108Y-A7-8-1-20	35	5937
20190214-PE18_R108Y-A7-8-1-20	40	5983
20190214-PE18_R108Y-A7-8-1-20	45	6067
20190214-PE18_R108Y-A7-8-1-20	50	6052
20190214-PE18_R108Y-A7-8-1-20	55	6084
20190214-PE18_R108Y-A7-8-1-20	60	6115
20190214-PE18_R108Y-A7-8-1-20	65	6098
20190214-PE18_R108Y-A7-8-1-20	70	6205
20190214-PE18_R108Y-A7-8-1-20	75	6207
20190214-PE18_R108Y-A7-8-1-20	80	6264
20190214-PE18_R108Y-A7-8-1-20	85	6277
20190214-PE18_R108Y-A7-8-1-20	90	6269
20190214-PE18_R108Y-A7-8-1-20	95	6331
20190214-PE18_R108Y-A7-8-1-20	100	6339
20190214-PE18_R108Y-A7-8-1-20	105	6286
20190214-PE18_R108Y-A7-8-1-20	110	6396
20190214-PE18_R108Y-A7-8-1-20	115	6423
20190214-PE18_R108Y-A7-8-1-20	120	6436
20190214-PE18_R108Y-A7-8-1-20	125	6450
20190214-PE18_R108Y-A7-8-1-20	130	6482
20190214-PE18_R108Y-A7-8-1-20	135	6526
20190214-PE18_R108Y-A7-8-1-20	140	6526
20190214-PE18_R108Y-A7-8-1-20	145	6587
20190214-PE18_R108Y-A7-8-1-20	150	6604
20190214-PE18_R108Y-A7-8-1-20	155	6637
20190214-PE18_R108Y-A7-8-1-20	160	6640
20190214-PE18_R108Y-A7-8-1-20	165	6691
20190214-PE18_R108Y-A7-8-1-20	170	6653
20190214-PE18_R108Y-A7-8-1-20	175	6693
20190214-PE18_R108Y-A7-8-1-20	180	6775
20190214-PE18_R108Y-A7-8-1-20	185	6785
20190214-PE18_R108Y-A7-8-1-20	190	6865
20190214-PE18_R108Y-A7-8-1-20	195	6864
20190214-PE18_R108Y-A7-8-1-20	200	6903
20190214-PE18_R108Y-A7-8-1-20	205	6892
20190214-PE18_R108Y-A7-8-1-20	210	6923
20190214-PE18_R108Y-A7-8-1-20	215	7053
20190214-PE18_R108Y-A7-8-1-20	220	7004
20190214-PE18_R108Y-A7-8-1-20	225	7058
20190214-PE18_R108Y-A7-8-1-20	230	7063
20190214-PE18_R108Y-A7-8-1-20	235	7057
20190214-PE18_R108Y-A7-8-1-20	240	7072
20190214-PE18_R108Y-A7-8-1-20	245	7197
20190214-PE18_R108Y-A7-8-1-20	250	7181
20190214-PE18_R108Y-A7-8-1-20	255	7282
20190214-PE18_R108Y-A7-8-1-20	260	7256
20190214-PE18_R108Y-A7-8-1-20	265	7262
20190214-PE18_R108Y-A7-8-1-20	270	7353
20190214-PE18_R108Y-A7-8-1-20	275	7354
20190214-PE18_R108Y-A7-8-1-20	280	7337
20190214-PE18_R108Y-A7-8-1-20	285	7435
20190214-PE18_R108Y-A7-8-1-20	290	7419
20190214-PE18_R108Y-A7-8-1-20	295	7418
20190214-PE18_R108Y-A7-8-1-20	300	7495
20190214-PE18_R108Y-A7-8-1-20	305	7521
20190214-PE18_R108Y-A7-8-1-20	310	7567
20190214-PE18_R108Y-A7-8-1-20	315	7493
20190214-PE18_R108Y-A7-8-1-20	320	7614
20190214-PE18_R108Y-A7-8-1-20	325	7678
20190214-PE18_R108Y-A7-8-1-20	330	7647
20190214-PE18_R108Y-A7-8-1-20	335	7700
20190214-PE18_R108Y-A7-8-1-20	340	7733
20190214-PE18_R108Y-A7-8-1-20	345	7723
20190214-PE18_R108Y-A7-8-1-20	350	7763
20190214-PE18_R108Y-A7-8-1-20	355	7786
20190214-PE18_R108Y-A7-8-1-20	360	7851
20190214-PE18_R108Y-A7-8-1-20	365	7932
20190214-PE18_R108Y-A7-8-1-20	370	7896
20190214-PE18_R108Y-A7-8-1-20	375	7902
