condition	Time	fluorescence
20190214-PE19_R78K-C10-8-1-20	0	4783
20190214-PE19_R78K-C10-8-1-20	5	4831
20190214-PE19_R78K-C10-8-1-20	10	4874
20190214-PE19_R78K-C10-8-1-20	15	4865
20190214-PE19_R78K-C10-8-1-20	20	4867
20190214-PE19_R78K-C10-8-1-20	25	4926
20190214-PE19_R78K-C10-8-1-20	30	4941
20190214-PE19_R78K-C10-8-1-20	35	5005
20190214-PE19_R78K-C10-8-1-20	40	5101
20190214-PE19_R78K-C10-8-1-20	45	5085
20190214-PE19_R78K-C10-8-1-20	50	5044
20190214-PE19_R78K-C10-8-1-20	55	5161
20190214-PE19_R78K-C10-8-1-20	60	5135
20190214-PE19_R78K-C10-8-1-20	65	5145
20190214-PE19_R78K-C10-8-1-20	70	5220
20190214-PE19_R78K-C10-8-1-20	75	5243
20190214-PE19_R78K-C10-8-1-20	80	5250
20190214-PE19_R78K-C10-8-1-20	85	5287
20190214-PE19_R78K-C10-8-1-20	90	5257
20190214-PE19_R78K-C10-8-1-20	95	5272
20190214-PE19_R78K-C10-8-1-20	100	5284
20190214-PE19_R78K-C10-8-1-20	105	5299
20190214-PE19_R78K-C10-8-1-20	110	5422
20190214-PE19_R78K-C10-8-1-20	115	5371
20190214-PE19_R78K-C10-8-1-20	120	5500
20190214-PE19_R78K-C10-8-1-20	125	5552
20190214-PE19_R78K-C10-8-1-20	130	5491
20190214-PE19_R78K-C10-8-1-20	135	5536
20190214-PE19_R78K-C10-8-1-20	140	5536
20190214-PE19_R78K-C10-8-1-20	145	5571
20190214-PE19_R78K-C10-8-1-20	150	5584
20190214-PE19_R78K-C10-8-1-20	155	5655
20190214-PE19_R78K-C10-8-1-20	160	5653
20190214-PE19_R78K-C10-8-1-20	165	5698
20190214-PE19_R78K-C10-8-1-20	170	5722
20190214-PE19_R78K-C10-8-1-20	175	5717
20190214-PE19_R78K-C10-8-1-20	180	5790
20190214-PE19_R78K-C10-8-1-20	185	5782
20190214-PE19_R78K-C10-8-1-20	190	5873
20190214-PE19_R78K-C10-8-1-20	195	5775
20190214-PE19_R78K-C10-8-1-20	200	5835
20190214-PE19_R78K-C10-8-1-20	205	5881
20190214-PE19_R78K-C10-8-1-20	210	5914
20190214-PE19_R78K-C10-8-1-20	215	5916
20190214-PE19_R78K-C10-8-1-20	220	6042
20190214-PE19_R78K-C10-8-1-20	225	6043
20190214-PE19_R78K-C10-8-1-20	230	5991
20190214-PE19_R78K-C10-8-1-20	235	6063
20190214-PE19_R78K-C10-8-1-20	240	6122
20190214-PE19_R78K-C10-8-1-20	245	6103
20190214-PE19_R78K-C10-8-1-20	250	6122
20190214-PE19_R78K-C10-8-1-20	255	6107
20190214-PE19_R78K-C10-8-1-20	260	6204
20190214-PE19_R78K-C10-8-1-20	265	6217
20190214-PE19_R78K-C10-8-1-20	270	6259
20190214-PE19_R78K-C10-8-1-20	275	6302
20190214-PE19_R78K-C10-8-1-20	280	6267
20190214-PE19_R78K-C10-8-1-20	285	6331
20190214-PE19_R78K-C10-8-1-20	290	6367
20190214-PE19_R78K-C10-8-1-20	295	6444
20190214-PE19_R78K-C10-8-1-20	300	6355
20190214-PE19_R78K-C10-8-1-20	305	6496
20190214-PE19_R78K-C10-8-1-20	310	6424
20190214-PE19_R78K-C10-8-1-20	315	6427
20190214-PE19_R78K-C10-8-1-20	320	6529
20190214-PE19_R78K-C10-8-1-20	325	6470
