condition	Time	fluorescence
20190215-PE25_R108G-G7-8-1-20	0	6029
20190215-PE25_R108G-G7-8-1-20	5	6049
20190215-PE25_R108G-G7-8-1-20	10	6179
20190215-PE25_R108G-G7-8-1-20	15	6239
20190215-PE25_R108G-G7-8-1-20	20	6357
20190215-PE25_R108G-G7-8-1-20	25	6325
20190215-PE25_R108G-G7-8-1-20	30	6423
20190215-PE25_R108G-G7-8-1-20	35	6520
20190215-PE25_R108G-G7-8-1-20	40	6661
20190215-PE25_R108G-G7-8-1-20	45	6666
20190215-PE25_R108G-G7-8-1-20	50	6735
20190215-PE25_R108G-G7-8-1-20	55	6803
20190215-PE25_R108G-G7-8-1-20	60	6931
20190215-PE25_R108G-G7-8-1-20	65	6915
20190215-PE25_R108G-G7-8-1-20	70	6997
20190215-PE25_R108G-G7-8-1-20	75	7143
20190215-PE25_R108G-G7-8-1-20	80	7156
20190215-PE25_R108G-G7-8-1-20	85	7301
20190215-PE25_R108G-G7-8-1-20	90	7372
20190215-PE25_R108G-G7-8-1-20	95	7403
20190215-PE25_R108G-G7-8-1-20	100	7442
20190215-PE25_R108G-G7-8-1-20	105	7587
20190215-PE25_R108G-G7-8-1-20	110	7690
20190215-PE25_R108G-G7-8-1-20	115	7781
20190215-PE25_R108G-G7-8-1-20	120	7829
20190215-PE25_R108G-G7-8-1-20	125	7910
20190215-PE25_R108G-G7-8-1-20	130	7948
20190215-PE25_R108G-G7-8-1-20	135	8032
20190215-PE25_R108G-G7-8-1-20	140	8189
20190215-PE25_R108G-G7-8-1-20	145	8182
20190215-PE25_R108G-G7-8-1-20	150	8301
20190215-PE25_R108G-G7-8-1-20	155	8358
20190215-PE25_R108G-G7-8-1-20	160	8387
20190215-PE25_R108G-G7-8-1-20	165	8489
20190215-PE25_R108G-G7-8-1-20	170	8613
20190215-PE25_R108G-G7-8-1-20	175	8609
20190215-PE25_R108G-G7-8-1-20	180	8764
20190215-PE25_R108G-G7-8-1-20	185	8717
20190215-PE25_R108G-G7-8-1-20	190	8854
20190215-PE25_R108G-G7-8-1-20	195	9116
20190215-PE25_R108G-G7-8-1-20	200	9014
20190215-PE25_R108G-G7-8-1-20	205	9194
20190215-PE25_R108G-G7-8-1-20	210	9237
20190215-PE25_R108G-G7-8-1-20	215	9306
20190215-PE25_R108G-G7-8-1-20	220	9399
20190215-PE25_R108G-G7-8-1-20	225	9444
20190215-PE25_R108G-G7-8-1-20	230	9569
20190215-PE25_R108G-G7-8-1-20	235	9631
20190215-PE25_R108G-G7-8-1-20	240	9631
20190215-PE25_R108G-G7-8-1-20	245	9726
20190215-PE25_R108G-G7-8-1-20	250	9871
20190215-PE25_R108G-G7-8-1-20	255	9896
20190215-PE25_R108G-G7-8-1-20	260	9996
20190215-PE25_R108G-G7-8-1-20	265	10156
20190215-PE25_R108G-G7-8-1-20	270	10208
20190215-PE25_R108G-G7-8-1-20	275	10261
20190215-PE25_R108G-G7-8-1-20	280	10415
20190215-PE25_R108G-G7-8-1-20	285	10410
20190215-PE25_R108G-G7-8-1-20	290	10525
