condition	Time	fluorescence
20190215-PE26_R108Q-G10-8-1-20	0	6182
20190215-PE26_R108Q-G10-8-1-20	5	6207
20190215-PE26_R108Q-G10-8-1-20	10	6370
20190215-PE26_R108Q-G10-8-1-20	15	6360
20190215-PE26_R108Q-G10-8-1-20	20	6467
20190215-PE26_R108Q-G10-8-1-20	25	6515
20190215-PE26_R108Q-G10-8-1-20	30	6588
20190215-PE26_R108Q-G10-8-1-20	35	6660
20190215-PE26_R108Q-G10-8-1-20	40	6780
20190215-PE26_R108Q-G10-8-1-20	45	6875
20190215-PE26_R108Q-G10-8-1-20	50	6888
20190215-PE26_R108Q-G10-8-1-20	55	7030
20190215-PE26_R108Q-G10-8-1-20	60	7048
20190215-PE26_R108Q-G10-8-1-20	65	7086
20190215-PE26_R108Q-G10-8-1-20	70	7163
20190215-PE26_R108Q-G10-8-1-20	75	7267
20190215-PE26_R108Q-G10-8-1-20	80	7357
20190215-PE26_R108Q-G10-8-1-20	85	7381
20190215-PE26_R108Q-G10-8-1-20	90	7437
20190215-PE26_R108Q-G10-8-1-20	95	7549
20190215-PE26_R108Q-G10-8-1-20	100	7622
20190215-PE26_R108Q-G10-8-1-20	105	7720
20190215-PE26_R108Q-G10-8-1-20	110	7808
20190215-PE26_R108Q-G10-8-1-20	115	7791
20190215-PE26_R108Q-G10-8-1-20	120	7956
20190215-PE26_R108Q-G10-8-1-20	125	7973
20190215-PE26_R108Q-G10-8-1-20	130	8086
20190215-PE26_R108Q-G10-8-1-20	135	8153
20190215-PE26_R108Q-G10-8-1-20	140	8247
20190215-PE26_R108Q-G10-8-1-20	145	8251
20190215-PE26_R108Q-G10-8-1-20	150	8319
20190215-PE26_R108Q-G10-8-1-20	155	8512
20190215-PE26_R108Q-G10-8-1-20	160	8500
20190215-PE26_R108Q-G10-8-1-20	165	8621
20190215-PE26_R108Q-G10-8-1-20	170	8725
20190215-PE26_R108Q-G10-8-1-20	175	8838
20190215-PE26_R108Q-G10-8-1-20	180	8847
20190215-PE26_R108Q-G10-8-1-20	185	8988
20190215-PE26_R108Q-G10-8-1-20	190	8990
20190215-PE26_R108Q-G10-8-1-20	195	9108
20190215-PE26_R108Q-G10-8-1-20	200	9153
20190215-PE26_R108Q-G10-8-1-20	205	9267
20190215-PE26_R108Q-G10-8-1-20	210	9281
20190215-PE26_R108Q-G10-8-1-20	215	9423
20190215-PE26_R108Q-G10-8-1-20	220	9517
20190215-PE26_R108Q-G10-8-1-20	225	9634
20190215-PE26_R108Q-G10-8-1-20	230	9688
20190215-PE26_R108Q-G10-8-1-20	235	9833
20190215-PE26_R108Q-G10-8-1-20	240	9807
20190215-PE26_R108Q-G10-8-1-20	245	9883
20190215-PE26_R108Q-G10-8-1-20	250	9965
20190215-PE26_R108Q-G10-8-1-20	255	10077
20190215-PE26_R108Q-G10-8-1-20	260	10136
20190215-PE26_R108Q-G10-8-1-20	265	10219
20190215-PE26_R108Q-G10-8-1-20	270	10341
20190215-PE26_R108Q-G10-8-1-20	275	10343
20190215-PE26_R108Q-G10-8-1-20	280	10522
20190215-PE26_R108Q-G10-8-1-20	285	10516
20190215-PE26_R108Q-G10-8-1-20	290	10603
20190215-PE26_R108Q-G10-8-1-20	295	10676
20190215-PE26_R108Q-G10-8-1-20	300	10677
20190215-PE26_R108Q-G10-8-1-20	305	10785
20190215-PE26_R108Q-G10-8-1-20	310	10968
20190215-PE26_R108Q-G10-8-1-20	315	10995
20190215-PE26_R108Q-G10-8-1-20	320	11046
20190215-PE26_R108Q-G10-8-1-20	325	11121
20190215-PE26_R108Q-G10-8-1-20	330	11234
20190215-PE26_R108Q-G10-8-1-20	335	11339
20190215-PE26_R108Q-G10-8-1-20	340	11449
20190215-PE26_R108Q-G10-8-1-20	345	11562
20190215-PE26_R108Q-G10-8-1-20	350	11586
20190215-PE26_R108Q-G10-8-1-20	355	11686
20190215-PE26_R108Q-G10-8-1-20	360	11666
20190215-PE26_R108Q-G10-8-1-20	365	11844
20190215-PE26_R108Q-G10-8-1-20	370	11901
20190215-PE26_R108Q-G10-8-1-20	375	12027
20190215-PE26_R108Q-G10-8-1-20	380	12106
20190215-PE26_R108Q-G10-8-1-20	385	12071
20190215-PE26_R108Q-G10-8-1-20	390	12251
20190215-PE26_R108Q-G10-8-1-20	395	12244
20190215-PE26_R108Q-G10-8-1-20	400	12376
20190215-PE26_R108Q-G10-8-1-20	405	12480
20190215-PE26_R108Q-G10-8-1-20	410	12541
20190215-PE26_R108Q-G10-8-1-20	415	12656
20190215-PE26_R108Q-G10-8-1-20	420	12682
20190215-PE26_R108Q-G10-8-1-20	425	12751
20190215-PE26_R108Q-G10-8-1-20	430	12804
20190215-PE26_R108Q-G10-8-1-20	435	12973
20190215-PE26_R108Q-G10-8-1-20	440	12888
20190215-PE26_R108Q-G10-8-1-20	445	12981
20190215-PE26_R108Q-G10-8-1-20	450	13067
20190215-PE26_R108Q-G10-8-1-20	455	13298
20190215-PE26_R108Q-G10-8-1-20	460	13380
20190215-PE26_R108Q-G10-8-1-20	465	13351
20190215-PE26_R108Q-G10-8-1-20	470	13464
20190215-PE26_R108Q-G10-8-1-20	475	13614
20190215-PE26_R108Q-G10-8-1-20	480	13610
20190215-PE26_R108Q-G10-8-1-20	485	13763
20190215-PE26_R108Q-G10-8-1-20	490	13688
20190215-PE26_R108Q-G10-8-1-20	495	13889
20190215-PE26_R108Q-G10-8-1-20	500	13830
20190215-PE26_R108Q-G10-8-1-20	505	14107
20190215-PE26_R108Q-G10-8-1-20	510	14101
20190215-PE26_R108Q-G10-8-1-20	515	14172
20190215-PE26_R108Q-G10-8-1-20	520	14209
20190215-PE26_R108Q-G10-8-1-20	525	14399
20190215-PE26_R108Q-G10-8-1-20	530	14265
20190215-PE26_R108Q-G10-8-1-20	535	14639
20190215-PE26_R108Q-G10-8-1-20	540	14445
20190215-PE26_R108Q-G10-8-1-20	545	14727
20190215-PE26_R108Q-G10-8-1-20	550	14709
20190215-PE26_R108Q-G10-8-1-20	555	14850
20190215-PE26_R108Q-G10-8-1-20	560	14913
20190215-PE26_R108Q-G10-8-1-20	565	14854
20190215-PE26_R108Q-G10-8-1-20	570	14956
20190215-PE26_R108Q-G10-8-1-20	575	15103
20190215-PE26_R108Q-G10-8-1-20	580	15141
20190215-PE26_R108Q-G10-8-1-20	585	15173
20190215-PE26_R108Q-G10-8-1-20	590	15335
20190215-PE26_R108Q-G10-8-1-20	595	15405
20190215-PE26_R108Q-G10-8-1-20	600	15356
20190215-PE26_R108Q-G10-8-1-20	605	15481
20190215-PE26_R108Q-G10-8-1-20	610	15743
20190215-PE26_R108Q-G10-8-1-20	615	15643
20190215-PE26_R108Q-G10-8-1-20	620	15712
20190215-PE26_R108Q-G10-8-1-20	625	15834
20190215-PE26_R108Q-G10-8-1-20	630	15890
20190215-PE26_R108Q-G10-8-1-20	635	16056
20190215-PE26_R108Q-G10-8-1-20	640	16058
20190215-PE26_R108Q-G10-8-1-20	645	16287
20190215-PE26_R108Q-G10-8-1-20	650	16198
20190215-PE26_R108Q-G10-8-1-20	655	16246
20190215-PE26_R108Q-G10-8-1-20	660	16390
20190215-PE26_R108Q-G10-8-1-20	665	16486
20190215-PE26_R108Q-G10-8-1-20	670	16386
20190215-PE26_R108Q-G10-8-1-20	675	16639
20190215-PE26_R108Q-G10-8-1-20	680	16703
20190215-PE26_R108Q-G10-8-1-20	685	16806
20190215-PE26_R108Q-G10-8-1-20	690	16751
20190215-PE26_R108Q-G10-8-1-20	695	16862
20190215-PE26_R108Q-G10-8-1-20	700	16903
20190215-PE26_R108Q-G10-8-1-20	705	16931
20190215-PE26_R108Q-G10-8-1-20	710	17080
20190215-PE26_R108Q-G10-8-1-20	715	17264
20190215-PE26_R108Q-G10-8-1-20	720	17260
20190215-PE26_R108Q-G10-8-1-20	725	17319
20190215-PE26_R108Q-G10-8-1-20	730	17395
20190215-PE26_R108Q-G10-8-1-20	735	17400
20190215-PE26_R108Q-G10-8-1-20	740	17415
20190215-PE26_R108Q-G10-8-1-20	745	17501
20190215-PE26_R108Q-G10-8-1-20	750	17519
20190215-PE26_R108Q-G10-8-1-20	755	17641
20190215-PE26_R108Q-G10-8-1-20	760	17668
20190215-PE26_R108Q-G10-8-1-20	765	17784
20190215-PE26_R108Q-G10-8-1-20	770	17851
20190215-PE26_R108Q-G10-8-1-20	775	18078
20190215-PE26_R108Q-G10-8-1-20	780	17862
20190215-PE26_R108Q-G10-8-1-20	785	18143
20190215-PE26_R108Q-G10-8-1-20	790	18062
20190215-PE26_R108Q-G10-8-1-20	795	18117
20190215-PE26_R108Q-G10-8-1-20	800	18168
20190215-PE26_R108Q-G10-8-1-20	805	18458
20190215-PE26_R108Q-G10-8-1-20	810	18286
20190215-PE26_R108Q-G10-8-1-20	815	18407
20190215-PE26_R108Q-G10-8-1-20	820	18535
20190215-PE26_R108Q-G10-8-1-20	825	18340
20190215-PE26_R108Q-G10-8-1-20	830	18473
20190215-PE26_R108Q-G10-8-1-20	835	18571
20190215-PE26_R108Q-G10-8-1-20	840	18502
20190215-PE26_R108Q-G10-8-1-20	845	18626
20190215-PE26_R108Q-G10-8-1-20	850	18848
20190215-PE26_R108Q-G10-8-1-20	855	18721
20190215-PE26_R108Q-G10-8-1-20	860	18836
20190215-PE26_R108Q-G10-8-1-20	865	18884
20190215-PE26_R108Q-G10-8-1-20	870	18981
20190215-PE26_R108Q-G10-8-1-20	875	18993
20190215-PE26_R108Q-G10-8-1-20	880	18963
20190215-PE26_R108Q-G10-8-1-20	885	18982
20190215-PE26_R108Q-G10-8-1-20	890	18922
20190215-PE26_R108Q-G10-8-1-20	895	18955
20190215-PE26_R108Q-G10-8-1-20	900	19144
20190215-PE26_R108Q-G10-8-1-20	905	19086
20190215-PE26_R108Q-G10-8-1-20	910	18990
20190215-PE26_R108Q-G10-8-1-20	915	19228
20190215-PE26_R108Q-G10-8-1-20	920	18996
20190215-PE26_R108Q-G10-8-1-20	925	19101
20190215-PE26_R108Q-G10-8-1-20	930	19041
20190215-PE26_R108Q-G10-8-1-20	935	19165
20190215-PE26_R108Q-G10-8-1-20	940	19218
20190215-PE26_R108Q-G10-8-1-20	945	19189
20190215-PE26_R108Q-G10-8-1-20	950	19051
20190215-PE26_R108Q-G10-8-1-20	955	19155
20190215-PE26_R108Q-G10-8-1-20	960	19205
20190215-PE26_R108Q-G10-8-1-20	965	19149
20190215-PE26_R108Q-G10-8-1-20	970	19240
20190215-PE26_R108Q-G10-8-1-20	975	19239
20190215-PE26_R108Q-G10-8-1-20	980	19114
20190215-PE26_R108Q-G10-8-1-20	985	19359
20190215-PE26_R108Q-G10-8-1-20	990	19247
20190215-PE26_R108Q-G10-8-1-20	995	19319
20190215-PE26_R108Q-G10-8-1-20	1000	19126
20190215-PE26_R108Q-G10-8-1-20	1005	19243
20190215-PE26_R108Q-G10-8-1-20	1010	19197
20190215-PE26_R108Q-G10-8-1-20	1015	19262
20190215-PE26_R108Q-G10-8-1-20	1020	19250
20190215-PE26_R108Q-G10-8-1-20	1025	19332
20190215-PE26_R108Q-G10-8-1-20	1030	19088
20190215-PE26_R108Q-G10-8-1-20	1035	19226
20190215-PE26_R108Q-G10-8-1-20	1040	19241
20190215-PE26_R108Q-G10-8-1-20	1045	19123
20190215-PE26_R108Q-G10-8-1-20	1050	19279
20190215-PE26_R108Q-G10-8-1-20	1055	19237
20190215-PE26_R108Q-G10-8-1-20	1060	19289
20190215-PE26_R108Q-G10-8-1-20	1065	19222
20190215-PE26_R108Q-G10-8-1-20	1070	19281
20190215-PE26_R108Q-G10-8-1-20	1075	19092
20190215-PE26_R108Q-G10-8-1-20	1080	19188
20190215-PE26_R108Q-G10-8-1-20	1085	19372
20190215-PE26_R108Q-G10-8-1-20	1090	19221
20190215-PE26_R108Q-G10-8-1-20	1095	19218
20190215-PE26_R108Q-G10-8-1-20	1100	19184
20190215-PE26_R108Q-G10-8-1-20	1105	19090
20190215-PE26_R108Q-G10-8-1-20	1110	19318
20190215-PE26_R108Q-G10-8-1-20	1115	19116
20190215-PE26_R108Q-G10-8-1-20	1120	19305
20190215-PE26_R108Q-G10-8-1-20	1125	19125
20190215-PE26_R108Q-G10-8-1-20	1130	19125
20190215-PE26_R108Q-G10-8-1-20	1135	19203
20190215-PE26_R108Q-G10-8-1-20	1140	19211
20190215-PE26_R108Q-G10-8-1-20	1145	19139
20190215-PE26_R108Q-G10-8-1-20	1150	19068
20190215-PE26_R108Q-G10-8-1-20	1155	19268
20190215-PE26_R108Q-G10-8-1-20	1160	19388
20190215-PE26_R108Q-G10-8-1-20	1165	19251
20190215-PE26_R108Q-G10-8-1-20	1170	19281
20190215-PE26_R108Q-G10-8-1-20	1175	19161
20190215-PE26_R108Q-G10-8-1-20	1180	19169
20190215-PE26_R108Q-G10-8-1-20	1185	19296
20190215-PE26_R108Q-G10-8-1-20	1190	19387
20190215-PE26_R108Q-G10-8-1-20	1195	19174
20190215-PE26_R108Q-G10-8-1-20	1200	19174
20190215-PE26_R108Q-G10-8-1-20	1205	19233
20190215-PE26_R108Q-G10-8-1-20	1210	19243
20190215-PE26_R108Q-G10-8-1-20	1215	19267
20190215-PE26_R108Q-G10-8-1-20	1220	19375
20190215-PE26_R108Q-G10-8-1-20	1225	19103
20190215-PE26_R108Q-G10-8-1-20	1230	19295
20190215-PE26_R108Q-G10-8-1-20	1235	19194
20190215-PE26_R108Q-G10-8-1-20	1240	19193
20190215-PE26_R108Q-G10-8-1-20	1245	19166
20190215-PE26_R108Q-G10-8-1-20	1250	19299
20190215-PE26_R108Q-G10-8-1-20	1255	19216
20190215-PE26_R108Q-G10-8-1-20	1260	19207
20190215-PE26_R108Q-G10-8-1-20	1265	19230
20190215-PE26_R108Q-G10-8-1-20	1270	19346
