condition	Time	fluorescence
20190215-PE27_H141E-C3-8-1-20	0	6318
20190215-PE27_H141E-C3-8-1-20	5	6397
20190215-PE27_H141E-C3-8-1-20	10	6460
20190215-PE27_H141E-C3-8-1-20	15	6540
20190215-PE27_H141E-C3-8-1-20	20	6538
20190215-PE27_H141E-C3-8-1-20	25	6601
20190215-PE27_H141E-C3-8-1-20	30	6680
20190215-PE27_H141E-C3-8-1-20	35	6673
20190215-PE27_H141E-C3-8-1-20	40	6797
20190215-PE27_H141E-C3-8-1-20	45	6805
20190215-PE27_H141E-C3-8-1-20	50	6914
20190215-PE27_H141E-C3-8-1-20	55	6836
20190215-PE27_H141E-C3-8-1-20	60	6871
20190215-PE27_H141E-C3-8-1-20	65	7008
20190215-PE27_H141E-C3-8-1-20	70	7038
20190215-PE27_H141E-C3-8-1-20	75	7032
20190215-PE27_H141E-C3-8-1-20	80	7108
20190215-PE27_H141E-C3-8-1-20	85	7181
20190215-PE27_H141E-C3-8-1-20	90	7276
20190215-PE27_H141E-C3-8-1-20	95	7333
20190215-PE27_H141E-C3-8-1-20	100	7359
20190215-PE27_H141E-C3-8-1-20	105	7358
20190215-PE27_H141E-C3-8-1-20	110	7466
20190215-PE27_H141E-C3-8-1-20	115	7522
20190215-PE27_H141E-C3-8-1-20	120	7586
20190215-PE27_H141E-C3-8-1-20	125	7625
20190215-PE27_H141E-C3-8-1-20	130	7684
20190215-PE27_H141E-C3-8-1-20	135	7653
20190215-PE27_H141E-C3-8-1-20	140	7772
20190215-PE27_H141E-C3-8-1-20	145	7837
20190215-PE27_H141E-C3-8-1-20	150	7884
20190215-PE27_H141E-C3-8-1-20	155	7949
20190215-PE27_H141E-C3-8-1-20	160	7971
20190215-PE27_H141E-C3-8-1-20	165	8026
20190215-PE27_H141E-C3-8-1-20	170	8071
20190215-PE27_H141E-C3-8-1-20	175	8134
20190215-PE27_H141E-C3-8-1-20	180	8214
20190215-PE27_H141E-C3-8-1-20	185	8215
20190215-PE27_H141E-C3-8-1-20	190	8281
20190215-PE27_H141E-C3-8-1-20	195	8288
20190215-PE27_H141E-C3-8-1-20	200	8408
