condition	Time	fluorescence
20190215-PE31_T34S-C10-8-1-20	0	5554
20190215-PE31_T34S-C10-8-1-20	5	5576
20190215-PE31_T34S-C10-8-1-20	10	5718
20190215-PE31_T34S-C10-8-1-20	15	5781
20190215-PE31_T34S-C10-8-1-20	20	5729
20190215-PE31_T34S-C10-8-1-20	25	5862
20190215-PE31_T34S-C10-8-1-20	30	5966
20190215-PE31_T34S-C10-8-1-20	35	5925
20190215-PE31_T34S-C10-8-1-20	40	5999
20190215-PE31_T34S-C10-8-1-20	45	6075
20190215-PE31_T34S-C10-8-1-20	50	6158
20190215-PE31_T34S-C10-8-1-20	55	6191
20190215-PE31_T34S-C10-8-1-20	60	6228
20190215-PE31_T34S-C10-8-1-20	65	6252
20190215-PE31_T34S-C10-8-1-20	70	6354
20190215-PE31_T34S-C10-8-1-20	75	6395
20190215-PE31_T34S-C10-8-1-20	80	6452
20190215-PE31_T34S-C10-8-1-20	85	6495
20190215-PE31_T34S-C10-8-1-20	90	6608
20190215-PE31_T34S-C10-8-1-20	95	6595
20190215-PE31_T34S-C10-8-1-20	100	6665
20190215-PE31_T34S-C10-8-1-20	105	6734
20190215-PE31_T34S-C10-8-1-20	110	6755
20190215-PE31_T34S-C10-8-1-20	115	6817
20190215-PE31_T34S-C10-8-1-20	120	6877
20190215-PE31_T34S-C10-8-1-20	125	6928
20190215-PE31_T34S-C10-8-1-20	130	6963
20190215-PE31_T34S-C10-8-1-20	135	7009
20190215-PE31_T34S-C10-8-1-20	140	7060
20190215-PE31_T34S-C10-8-1-20	145	7132
20190215-PE31_T34S-C10-8-1-20	150	7143
20190215-PE31_T34S-C10-8-1-20	155	7235
20190215-PE31_T34S-C10-8-1-20	160	7289
20190215-PE31_T34S-C10-8-1-20	165	7413
20190215-PE31_T34S-C10-8-1-20	170	7513
20190215-PE31_T34S-C10-8-1-20	175	7511
20190215-PE31_T34S-C10-8-1-20	180	7548
20190215-PE31_T34S-C10-8-1-20	185	7599
20190215-PE31_T34S-C10-8-1-20	190	7630
20190215-PE31_T34S-C10-8-1-20	195	7716
20190215-PE31_T34S-C10-8-1-20	200	7858
20190215-PE31_T34S-C10-8-1-20	205	7840
20190215-PE31_T34S-C10-8-1-20	210	7932
20190215-PE31_T34S-C10-8-1-20	215	7944
20190215-PE31_T34S-C10-8-1-20	220	7994
20190215-PE31_T34S-C10-8-1-20	225	8025
