condition	Time	fluorescence
20190220-PE3_T34E-E3-16-1-20	0	6461
20190220-PE3_T34E-E3-16-1-20	5	6547
20190220-PE3_T34E-E3-16-1-20	10	6580
20190220-PE3_T34E-E3-16-1-20	15	6714
20190220-PE3_T34E-E3-16-1-20	20	6785
20190220-PE3_T34E-E3-16-1-20	25	6796
20190220-PE3_T34E-E3-16-1-20	30	6898
20190220-PE3_T34E-E3-16-1-20	35	6980
20190220-PE3_T34E-E3-16-1-20	40	6998
20190220-PE3_T34E-E3-16-1-20	45	7128
20190220-PE3_T34E-E3-16-1-20	50	7212
20190220-PE3_T34E-E3-16-1-20	55	7195
20190220-PE3_T34E-E3-16-1-20	60	7367
20190220-PE3_T34E-E3-16-1-20	65	7363
20190220-PE3_T34E-E3-16-1-20	70	7414
20190220-PE3_T34E-E3-16-1-20	75	7433
20190220-PE3_T34E-E3-16-1-20	80	7543
20190220-PE3_T34E-E3-16-1-20	85	7638
20190220-PE3_T34E-E3-16-1-20	90	7623
20190220-PE3_T34E-E3-16-1-20	95	7737
20190220-PE3_T34E-E3-16-1-20	100	7750
20190220-PE3_T34E-E3-16-1-20	105	7841
20190220-PE3_T34E-E3-16-1-20	110	7898
20190220-PE3_T34E-E3-16-1-20	115	8027
20190220-PE3_T34E-E3-16-1-20	120	8038
20190220-PE3_T34E-E3-16-1-20	125	8152
20190220-PE3_T34E-E3-16-1-20	130	8245
20190220-PE3_T34E-E3-16-1-20	135	8289
20190220-PE3_T34E-E3-16-1-20	140	8341
20190220-PE3_T34E-E3-16-1-20	145	8427
20190220-PE3_T34E-E3-16-1-20	150	8529
20190220-PE3_T34E-E3-16-1-20	155	8588
20190220-PE3_T34E-E3-16-1-20	160	8703
20190220-PE3_T34E-E3-16-1-20	165	8759
20190220-PE3_T34E-E3-16-1-20	170	8673
20190220-PE3_T34E-E3-16-1-20	175	8722
20190220-PE3_T34E-E3-16-1-20	180	8936
20190220-PE3_T34E-E3-16-1-20	185	8927
20190220-PE3_T34E-E3-16-1-20	190	9078
20190220-PE3_T34E-E3-16-1-20	195	9086
20190220-PE3_T34E-E3-16-1-20	200	9171
20190220-PE3_T34E-E3-16-1-20	205	9198
20190220-PE3_T34E-E3-16-1-20	210	9319
20190220-PE3_T34E-E3-16-1-20	215	9356
20190220-PE3_T34E-E3-16-1-20	220	9320
20190220-PE3_T34E-E3-16-1-20	225	9441
20190220-PE3_T34E-E3-16-1-20	230	9592
20190220-PE3_T34E-E3-16-1-20	235	9646
20190220-PE3_T34E-E3-16-1-20	240	9670
20190220-PE3_T34E-E3-16-1-20	245	9784
20190220-PE3_T34E-E3-16-1-20	250	9850
20190220-PE3_T34E-E3-16-1-20	255	9997
20190220-PE3_T34E-E3-16-1-20	260	9950
20190220-PE3_T34E-E3-16-1-20	265	10126
20190220-PE3_T34E-E3-16-1-20	270	10163
20190220-PE3_T34E-E3-16-1-20	275	10232
20190220-PE3_T34E-E3-16-1-20	280	10343
20190220-PE3_T34E-E3-16-1-20	285	10366
20190220-PE3_T34E-E3-16-1-20	290	10405
20190220-PE3_T34E-E3-16-1-20	295	10456
20190220-PE3_T34E-E3-16-1-20	300	10651
20190220-PE3_T34E-E3-16-1-20	305	10734
20190220-PE3_T34E-E3-16-1-20	310	10671
20190220-PE3_T34E-E3-16-1-20	315	10740
20190220-PE3_T34E-E3-16-1-20	320	10788
20190220-PE3_T34E-E3-16-1-20	325	10812
20190220-PE3_T34E-E3-16-1-20	330	11012
20190220-PE3_T34E-E3-16-1-20	335	11044
20190220-PE3_T34E-E3-16-1-20	340	11131
20190220-PE3_T34E-E3-16-1-20	345	11293
20190220-PE3_T34E-E3-16-1-20	350	11196
20190220-PE3_T34E-E3-16-1-20	355	11302
20190220-PE3_T34E-E3-16-1-20	360	11453
20190220-PE3_T34E-E3-16-1-20	365	11463
20190220-PE3_T34E-E3-16-1-20	370	11448
20190220-PE3_T34E-E3-16-1-20	375	11596
20190220-PE3_T34E-E3-16-1-20	380	11664
20190220-PE3_T34E-E3-16-1-20	385	11788
20190220-PE3_T34E-E3-16-1-20	390	11836
20190220-PE3_T34E-E3-16-1-20	395	11837
20190220-PE3_T34E-E3-16-1-20	400	11977
20190220-PE3_T34E-E3-16-1-20	405	11992
20190220-PE3_T34E-E3-16-1-20	410	12051
20190220-PE3_T34E-E3-16-1-20	415	12173
20190220-PE3_T34E-E3-16-1-20	420	12126
20190220-PE3_T34E-E3-16-1-20	425	12291
20190220-PE3_T34E-E3-16-1-20	430	12410
20190220-PE3_T34E-E3-16-1-20	435	12489
20190220-PE3_T34E-E3-16-1-20	440	12492
20190220-PE3_T34E-E3-16-1-20	445	12514
20190220-PE3_T34E-E3-16-1-20	450	12570
20190220-PE3_T34E-E3-16-1-20	455	12791
20190220-PE3_T34E-E3-16-1-20	460	12850
20190220-PE3_T34E-E3-16-1-20	465	12872
20190220-PE3_T34E-E3-16-1-20	470	12942
20190220-PE3_T34E-E3-16-1-20	475	13041
20190220-PE3_T34E-E3-16-1-20	480	13068
20190220-PE3_T34E-E3-16-1-20	485	13088
20190220-PE3_T34E-E3-16-1-20	490	13138
20190220-PE3_T34E-E3-16-1-20	495	13206
20190220-PE3_T34E-E3-16-1-20	500	13271
20190220-PE3_T34E-E3-16-1-20	505	13389
20190220-PE3_T34E-E3-16-1-20	510	13303
20190220-PE3_T34E-E3-16-1-20	515	13588
20190220-PE3_T34E-E3-16-1-20	520	13495
20190220-PE3_T34E-E3-16-1-20	525	13721
20190220-PE3_T34E-E3-16-1-20	530	13639
20190220-PE3_T34E-E3-16-1-20	535	13836
20190220-PE3_T34E-E3-16-1-20	540	13872
20190220-PE3_T34E-E3-16-1-20	545	13890
20190220-PE3_T34E-E3-16-1-20	550	13906
20190220-PE3_T34E-E3-16-1-20	555	14232
20190220-PE3_T34E-E3-16-1-20	560	14104
20190220-PE3_T34E-E3-16-1-20	565	14171
20190220-PE3_T34E-E3-16-1-20	570	14357
20190220-PE3_T34E-E3-16-1-20	575	14351
20190220-PE3_T34E-E3-16-1-20	580	14301
20190220-PE3_T34E-E3-16-1-20	585	14658
20190220-PE3_T34E-E3-16-1-20	590	14444
20190220-PE3_T34E-E3-16-1-20	595	14540
20190220-PE3_T34E-E3-16-1-20	600	14622
20190220-PE3_T34E-E3-16-1-20	605	14790
20190220-PE3_T34E-E3-16-1-20	610	14786
20190220-PE3_T34E-E3-16-1-20	615	14999
20190220-PE3_T34E-E3-16-1-20	620	14898
20190220-PE3_T34E-E3-16-1-20	625	15057
20190220-PE3_T34E-E3-16-1-20	630	14924
20190220-PE3_T34E-E3-16-1-20	635	15132
20190220-PE3_T34E-E3-16-1-20	640	15208
20190220-PE3_T34E-E3-16-1-20	645	15181
20190220-PE3_T34E-E3-16-1-20	650	15402
20190220-PE3_T34E-E3-16-1-20	655	15439
20190220-PE3_T34E-E3-16-1-20	660	15416
20190220-PE3_T34E-E3-16-1-20	665	15493
20190220-PE3_T34E-E3-16-1-20	670	15555
20190220-PE3_T34E-E3-16-1-20	675	15610
20190220-PE3_T34E-E3-16-1-20	680	15739
20190220-PE3_T34E-E3-16-1-20	685	15675
20190220-PE3_T34E-E3-16-1-20	690	15726
