condition	Time	fluorescence
20190222-PE7_Q147E-G7-8-1-20	0	6692
20190222-PE7_Q147E-G7-8-1-20	5	6740
20190222-PE7_Q147E-G7-8-1-20	10	6900
20190222-PE7_Q147E-G7-8-1-20	15	6944
20190222-PE7_Q147E-G7-8-1-20	20	7107
20190222-PE7_Q147E-G7-8-1-20	25	7131
20190222-PE7_Q147E-G7-8-1-20	30	7234
20190222-PE7_Q147E-G7-8-1-20	35	7286
20190222-PE7_Q147E-G7-8-1-20	40	7439
20190222-PE7_Q147E-G7-8-1-20	45	7544
20190222-PE7_Q147E-G7-8-1-20	50	7584
20190222-PE7_Q147E-G7-8-1-20	55	7716
20190222-PE7_Q147E-G7-8-1-20	60	7755
20190222-PE7_Q147E-G7-8-1-20	65	7820
20190222-PE7_Q147E-G7-8-1-20	70	8014
20190222-PE7_Q147E-G7-8-1-20	75	8017
20190222-PE7_Q147E-G7-8-1-20	80	8133
20190222-PE7_Q147E-G7-8-1-20	85	8248
20190222-PE7_Q147E-G7-8-1-20	90	8331
20190222-PE7_Q147E-G7-8-1-20	95	8499
20190222-PE7_Q147E-G7-8-1-20	100	8540
20190222-PE7_Q147E-G7-8-1-20	105	8575
20190222-PE7_Q147E-G7-8-1-20	110	8673
20190222-PE7_Q147E-G7-8-1-20	115	8743
20190222-PE7_Q147E-G7-8-1-20	120	8859
20190222-PE7_Q147E-G7-8-1-20	125	9003
20190222-PE7_Q147E-G7-8-1-20	130	9031
20190222-PE7_Q147E-G7-8-1-20	135	9097
20190222-PE7_Q147E-G7-8-1-20	140	9328
20190222-PE7_Q147E-G7-8-1-20	145	9314
20190222-PE7_Q147E-G7-8-1-20	150	9437
20190222-PE7_Q147E-G7-8-1-20	155	9662
20190222-PE7_Q147E-G7-8-1-20	160	9679
20190222-PE7_Q147E-G7-8-1-20	165	9704
20190222-PE7_Q147E-G7-8-1-20	170	9880
20190222-PE7_Q147E-G7-8-1-20	175	9909
20190222-PE7_Q147E-G7-8-1-20	180	10056
20190222-PE7_Q147E-G7-8-1-20	185	10135
20190222-PE7_Q147E-G7-8-1-20	190	10275
20190222-PE7_Q147E-G7-8-1-20	195	10355
20190222-PE7_Q147E-G7-8-1-20	200	10343
20190222-PE7_Q147E-G7-8-1-20	205	10492
20190222-PE7_Q147E-G7-8-1-20	210	10683
20190222-PE7_Q147E-G7-8-1-20	215	10618
20190222-PE7_Q147E-G7-8-1-20	220	10887
20190222-PE7_Q147E-G7-8-1-20	225	10974
20190222-PE7_Q147E-G7-8-1-20	230	10959
20190222-PE7_Q147E-G7-8-1-20	235	11183
20190222-PE7_Q147E-G7-8-1-20	240	11212
20190222-PE7_Q147E-G7-8-1-20	245	11316
20190222-PE7_Q147E-G7-8-1-20	250	11369
20190222-PE7_Q147E-G7-8-1-20	255	11498
20190222-PE7_Q147E-G7-8-1-20	260	11637
20190222-PE7_Q147E-G7-8-1-20	265	11678
20190222-PE7_Q147E-G7-8-1-20	270	11847
20190222-PE7_Q147E-G7-8-1-20	275	11936
20190222-PE7_Q147E-G7-8-1-20	280	11899
