condition	Time	fluorescence
20190222-PE8_F58A-G10-8-1-20	0	6584
20190222-PE8_F58A-G10-8-1-20	5	6690
20190222-PE8_F58A-G10-8-1-20	10	6782
20190222-PE8_F58A-G10-8-1-20	15	6818
20190222-PE8_F58A-G10-8-1-20	20	6942
20190222-PE8_F58A-G10-8-1-20	25	7034
20190222-PE8_F58A-G10-8-1-20	30	7107
20190222-PE8_F58A-G10-8-1-20	35	7109
20190222-PE8_F58A-G10-8-1-20	40	7275
20190222-PE8_F58A-G10-8-1-20	45	7293
20190222-PE8_F58A-G10-8-1-20	50	7378
20190222-PE8_F58A-G10-8-1-20	55	7413
20190222-PE8_F58A-G10-8-1-20	60	7441
20190222-PE8_F58A-G10-8-1-20	65	7561
20190222-PE8_F58A-G10-8-1-20	70	7651
20190222-PE8_F58A-G10-8-1-20	75	7738
20190222-PE8_F58A-G10-8-1-20	80	7860
20190222-PE8_F58A-G10-8-1-20	85	7938
20190222-PE8_F58A-G10-8-1-20	90	7951
20190222-PE8_F58A-G10-8-1-20	95	8102
20190222-PE8_F58A-G10-8-1-20	100	8132
20190222-PE8_F58A-G10-8-1-20	105	8250
20190222-PE8_F58A-G10-8-1-20	110	8316
20190222-PE8_F58A-G10-8-1-20	115	8409
20190222-PE8_F58A-G10-8-1-20	120	8504
20190222-PE8_F58A-G10-8-1-20	125	8575
20190222-PE8_F58A-G10-8-1-20	130	8743
20190222-PE8_F58A-G10-8-1-20	135	8792
20190222-PE8_F58A-G10-8-1-20	140	8759
20190222-PE8_F58A-G10-8-1-20	145	8954
20190222-PE8_F58A-G10-8-1-20	150	9065
20190222-PE8_F58A-G10-8-1-20	155	9054
20190222-PE8_F58A-G10-8-1-20	160	9132
20190222-PE8_F58A-G10-8-1-20	165	9275
20190222-PE8_F58A-G10-8-1-20	170	9380
20190222-PE8_F58A-G10-8-1-20	175	9485
20190222-PE8_F58A-G10-8-1-20	180	9505
20190222-PE8_F58A-G10-8-1-20	185	9551
20190222-PE8_F58A-G10-8-1-20	190	9711
20190222-PE8_F58A-G10-8-1-20	195	9757
20190222-PE8_F58A-G10-8-1-20	200	9896
20190222-PE8_F58A-G10-8-1-20	205	9929
20190222-PE8_F58A-G10-8-1-20	210	10078
20190222-PE8_F58A-G10-8-1-20	215	9986
20190222-PE8_F58A-G10-8-1-20	220	10142
20190222-PE8_F58A-G10-8-1-20	225	10265
20190222-PE8_F58A-G10-8-1-20	230	10302
20190222-PE8_F58A-G10-8-1-20	235	10352
20190222-PE8_F58A-G10-8-1-20	240	10597
20190222-PE8_F58A-G10-8-1-20	245	10509
20190222-PE8_F58A-G10-8-1-20	250	10672
20190222-PE8_F58A-G10-8-1-20	255	10823
20190222-PE8_F58A-G10-8-1-20	260	10837
20190222-PE8_F58A-G10-8-1-20	265	10999
20190222-PE8_F58A-G10-8-1-20	270	11123
20190222-PE8_F58A-G10-8-1-20	275	11110
20190222-PE8_F58A-G10-8-1-20	280	11115
20190222-PE8_F58A-G10-8-1-20	285	11255
20190222-PE8_F58A-G10-8-1-20	290	11373
20190222-PE8_F58A-G10-8-1-20	295	11445
20190222-PE8_F58A-G10-8-1-20	300	11542
20190222-PE8_F58A-G10-8-1-20	305	11688
20190222-PE8_F58A-G10-8-1-20	310	11682
20190222-PE8_F58A-G10-8-1-20	315	11820
20190222-PE8_F58A-G10-8-1-20	320	11763
20190222-PE8_F58A-G10-8-1-20	325	11999
20190222-PE8_F58A-G10-8-1-20	330	12055
20190222-PE8_F58A-G10-8-1-20	335	12172
20190222-PE8_F58A-G10-8-1-20	340	12173
20190222-PE8_F58A-G10-8-1-20	345	12323
20190222-PE8_F58A-G10-8-1-20	350	12538
20190222-PE8_F58A-G10-8-1-20	355	12445
20190222-PE8_F58A-G10-8-1-20	360	12544
20190222-PE8_F58A-G10-8-1-20	365	12685
20190222-PE8_F58A-G10-8-1-20	370	12666
20190222-PE8_F58A-G10-8-1-20	375	12726
20190222-PE8_F58A-G10-8-1-20	380	12865
20190222-PE8_F58A-G10-8-1-20	385	12983
20190222-PE8_F58A-G10-8-1-20	390	13185
20190222-PE8_F58A-G10-8-1-20	395	13159
20190222-PE8_F58A-G10-8-1-20	400	13278
20190222-PE8_F58A-G10-8-1-20	405	13281
20190222-PE8_F58A-G10-8-1-20	410	13401
20190222-PE8_F58A-G10-8-1-20	415	13433
20190222-PE8_F58A-G10-8-1-20	420	13660
20190222-PE8_F58A-G10-8-1-20	425	13621
20190222-PE8_F58A-G10-8-1-20	430	13641
20190222-PE8_F58A-G10-8-1-20	435	13870
20190222-PE8_F58A-G10-8-1-20	440	13809
20190222-PE8_F58A-G10-8-1-20	445	13919
