condition	Time	fluorescence
20190226-PE20_K132H-A7-16-1-20	0	8212
20190226-PE20_K132H-A7-16-1-20	5	8228
20190226-PE20_K132H-A7-16-1-20	10	8294
20190226-PE20_K132H-A7-16-1-20	15	8325
20190226-PE20_K132H-A7-16-1-20	20	8461
20190226-PE20_K132H-A7-16-1-20	25	8422
20190226-PE20_K132H-A7-16-1-20	30	8541
20190226-PE20_K132H-A7-16-1-20	35	8538
20190226-PE20_K132H-A7-16-1-20	40	8763
20190226-PE20_K132H-A7-16-1-20	45	8698
20190226-PE20_K132H-A7-16-1-20	50	8852
20190226-PE20_K132H-A7-16-1-20	55	8803
20190226-PE20_K132H-A7-16-1-20	60	8849
20190226-PE20_K132H-A7-16-1-20	65	8965
20190226-PE20_K132H-A7-16-1-20	70	8990
20190226-PE20_K132H-A7-16-1-20	75	9029
20190226-PE20_K132H-A7-16-1-20	80	9179
20190226-PE20_K132H-A7-16-1-20	85	9134
20190226-PE20_K132H-A7-16-1-20	90	9213
20190226-PE20_K132H-A7-16-1-20	95	9342
20190226-PE20_K132H-A7-16-1-20	100	9329
20190226-PE20_K132H-A7-16-1-20	105	9362
20190226-PE20_K132H-A7-16-1-20	110	9544
20190226-PE20_K132H-A7-16-1-20	115	9506
20190226-PE20_K132H-A7-16-1-20	120	9555
20190226-PE20_K132H-A7-16-1-20	125	9561
20190226-PE20_K132H-A7-16-1-20	130	9635
20190226-PE20_K132H-A7-16-1-20	135	9786
20190226-PE20_K132H-A7-16-1-20	140	9830
20190226-PE20_K132H-A7-16-1-20	145	9861
20190226-PE20_K132H-A7-16-1-20	150	9957
20190226-PE20_K132H-A7-16-1-20	155	9904
20190226-PE20_K132H-A7-16-1-20	160	10016
20190226-PE20_K132H-A7-16-1-20	165	10013
20190226-PE20_K132H-A7-16-1-20	170	10146
20190226-PE20_K132H-A7-16-1-20	175	10215
20190226-PE20_K132H-A7-16-1-20	180	10217
20190226-PE20_K132H-A7-16-1-20	185	10342
20190226-PE20_K132H-A7-16-1-20	190	10313
20190226-PE20_K132H-A7-16-1-20	195	10370
20190226-PE20_K132H-A7-16-1-20	200	10384
20190226-PE20_K132H-A7-16-1-20	205	10533
20190226-PE20_K132H-A7-16-1-20	210	10539
20190226-PE20_K132H-A7-16-1-20	215	10611
20190226-PE20_K132H-A7-16-1-20	220	10748
20190226-PE20_K132H-A7-16-1-20	225	10698
20190226-PE20_K132H-A7-16-1-20	230	10712
20190226-PE20_K132H-A7-16-1-20	235	10795
20190226-PE20_K132H-A7-16-1-20	240	11002
