condition	Time	fluorescence
20190226-PE4_R108L-A4-8-1-20	0	5874
20190226-PE4_R108L-A4-8-1-20	5	5875
20190226-PE4_R108L-A4-8-1-20	10	5935
20190226-PE4_R108L-A4-8-1-20	15	6011
20190226-PE4_R108L-A4-8-1-20	20	6120
20190226-PE4_R108L-A4-8-1-20	25	6176
20190226-PE4_R108L-A4-8-1-20	30	6254
20190226-PE4_R108L-A4-8-1-20	35	6284
20190226-PE4_R108L-A4-8-1-20	40	6326
20190226-PE4_R108L-A4-8-1-20	45	6398
20190226-PE4_R108L-A4-8-1-20	50	6470
20190226-PE4_R108L-A4-8-1-20	55	6508
20190226-PE4_R108L-A4-8-1-20	60	6530
20190226-PE4_R108L-A4-8-1-20	65	6626
20190226-PE4_R108L-A4-8-1-20	70	6698
20190226-PE4_R108L-A4-8-1-20	75	6745
20190226-PE4_R108L-A4-8-1-20	80	6765
20190226-PE4_R108L-A4-8-1-20	85	6782
20190226-PE4_R108L-A4-8-1-20	90	6877
20190226-PE4_R108L-A4-8-1-20	95	6999
20190226-PE4_R108L-A4-8-1-20	100	7075
20190226-PE4_R108L-A4-8-1-20	105	7040
20190226-PE4_R108L-A4-8-1-20	110	7191
20190226-PE4_R108L-A4-8-1-20	115	7301
20190226-PE4_R108L-A4-8-1-20	120	7253
20190226-PE4_R108L-A4-8-1-20	125	7291
20190226-PE4_R108L-A4-8-1-20	130	7383
20190226-PE4_R108L-A4-8-1-20	135	7486
20190226-PE4_R108L-A4-8-1-20	140	7479
20190226-PE4_R108L-A4-8-1-20	145	7589
20190226-PE4_R108L-A4-8-1-20	150	7619
20190226-PE4_R108L-A4-8-1-20	155	7739
20190226-PE4_R108L-A4-8-1-20	160	7720
20190226-PE4_R108L-A4-8-1-20	165	7854
20190226-PE4_R108L-A4-8-1-20	170	7815
20190226-PE4_R108L-A4-8-1-20	175	7994
20190226-PE4_R108L-A4-8-1-20	180	7947
20190226-PE4_R108L-A4-8-1-20	185	8091
20190226-PE4_R108L-A4-8-1-20	190	8127
20190226-PE4_R108L-A4-8-1-20	195	8233
20190226-PE4_R108L-A4-8-1-20	200	8325
20190226-PE4_R108L-A4-8-1-20	205	8341
20190226-PE4_R108L-A4-8-1-20	210	8407
20190226-PE4_R108L-A4-8-1-20	215	8518
20190226-PE4_R108L-A4-8-1-20	220	8560
20190226-PE4_R108L-A4-8-1-20	225	8533
20190226-PE4_R108L-A4-8-1-20	230	8605
20190226-PE4_R108L-A4-8-1-20	235	8687
20190226-PE4_R108L-A4-8-1-20	240	8814
20190226-PE4_R108L-A4-8-1-20	245	8869
20190226-PE4_R108L-A4-8-1-20	250	8888
20190226-PE4_R108L-A4-8-1-20	255	8990
20190226-PE4_R108L-A4-8-1-20	260	9016
20190226-PE4_R108L-A4-8-1-20	265	9085
20190226-PE4_R108L-A4-8-1-20	270	9179
20190226-PE4_R108L-A4-8-1-20	275	9167
20190226-PE4_R108L-A4-8-1-20	280	9198
20190226-PE4_R108L-A4-8-1-20	285	9337
20190226-PE4_R108L-A4-8-1-20	290	9379
20190226-PE4_R108L-A4-8-1-20	295	9407
20190226-PE4_R108L-A4-8-1-20	300	9503
20190226-PE4_R108L-A4-8-1-20	305	9563
20190226-PE4_R108L-A4-8-1-20	310	9618
20190226-PE4_R108L-A4-8-1-20	315	9674
20190226-PE4_R108L-A4-8-1-20	320	9723
20190226-PE4_R108L-A4-8-1-20	325	9824
20190226-PE4_R108L-A4-8-1-20	330	9835
20190226-PE4_R108L-A4-8-1-20	335	9981
20190226-PE4_R108L-A4-8-1-20	340	9954
20190226-PE4_R108L-A4-8-1-20	345	10095
20190226-PE4_R108L-A4-8-1-20	350	10062
20190226-PE4_R108L-A4-8-1-20	355	10123
20190226-PE4_R108L-A4-8-1-20	360	10248
20190226-PE4_R108L-A4-8-1-20	365	10319
20190226-PE4_R108L-A4-8-1-20	370	10335
20190226-PE4_R108L-A4-8-1-20	375	10365
20190226-PE4_R108L-A4-8-1-20	380	10451
20190226-PE4_R108L-A4-8-1-20	385	10607
20190226-PE4_R108L-A4-8-1-20	390	10653
20190226-PE4_R108L-A4-8-1-20	395	10639
20190226-PE4_R108L-A4-8-1-20	400	10760
20190226-PE4_R108L-A4-8-1-20	405	10736
20190226-PE4_R108L-A4-8-1-20	410	10779
20190226-PE4_R108L-A4-8-1-20	415	10858
20190226-PE4_R108L-A4-8-1-20	420	10897
20190226-PE4_R108L-A4-8-1-20	425	10988
20190226-PE4_R108L-A4-8-1-20	430	11084
20190226-PE4_R108L-A4-8-1-20	435	11138
20190226-PE4_R108L-A4-8-1-20	440	11198
20190226-PE4_R108L-A4-8-1-20	445	11222
20190226-PE4_R108L-A4-8-1-20	450	11258
20190226-PE4_R108L-A4-8-1-20	455	11367
20190226-PE4_R108L-A4-8-1-20	460	11445
20190226-PE4_R108L-A4-8-1-20	465	11480
20190226-PE4_R108L-A4-8-1-20	470	11495
20190226-PE4_R108L-A4-8-1-20	475	11602
20190226-PE4_R108L-A4-8-1-20	480	11647
20190226-PE4_R108L-A4-8-1-20	485	11748
20190226-PE4_R108L-A4-8-1-20	490	11769
20190226-PE4_R108L-A4-8-1-20	495	11813
20190226-PE4_R108L-A4-8-1-20	500	12080
20190226-PE4_R108L-A4-8-1-20	505	11918
20190226-PE4_R108L-A4-8-1-20	510	11965
20190226-PE4_R108L-A4-8-1-20	515	12052
20190226-PE4_R108L-A4-8-1-20	520	12185
20190226-PE4_R108L-A4-8-1-20	525	12216
20190226-PE4_R108L-A4-8-1-20	530	12194
20190226-PE4_R108L-A4-8-1-20	535	12335
20190226-PE4_R108L-A4-8-1-20	540	12444
20190226-PE4_R108L-A4-8-1-20	545	12450
20190226-PE4_R108L-A4-8-1-20	550	12476
20190226-PE4_R108L-A4-8-1-20	555	12491
20190226-PE4_R108L-A4-8-1-20	560	12665
20190226-PE4_R108L-A4-8-1-20	565	12627
20190226-PE4_R108L-A4-8-1-20	570	12754
20190226-PE4_R108L-A4-8-1-20	575	12871
20190226-PE4_R108L-A4-8-1-20	580	12898
20190226-PE4_R108L-A4-8-1-20	585	12909
20190226-PE4_R108L-A4-8-1-20	590	12960
20190226-PE4_R108L-A4-8-1-20	595	13002
20190226-PE4_R108L-A4-8-1-20	600	13180
20190226-PE4_R108L-A4-8-1-20	605	13132
20190226-PE4_R108L-A4-8-1-20	610	13218
20190226-PE4_R108L-A4-8-1-20	615	13273
20190226-PE4_R108L-A4-8-1-20	620	13276
20190226-PE4_R108L-A4-8-1-20	625	13312
20190226-PE4_R108L-A4-8-1-20	630	13472
