condition	Time	fluorescence
20190227-PE10_G80A-D9-8-1-20	0	5878
20190227-PE10_G80A-D9-8-1-20	5	5985
20190227-PE10_G80A-D9-8-1-20	10	6084
20190227-PE10_G80A-D9-8-1-20	15	6176
20190227-PE10_G80A-D9-8-1-20	20	6288
20190227-PE10_G80A-D9-8-1-20	25	6402
20190227-PE10_G80A-D9-8-1-20	30	6452
20190227-PE10_G80A-D9-8-1-20	35	6542
20190227-PE10_G80A-D9-8-1-20	40	6629
20190227-PE10_G80A-D9-8-1-20	45	6783
20190227-PE10_G80A-D9-8-1-20	50	6888
20190227-PE10_G80A-D9-8-1-20	55	6919
20190227-PE10_G80A-D9-8-1-20	60	7057
20190227-PE10_G80A-D9-8-1-20	65	7127
20190227-PE10_G80A-D9-8-1-20	70	7145
20190227-PE10_G80A-D9-8-1-20	75	7190
20190227-PE10_G80A-D9-8-1-20	80	7317
20190227-PE10_G80A-D9-8-1-20	85	7591
20190227-PE10_G80A-D9-8-1-20	90	7653
20190227-PE10_G80A-D9-8-1-20	95	7735
20190227-PE10_G80A-D9-8-1-20	100	7784
20190227-PE10_G80A-D9-8-1-20	105	7931
20190227-PE10_G80A-D9-8-1-20	110	8016
20190227-PE10_G80A-D9-8-1-20	115	8117
20190227-PE10_G80A-D9-8-1-20	120	8165
20190227-PE10_G80A-D9-8-1-20	125	8287
20190227-PE10_G80A-D9-8-1-20	130	8369
20190227-PE10_G80A-D9-8-1-20	135	8463
20190227-PE10_G80A-D9-8-1-20	140	8691
20190227-PE10_G80A-D9-8-1-20	145	8712
20190227-PE10_G80A-D9-8-1-20	150	8894
20190227-PE10_G80A-D9-8-1-20	155	8969
20190227-PE10_G80A-D9-8-1-20	160	8949
20190227-PE10_G80A-D9-8-1-20	165	9167
20190227-PE10_G80A-D9-8-1-20	170	9274
20190227-PE10_G80A-D9-8-1-20	175	9453
20190227-PE10_G80A-D9-8-1-20	180	9405
20190227-PE10_G80A-D9-8-1-20	185	9537
20190227-PE10_G80A-D9-8-1-20	190	9752
20190227-PE10_G80A-D9-8-1-20	195	9835
20190227-PE10_G80A-D9-8-1-20	200	9867
20190227-PE10_G80A-D9-8-1-20	205	9986
20190227-PE10_G80A-D9-8-1-20	210	10109
20190227-PE10_G80A-D9-8-1-20	215	10219
20190227-PE10_G80A-D9-8-1-20	220	10345
20190227-PE10_G80A-D9-8-1-20	225	10482
20190227-PE10_G80A-D9-8-1-20	230	10613
20190227-PE10_G80A-D9-8-1-20	235	10568
20190227-PE10_G80A-D9-8-1-20	240	10753
20190227-PE10_G80A-D9-8-1-20	245	10965
20190227-PE10_G80A-D9-8-1-20	250	11076
20190227-PE10_G80A-D9-8-1-20	255	11063
20190227-PE10_G80A-D9-8-1-20	260	11204
20190227-PE10_G80A-D9-8-1-20	265	11227
20190227-PE10_G80A-D9-8-1-20	270	11490
20190227-PE10_G80A-D9-8-1-20	275	11427
20190227-PE10_G80A-D9-8-1-20	280	11625
20190227-PE10_G80A-D9-8-1-20	285	11816
20190227-PE10_G80A-D9-8-1-20	290	11760
20190227-PE10_G80A-D9-8-1-20	295	11975
20190227-PE10_G80A-D9-8-1-20	300	12079
20190227-PE10_G80A-D9-8-1-20	305	12032
20190227-PE10_G80A-D9-8-1-20	310	12179
20190227-PE10_G80A-D9-8-1-20	315	12394
20190227-PE10_G80A-D9-8-1-20	320	12487
20190227-PE10_G80A-D9-8-1-20	325	12528
20190227-PE10_G80A-D9-8-1-20	330	12603
20190227-PE10_G80A-D9-8-1-20	335	12732
20190227-PE10_G80A-D9-8-1-20	340	12868
20190227-PE10_G80A-D9-8-1-20	345	12934
20190227-PE10_G80A-D9-8-1-20	350	13133
20190227-PE10_G80A-D9-8-1-20	355	13204
20190227-PE10_G80A-D9-8-1-20	360	13126
20190227-PE10_G80A-D9-8-1-20	365	13366
20190227-PE10_G80A-D9-8-1-20	370	13377
20190227-PE10_G80A-D9-8-1-20	375	13456
20190227-PE10_G80A-D9-8-1-20	380	13696
20190227-PE10_G80A-D9-8-1-20	385	13667
20190227-PE10_G80A-D9-8-1-20	390	13830
20190227-PE10_G80A-D9-8-1-20	395	13718
20190227-PE10_G80A-D9-8-1-20	400	13983
20190227-PE10_G80A-D9-8-1-20	405	14121
20190227-PE10_G80A-D9-8-1-20	410	14214
20190227-PE10_G80A-D9-8-1-20	415	14218
20190227-PE10_G80A-D9-8-1-20	420	14327
20190227-PE10_G80A-D9-8-1-20	425	14561
20190227-PE10_G80A-D9-8-1-20	430	14558
20190227-PE10_G80A-D9-8-1-20	435	14639
20190227-PE10_G80A-D9-8-1-20	440	14772
20190227-PE10_G80A-D9-8-1-20	445	14799
20190227-PE10_G80A-D9-8-1-20	450	14933
20190227-PE10_G80A-D9-8-1-20	455	14901
20190227-PE10_G80A-D9-8-1-20	460	15177
20190227-PE10_G80A-D9-8-1-20	465	15179
