condition	Time	fluorescence
20190227-PE11_T34G-E7-11-1-20	0	6377
20190227-PE11_T34G-E7-11-1-20	5	6441
20190227-PE11_T34G-E7-11-1-20	10	6498
20190227-PE11_T34G-E7-11-1-20	15	6601
20190227-PE11_T34G-E7-11-1-20	20	6591
20190227-PE11_T34G-E7-11-1-20	25	6695
20190227-PE11_T34G-E7-11-1-20	30	6739
20190227-PE11_T34G-E7-11-1-20	35	6756
20190227-PE11_T34G-E7-11-1-20	40	6780
20190227-PE11_T34G-E7-11-1-20	45	6808
20190227-PE11_T34G-E7-11-1-20	50	6853
20190227-PE11_T34G-E7-11-1-20	55	6923
20190227-PE11_T34G-E7-11-1-20	60	6993
20190227-PE11_T34G-E7-11-1-20	65	7047
20190227-PE11_T34G-E7-11-1-20	70	7059
20190227-PE11_T34G-E7-11-1-20	75	7092
20190227-PE11_T34G-E7-11-1-20	80	7147
20190227-PE11_T34G-E7-11-1-20	85	7196
20190227-PE11_T34G-E7-11-1-20	90	7237
20190227-PE11_T34G-E7-11-1-20	95	7274
20190227-PE11_T34G-E7-11-1-20	100	7306
20190227-PE11_T34G-E7-11-1-20	105	7304
20190227-PE11_T34G-E7-11-1-20	110	7409
20190227-PE11_T34G-E7-11-1-20	115	7512
20190227-PE11_T34G-E7-11-1-20	120	7543
20190227-PE11_T34G-E7-11-1-20	125	7549
20190227-PE11_T34G-E7-11-1-20	130	7546
20190227-PE11_T34G-E7-11-1-20	135	7642
20190227-PE11_T34G-E7-11-1-20	140	7635
20190227-PE11_T34G-E7-11-1-20	145	7754
20190227-PE11_T34G-E7-11-1-20	150	7763
20190227-PE11_T34G-E7-11-1-20	155	7787
20190227-PE11_T34G-E7-11-1-20	160	7780
20190227-PE11_T34G-E7-11-1-20	165	7858
20190227-PE11_T34G-E7-11-1-20	170	7896
20190227-PE11_T34G-E7-11-1-20	175	8016
20190227-PE11_T34G-E7-11-1-20	180	8045
20190227-PE11_T34G-E7-11-1-20	185	8081
20190227-PE11_T34G-E7-11-1-20	190	8163
20190227-PE11_T34G-E7-11-1-20	195	8203
20190227-PE11_T34G-E7-11-1-20	200	8234
20190227-PE11_T34G-E7-11-1-20	205	8261
20190227-PE11_T34G-E7-11-1-20	210	8309
20190227-PE11_T34G-E7-11-1-20	215	8318
20190227-PE11_T34G-E7-11-1-20	220	8420
20190227-PE11_T34G-E7-11-1-20	225	8446
20190227-PE11_T34G-E7-11-1-20	230	8501
20190227-PE11_T34G-E7-11-1-20	235	8528
20190227-PE11_T34G-E7-11-1-20	240	8586
20190227-PE11_T34G-E7-11-1-20	245	8670
20190227-PE11_T34G-E7-11-1-20	250	8690
20190227-PE11_T34G-E7-11-1-20	255	8724
