condition	Time	fluorescence
20190227-PE12_H141R-E9-8-1-20	0	6335
20190227-PE12_H141R-E9-8-1-20	5	6432
20190227-PE12_H141R-E9-8-1-20	10	6488
20190227-PE12_H141R-E9-8-1-20	15	6569
20190227-PE12_H141R-E9-8-1-20	20	6616
20190227-PE12_H141R-E9-8-1-20	25	6728
20190227-PE12_H141R-E9-8-1-20	30	6729
20190227-PE12_H141R-E9-8-1-20	35	6779
20190227-PE12_H141R-E9-8-1-20	40	6877
20190227-PE12_H141R-E9-8-1-20	45	6902
20190227-PE12_H141R-E9-8-1-20	50	6935
20190227-PE12_H141R-E9-8-1-20	55	6991
20190227-PE12_H141R-E9-8-1-20	60	6980
20190227-PE12_H141R-E9-8-1-20	65	7052
20190227-PE12_H141R-E9-8-1-20	70	7197
20190227-PE12_H141R-E9-8-1-20	75	7236
20190227-PE12_H141R-E9-8-1-20	80	7267
20190227-PE12_H141R-E9-8-1-20	85	7322
20190227-PE12_H141R-E9-8-1-20	90	7398
20190227-PE12_H141R-E9-8-1-20	95	7447
20190227-PE12_H141R-E9-8-1-20	100	7456
20190227-PE12_H141R-E9-8-1-20	105	7599
20190227-PE12_H141R-E9-8-1-20	110	7583
20190227-PE12_H141R-E9-8-1-20	115	7600
20190227-PE12_H141R-E9-8-1-20	120	7730
20190227-PE12_H141R-E9-8-1-20	125	7802
20190227-PE12_H141R-E9-8-1-20	130	7891
20190227-PE12_H141R-E9-8-1-20	135	7857
20190227-PE12_H141R-E9-8-1-20	140	8009
20190227-PE12_H141R-E9-8-1-20	145	8017
20190227-PE12_H141R-E9-8-1-20	150	8034
20190227-PE12_H141R-E9-8-1-20	155	8113
20190227-PE12_H141R-E9-8-1-20	160	8198
20190227-PE12_H141R-E9-8-1-20	165	8280
20190227-PE12_H141R-E9-8-1-20	170	8363
20190227-PE12_H141R-E9-8-1-20	175	8451
20190227-PE12_H141R-E9-8-1-20	180	8398
20190227-PE12_H141R-E9-8-1-20	185	8464
20190227-PE12_H141R-E9-8-1-20	190	8577
20190227-PE12_H141R-E9-8-1-20	195	8613
20190227-PE12_H141R-E9-8-1-20	200	8621
20190227-PE12_H141R-E9-8-1-20	205	8738
20190227-PE12_H141R-E9-8-1-20	210	8692
20190227-PE12_H141R-E9-8-1-20	215	8806
20190227-PE12_H141R-E9-8-1-20	220	8866
20190227-PE12_H141R-E9-8-1-20	225	8882
20190227-PE12_H141R-E9-8-1-20	230	8983
20190227-PE12_H141R-E9-8-1-20	235	9116
20190227-PE12_H141R-E9-8-1-20	240	9119
20190227-PE12_H141R-E9-8-1-20	245	9089
20190227-PE12_H141R-E9-8-1-20	250	9247
20190227-PE12_H141R-E9-8-1-20	255	9328
20190227-PE12_H141R-E9-8-1-20	260	9322
20190227-PE12_H141R-E9-8-1-20	265	9357
20190227-PE12_H141R-E9-8-1-20	270	9494
20190227-PE12_H141R-E9-8-1-20	275	9601
20190227-PE12_H141R-E9-8-1-20	280	9598
20190227-PE12_H141R-E9-8-1-20	285	9641
20190227-PE12_H141R-E9-8-1-20	290	9764
20190227-PE12_H141R-E9-8-1-20	295	9733
20190227-PE12_H141R-E9-8-1-20	300	9855
20190227-PE12_H141R-E9-8-1-20	305	9953
20190227-PE12_H141R-E9-8-1-20	310	9931
20190227-PE12_H141R-E9-8-1-20	315	9972
20190227-PE12_H141R-E9-8-1-20	320	10051
20190227-PE12_H141R-E9-8-1-20	325	10035
20190227-PE12_H141R-E9-8-1-20	330	10208
20190227-PE12_H141R-E9-8-1-20	335	10260
20190227-PE12_H141R-E9-8-1-20	340	10255
20190227-PE12_H141R-E9-8-1-20	345	10375
20190227-PE12_H141R-E9-8-1-20	350	10445
20190227-PE12_H141R-E9-8-1-20	355	10509
20190227-PE12_H141R-E9-8-1-20	360	10548
20190227-PE12_H141R-E9-8-1-20	365	10740
20190227-PE12_H141R-E9-8-1-20	370	10711
20190227-PE12_H141R-E9-8-1-20	375	10749
20190227-PE12_H141R-E9-8-1-20	380	10755
20190227-PE12_H141R-E9-8-1-20	385	10770
20190227-PE12_H141R-E9-8-1-20	390	10767
20190227-PE12_H141R-E9-8-1-20	395	11044
20190227-PE12_H141R-E9-8-1-20	400	11032
20190227-PE12_H141R-E9-8-1-20	405	11063
20190227-PE12_H141R-E9-8-1-20	410	11201
20190227-PE12_H141R-E9-8-1-20	415	11070
20190227-PE12_H141R-E9-8-1-20	420	11287
20190227-PE12_H141R-E9-8-1-20	425	11417
20190227-PE12_H141R-E9-8-1-20	430	11370
20190227-PE12_H141R-E9-8-1-20	435	11375
20190227-PE12_H141R-E9-8-1-20	440	11477
20190227-PE12_H141R-E9-8-1-20	445	11455
20190227-PE12_H141R-E9-8-1-20	450	11550
20190227-PE12_H141R-E9-8-1-20	455	11639
20190227-PE12_H141R-E9-8-1-20	460	11626
20190227-PE12_H141R-E9-8-1-20	465	11731
20190227-PE12_H141R-E9-8-1-20	470	11840
20190227-PE12_H141R-E9-8-1-20	475	11747
20190227-PE12_H141R-E9-8-1-20	480	11908
20190227-PE12_H141R-E9-8-1-20	485	12019
20190227-PE12_H141R-E9-8-1-20	490	11984
20190227-PE12_H141R-E9-8-1-20	495	12110
20190227-PE12_H141R-E9-8-1-20	500	12102
20190227-PE12_H141R-E9-8-1-20	505	12224
20190227-PE12_H141R-E9-8-1-20	510	12285
20190227-PE12_H141R-E9-8-1-20	515	12311
20190227-PE12_H141R-E9-8-1-20	520	12333
20190227-PE12_H141R-E9-8-1-20	525	12389
20190227-PE12_H141R-E9-8-1-20	530	12572
20190227-PE12_H141R-E9-8-1-20	535	12572
20190227-PE12_H141R-E9-8-1-20	540	12741
20190227-PE12_H141R-E9-8-1-20	545	12663
20190227-PE12_H141R-E9-8-1-20	550	12775
20190227-PE12_H141R-E9-8-1-20	555	12755
20190227-PE12_H141R-E9-8-1-20	560	12891
20190227-PE12_H141R-E9-8-1-20	565	12827
20190227-PE12_H141R-E9-8-1-20	570	12963
20190227-PE12_H141R-E9-8-1-20	575	13094
20190227-PE12_H141R-E9-8-1-20	580	13116
20190227-PE12_H141R-E9-8-1-20	585	13116
20190227-PE12_H141R-E9-8-1-20	590	13249
20190227-PE12_H141R-E9-8-1-20	595	13229
20190227-PE12_H141R-E9-8-1-20	600	13342
20190227-PE12_H141R-E9-8-1-20	605	13328
20190227-PE12_H141R-E9-8-1-20	610	13423
20190227-PE12_H141R-E9-8-1-20	615	13544
20190227-PE12_H141R-E9-8-1-20	620	13560
20190227-PE12_H141R-E9-8-1-20	625	13485
20190227-PE12_H141R-E9-8-1-20	630	13734
20190227-PE12_H141R-E9-8-1-20	635	13770
20190227-PE12_H141R-E9-8-1-20	640	13739
20190227-PE12_H141R-E9-8-1-20	645	13807
20190227-PE12_H141R-E9-8-1-20	650	13864
20190227-PE12_H141R-E9-8-1-20	655	14100
20190227-PE12_H141R-E9-8-1-20	660	14016
20190227-PE12_H141R-E9-8-1-20	665	14032
20190227-PE12_H141R-E9-8-1-20	670	14131
20190227-PE12_H141R-E9-8-1-20	675	14180
20190227-PE12_H141R-E9-8-1-20	680	14265
20190227-PE12_H141R-E9-8-1-20	685	14426
20190227-PE12_H141R-E9-8-1-20	690	14371
20190227-PE12_H141R-E9-8-1-20	695	14315
20190227-PE12_H141R-E9-8-1-20	700	14447
20190227-PE12_H141R-E9-8-1-20	705	14588
20190227-PE12_H141R-E9-8-1-20	710	14605
20190227-PE12_H141R-E9-8-1-20	715	14639
20190227-PE12_H141R-E9-8-1-20	720	14761
20190227-PE12_H141R-E9-8-1-20	725	14786
20190227-PE12_H141R-E9-8-1-20	730	14799
20190227-PE12_H141R-E9-8-1-20	735	14860
20190227-PE12_H141R-E9-8-1-20	740	14992
20190227-PE12_H141R-E9-8-1-20	745	14961
20190227-PE12_H141R-E9-8-1-20	750	15050
20190227-PE12_H141R-E9-8-1-20	755	15010
20190227-PE12_H141R-E9-8-1-20	760	15237
20190227-PE12_H141R-E9-8-1-20	765	15211
20190227-PE12_H141R-E9-8-1-20	770	15354
20190227-PE12_H141R-E9-8-1-20	775	15289
20190227-PE12_H141R-E9-8-1-20	780	15422
20190227-PE12_H141R-E9-8-1-20	785	15623
20190227-PE12_H141R-E9-8-1-20	790	15515
20190227-PE12_H141R-E9-8-1-20	795	15599
20190227-PE12_H141R-E9-8-1-20	800	15657
20190227-PE12_H141R-E9-8-1-20	805	15725
20190227-PE12_H141R-E9-8-1-20	810	15792
20190227-PE12_H141R-E9-8-1-20	815	15804
20190227-PE12_H141R-E9-8-1-20	820	15935
20190227-PE12_H141R-E9-8-1-20	825	15917
20190227-PE12_H141R-E9-8-1-20	830	15917
20190227-PE12_H141R-E9-8-1-20	835	16107
20190227-PE12_H141R-E9-8-1-20	840	16130
20190227-PE12_H141R-E9-8-1-20	845	16067
20190227-PE12_H141R-E9-8-1-20	850	16318
20190227-PE12_H141R-E9-8-1-20	855	16257
20190227-PE12_H141R-E9-8-1-20	860	16251
20190227-PE12_H141R-E9-8-1-20	865	16502
20190227-PE12_H141R-E9-8-1-20	870	16398
20190227-PE12_H141R-E9-8-1-20	875	16341
20190227-PE12_H141R-E9-8-1-20	880	16507
20190227-PE12_H141R-E9-8-1-20	885	16700
20190227-PE12_H141R-E9-8-1-20	890	16693
20190227-PE12_H141R-E9-8-1-20	895	16873
20190227-PE12_H141R-E9-8-1-20	900	16707
20190227-PE12_H141R-E9-8-1-20	905	16904
20190227-PE12_H141R-E9-8-1-20	910	16944
20190227-PE12_H141R-E9-8-1-20	915	17049
20190227-PE12_H141R-E9-8-1-20	920	17107
20190227-PE12_H141R-E9-8-1-20	925	17038
20190227-PE12_H141R-E9-8-1-20	930	17228
20190227-PE12_H141R-E9-8-1-20	935	17274
20190227-PE12_H141R-E9-8-1-20	940	17285
20190227-PE12_H141R-E9-8-1-20	945	17367
20190227-PE12_H141R-E9-8-1-20	950	17394
20190227-PE12_H141R-E9-8-1-20	955	17424
20190227-PE12_H141R-E9-8-1-20	960	17482
20190227-PE12_H141R-E9-8-1-20	965	17590
20190227-PE12_H141R-E9-8-1-20	970	17474
20190227-PE12_H141R-E9-8-1-20	975	17677
20190227-PE12_H141R-E9-8-1-20	980	17683
20190227-PE12_H141R-E9-8-1-20	985	17701
20190227-PE12_H141R-E9-8-1-20	990	17749
20190227-PE12_H141R-E9-8-1-20	995	18023
20190227-PE12_H141R-E9-8-1-20	1000	18052
20190227-PE12_H141R-E9-8-1-20	1005	18119
20190227-PE12_H141R-E9-8-1-20	1010	18215
20190227-PE12_H141R-E9-8-1-20	1015	18137
20190227-PE12_H141R-E9-8-1-20	1020	18002
20190227-PE12_H141R-E9-8-1-20	1025	18113
