condition	Time	fluorescence
20190227-PE5_R108A-D3-8-1-20	0	5965
20190227-PE5_R108A-D3-8-1-20	5	6093
20190227-PE5_R108A-D3-8-1-20	10	6104
20190227-PE5_R108A-D3-8-1-20	15	6205
20190227-PE5_R108A-D3-8-1-20	20	6305
20190227-PE5_R108A-D3-8-1-20	25	6427
20190227-PE5_R108A-D3-8-1-20	30	6517
20190227-PE5_R108A-D3-8-1-20	35	6520
20190227-PE5_R108A-D3-8-1-20	40	6682
20190227-PE5_R108A-D3-8-1-20	45	6801
20190227-PE5_R108A-D3-8-1-20	50	6871
20190227-PE5_R108A-D3-8-1-20	55	6922
20190227-PE5_R108A-D3-8-1-20	60	6964
20190227-PE5_R108A-D3-8-1-20	65	7082
20190227-PE5_R108A-D3-8-1-20	70	7173
20190227-PE5_R108A-D3-8-1-20	75	7219
20190227-PE5_R108A-D3-8-1-20	80	7365
20190227-PE5_R108A-D3-8-1-20	85	7458
20190227-PE5_R108A-D3-8-1-20	90	7523
20190227-PE5_R108A-D3-8-1-20	95	7691
20190227-PE5_R108A-D3-8-1-20	100	7694
20190227-PE5_R108A-D3-8-1-20	105	7830
20190227-PE5_R108A-D3-8-1-20	110	7927
20190227-PE5_R108A-D3-8-1-20	115	8056
20190227-PE5_R108A-D3-8-1-20	120	8097
20190227-PE5_R108A-D3-8-1-20	125	8189
20190227-PE5_R108A-D3-8-1-20	130	8283
20190227-PE5_R108A-D3-8-1-20	135	8411
20190227-PE5_R108A-D3-8-1-20	140	8467
20190227-PE5_R108A-D3-8-1-20	145	8566
20190227-PE5_R108A-D3-8-1-20	150	8650
20190227-PE5_R108A-D3-8-1-20	155	8840
20190227-PE5_R108A-D3-8-1-20	160	8835
20190227-PE5_R108A-D3-8-1-20	165	8878
20190227-PE5_R108A-D3-8-1-20	170	9012
20190227-PE5_R108A-D3-8-1-20	175	9156
20190227-PE5_R108A-D3-8-1-20	180	9192
20190227-PE5_R108A-D3-8-1-20	185	9375
20190227-PE5_R108A-D3-8-1-20	190	9514
20190227-PE5_R108A-D3-8-1-20	195	9537
20190227-PE5_R108A-D3-8-1-20	200	9637
20190227-PE5_R108A-D3-8-1-20	205	9734
20190227-PE5_R108A-D3-8-1-20	210	9904
20190227-PE5_R108A-D3-8-1-20	215	9897
20190227-PE5_R108A-D3-8-1-20	220	9910
20190227-PE5_R108A-D3-8-1-20	225	10063
20190227-PE5_R108A-D3-8-1-20	230	10176
20190227-PE5_R108A-D3-8-1-20	235	10297
20190227-PE5_R108A-D3-8-1-20	240	10342
20190227-PE5_R108A-D3-8-1-20	245	10473
20190227-PE5_R108A-D3-8-1-20	250	10575
20190227-PE5_R108A-D3-8-1-20	255	10575
20190227-PE5_R108A-D3-8-1-20	260	10730
20190227-PE5_R108A-D3-8-1-20	265	10858
20190227-PE5_R108A-D3-8-1-20	270	10829
20190227-PE5_R108A-D3-8-1-20	275	11053
20190227-PE5_R108A-D3-8-1-20	280	11126
20190227-PE5_R108A-D3-8-1-20	285	11207
20190227-PE5_R108A-D3-8-1-20	290	11347
20190227-PE5_R108A-D3-8-1-20	295	11343
20190227-PE5_R108A-D3-8-1-20	300	11482
20190227-PE5_R108A-D3-8-1-20	305	11627
20190227-PE5_R108A-D3-8-1-20	310	11692
20190227-PE5_R108A-D3-8-1-20	315	11925
20190227-PE5_R108A-D3-8-1-20	320	11966
20190227-PE5_R108A-D3-8-1-20	325	12011
20190227-PE5_R108A-D3-8-1-20	330	12007
20190227-PE5_R108A-D3-8-1-20	335	12269
20190227-PE5_R108A-D3-8-1-20	340	12244
20190227-PE5_R108A-D3-8-1-20	345	12370
20190227-PE5_R108A-D3-8-1-20	350	12414
20190227-PE5_R108A-D3-8-1-20	355	12478
20190227-PE5_R108A-D3-8-1-20	360	12532
20190227-PE5_R108A-D3-8-1-20	365	12725
20190227-PE5_R108A-D3-8-1-20	370	12806
20190227-PE5_R108A-D3-8-1-20	375	13017
20190227-PE5_R108A-D3-8-1-20	380	12967
20190227-PE5_R108A-D3-8-1-20	385	13010
20190227-PE5_R108A-D3-8-1-20	390	13379
20190227-PE5_R108A-D3-8-1-20	395	13276
