condition	Time	fluorescence
20190227-PE8_F58A-D6-8-1-20	0	6254
20190227-PE8_F58A-D6-8-1-20	5	6327
20190227-PE8_F58A-D6-8-1-20	10	6478
20190227-PE8_F58A-D6-8-1-20	15	6540
20190227-PE8_F58A-D6-8-1-20	20	6665
20190227-PE8_F58A-D6-8-1-20	25	6805
20190227-PE8_F58A-D6-8-1-20	30	6831
20190227-PE8_F58A-D6-8-1-20	35	6959
20190227-PE8_F58A-D6-8-1-20	40	6998
20190227-PE8_F58A-D6-8-1-20	45	7082
20190227-PE8_F58A-D6-8-1-20	50	7236
20190227-PE8_F58A-D6-8-1-20	55	7339
20190227-PE8_F58A-D6-8-1-20	60	7395
20190227-PE8_F58A-D6-8-1-20	65	7530
20190227-PE8_F58A-D6-8-1-20	70	7642
20190227-PE8_F58A-D6-8-1-20	75	7709
20190227-PE8_F58A-D6-8-1-20	80	7864
20190227-PE8_F58A-D6-8-1-20	85	7900
20190227-PE8_F58A-D6-8-1-20	90	8034
20190227-PE8_F58A-D6-8-1-20	95	8127
20190227-PE8_F58A-D6-8-1-20	100	8280
20190227-PE8_F58A-D6-8-1-20	105	8355
20190227-PE8_F58A-D6-8-1-20	110	8408
20190227-PE8_F58A-D6-8-1-20	115	8503
20190227-PE8_F58A-D6-8-1-20	120	8641
20190227-PE8_F58A-D6-8-1-20	125	8799
20190227-PE8_F58A-D6-8-1-20	130	8874
20190227-PE8_F58A-D6-8-1-20	135	8914
20190227-PE8_F58A-D6-8-1-20	140	9103
20190227-PE8_F58A-D6-8-1-20	145	9214
20190227-PE8_F58A-D6-8-1-20	150	9243
20190227-PE8_F58A-D6-8-1-20	155	9383
20190227-PE8_F58A-D6-8-1-20	160	9547
20190227-PE8_F58A-D6-8-1-20	165	9558
20190227-PE8_F58A-D6-8-1-20	170	9717
20190227-PE8_F58A-D6-8-1-20	175	9873
20190227-PE8_F58A-D6-8-1-20	180	9946
20190227-PE8_F58A-D6-8-1-20	185	9970
20190227-PE8_F58A-D6-8-1-20	190	10113
20190227-PE8_F58A-D6-8-1-20	195	10223
20190227-PE8_F58A-D6-8-1-20	200	10339
20190227-PE8_F58A-D6-8-1-20	205	10494
20190227-PE8_F58A-D6-8-1-20	210	10559
20190227-PE8_F58A-D6-8-1-20	215	10597
20190227-PE8_F58A-D6-8-1-20	220	10743
20190227-PE8_F58A-D6-8-1-20	225	10873
20190227-PE8_F58A-D6-8-1-20	230	10925
20190227-PE8_F58A-D6-8-1-20	235	11089
20190227-PE8_F58A-D6-8-1-20	240	11168
20190227-PE8_F58A-D6-8-1-20	245	11338
20190227-PE8_F58A-D6-8-1-20	250	11429
20190227-PE8_F58A-D6-8-1-20	255	11470
