condition	Time	fluorescence
20190227-PE9_D79S-E4-12-1-20	0	6357
20190227-PE9_D79S-E4-12-1-20	5	6400
20190227-PE9_D79S-E4-12-1-20	10	6503
20190227-PE9_D79S-E4-12-1-20	15	6520
20190227-PE9_D79S-E4-12-1-20	20	6617
20190227-PE9_D79S-E4-12-1-20	25	6665
20190227-PE9_D79S-E4-12-1-20	30	6645
20190227-PE9_D79S-E4-12-1-20	35	6669
20190227-PE9_D79S-E4-12-1-20	40	6747
20190227-PE9_D79S-E4-12-1-20	45	6816
20190227-PE9_D79S-E4-12-1-20	50	6881
20190227-PE9_D79S-E4-12-1-20	55	6846
20190227-PE9_D79S-E4-12-1-20	60	6856
20190227-PE9_D79S-E4-12-1-20	65	6932
20190227-PE9_D79S-E4-12-1-20	70	7008
20190227-PE9_D79S-E4-12-1-20	75	7020
20190227-PE9_D79S-E4-12-1-20	80	7017
20190227-PE9_D79S-E4-12-1-20	85	7106
20190227-PE9_D79S-E4-12-1-20	90	7158
20190227-PE9_D79S-E4-12-1-20	95	7161
20190227-PE9_D79S-E4-12-1-20	100	7210
20190227-PE9_D79S-E4-12-1-20	105	7305
20190227-PE9_D79S-E4-12-1-20	110	7350
20190227-PE9_D79S-E4-12-1-20	115	7386
20190227-PE9_D79S-E4-12-1-20	120	7421
20190227-PE9_D79S-E4-12-1-20	125	7543
20190227-PE9_D79S-E4-12-1-20	130	7508
20190227-PE9_D79S-E4-12-1-20	135	7611
20190227-PE9_D79S-E4-12-1-20	140	7632
20190227-PE9_D79S-E4-12-1-20	145	7581
20190227-PE9_D79S-E4-12-1-20	150	7727
20190227-PE9_D79S-E4-12-1-20	155	7797
20190227-PE9_D79S-E4-12-1-20	160	7794
20190227-PE9_D79S-E4-12-1-20	165	7841
20190227-PE9_D79S-E4-12-1-20	170	7906
20190227-PE9_D79S-E4-12-1-20	175	7939
20190227-PE9_D79S-E4-12-1-20	180	7935
20190227-PE9_D79S-E4-12-1-20	185	8014
20190227-PE9_D79S-E4-12-1-20	190	8006
20190227-PE9_D79S-E4-12-1-20	195	8110
20190227-PE9_D79S-E4-12-1-20	200	8058
20190227-PE9_D79S-E4-12-1-20	205	8140
20190227-PE9_D79S-E4-12-1-20	210	8234
20190227-PE9_D79S-E4-12-1-20	215	8257
20190227-PE9_D79S-E4-12-1-20	220	8252
20190227-PE9_D79S-E4-12-1-20	225	8308
20190227-PE9_D79S-E4-12-1-20	230	8312
20190227-PE9_D79S-E4-12-1-20	235	8295
20190227-PE9_D79S-E4-12-1-20	240	8421
20190227-PE9_D79S-E4-12-1-20	245	8462
20190227-PE9_D79S-E4-12-1-20	250	8426
20190227-PE9_D79S-E4-12-1-20	255	8450
20190227-PE9_D79S-E4-12-1-20	260	8556
20190227-PE9_D79S-E4-12-1-20	265	8582
20190227-PE9_D79S-E4-12-1-20	270	8622
20190227-PE9_D79S-E4-12-1-20	275	8701
20190227-PE9_D79S-E4-12-1-20	280	8650
20190227-PE9_D79S-E4-12-1-20	285	8733
20190227-PE9_D79S-E4-12-1-20	290	8835
20190227-PE9_D79S-E4-12-1-20	295	8812
20190227-PE9_D79S-E4-12-1-20	300	8911
20190227-PE9_D79S-E4-12-1-20	305	8905
20190227-PE9_D79S-E4-12-1-20	310	8914
20190227-PE9_D79S-E4-12-1-20	315	9019
20190227-PE9_D79S-E4-12-1-20	320	9050
20190227-PE9_D79S-E4-12-1-20	325	9092
20190227-PE9_D79S-E4-12-1-20	330	9025
20190227-PE9_D79S-E4-12-1-20	335	9113
20190227-PE9_D79S-E4-12-1-20	340	9220
20190227-PE9_D79S-E4-12-1-20	345	9184
20190227-PE9_D79S-E4-12-1-20	350	9298
20190227-PE9_D79S-E4-12-1-20	355	9310
20190227-PE9_D79S-E4-12-1-20	360	9417
20190227-PE9_D79S-E4-12-1-20	365	9382
20190227-PE9_D79S-E4-12-1-20	370	9451
20190227-PE9_D79S-E4-12-1-20	375	9450
20190227-PE9_D79S-E4-12-1-20	380	9443
20190227-PE9_D79S-E4-12-1-20	385	9645
20190227-PE9_D79S-E4-12-1-20	390	9563
20190227-PE9_D79S-E4-12-1-20	395	9672
20190227-PE9_D79S-E4-12-1-20	400	9736
20190227-PE9_D79S-E4-12-1-20	405	9670
20190227-PE9_D79S-E4-12-1-20	410	9834
20190227-PE9_D79S-E4-12-1-20	415	9730
20190227-PE9_D79S-E4-12-1-20	420	9815
20190227-PE9_D79S-E4-12-1-20	425	9875
20190227-PE9_D79S-E4-12-1-20	430	9962
20190227-PE9_D79S-E4-12-1-20	435	9964
20190227-PE9_D79S-E4-12-1-20	440	10073
20190227-PE9_D79S-E4-12-1-20	445	10061
20190227-PE9_D79S-E4-12-1-20	450	10090
20190227-PE9_D79S-E4-12-1-20	455	10107
20190227-PE9_D79S-E4-12-1-20	460	10215
20190227-PE9_D79S-E4-12-1-20	465	10270
20190227-PE9_D79S-E4-12-1-20	470	10295
20190227-PE9_D79S-E4-12-1-20	475	10321
20190227-PE9_D79S-E4-12-1-20	480	10387
20190227-PE9_D79S-E4-12-1-20	485	10373
20190227-PE9_D79S-E4-12-1-20	490	10346
20190227-PE9_D79S-E4-12-1-20	495	10450
20190227-PE9_D79S-E4-12-1-20	500	10455
20190227-PE9_D79S-E4-12-1-20	505	10526
20190227-PE9_D79S-E4-12-1-20	510	10557
20190227-PE9_D79S-E4-12-1-20	515	10627
20190227-PE9_D79S-E4-12-1-20	520	10657
20190227-PE9_D79S-E4-12-1-20	525	10711
20190227-PE9_D79S-E4-12-1-20	530	10791
20190227-PE9_D79S-E4-12-1-20	535	10826
20190227-PE9_D79S-E4-12-1-20	540	10836
20190227-PE9_D79S-E4-12-1-20	545	10960
20190227-PE9_D79S-E4-12-1-20	550	10912
20190227-PE9_D79S-E4-12-1-20	555	10921
20190227-PE9_D79S-E4-12-1-20	560	11017
20190227-PE9_D79S-E4-12-1-20	565	10929
20190227-PE9_D79S-E4-12-1-20	570	11147
20190227-PE9_D79S-E4-12-1-20	575	10993
20190227-PE9_D79S-E4-12-1-20	580	11148
20190227-PE9_D79S-E4-12-1-20	585	11187
20190227-PE9_D79S-E4-12-1-20	590	11217
20190227-PE9_D79S-E4-12-1-20	595	11342
20190227-PE9_D79S-E4-12-1-20	600	11299
20190227-PE9_D79S-E4-12-1-20	605	11384
20190227-PE9_D79S-E4-12-1-20	610	11366
20190227-PE9_D79S-E4-12-1-20	615	11393
20190227-PE9_D79S-E4-12-1-20	620	11502
20190227-PE9_D79S-E4-12-1-20	625	11506
20190227-PE9_D79S-E4-12-1-20	630	11509
20190227-PE9_D79S-E4-12-1-20	635	11585
20190227-PE9_D79S-E4-12-1-20	640	11554
20190227-PE9_D79S-E4-12-1-20	645	11640
20190227-PE9_D79S-E4-12-1-20	650	11651
20190227-PE9_D79S-E4-12-1-20	655	11653
20190227-PE9_D79S-E4-12-1-20	660	11728
20190227-PE9_D79S-E4-12-1-20	665	11781
20190227-PE9_D79S-E4-12-1-20	670	11936
20190227-PE9_D79S-E4-12-1-20	675	11978
20190227-PE9_D79S-E4-12-1-20	680	11948
20190227-PE9_D79S-E4-12-1-20	685	12021
