condition	Time	fluorescence
20190228-PE14_Y157A-G3-8-1-20	0	6713
20190228-PE14_Y157A-G3-8-1-20	6	6861
20190228-PE14_Y157A-G3-8-1-20	12	6960
20190228-PE14_Y157A-G3-8-1-20	18	7178
20190228-PE14_Y157A-G3-8-1-20	24	7362
20190228-PE14_Y157A-G3-8-1-20	30	7475
20190228-PE14_Y157A-G3-8-1-20	36	7628
20190228-PE14_Y157A-G3-8-1-20	42	7824
20190228-PE14_Y157A-G3-8-1-20	48	7845
20190228-PE14_Y157A-G3-8-1-20	54	8023
20190228-PE14_Y157A-G3-8-1-20	60	8253
20190228-PE14_Y157A-G3-8-1-20	66	8367
20190228-PE14_Y157A-G3-8-1-20	72	8558
20190228-PE14_Y157A-G3-8-1-20	78	8707
20190228-PE14_Y157A-G3-8-1-20	84	8843
20190228-PE14_Y157A-G3-8-1-20	90	8974
20190228-PE14_Y157A-G3-8-1-20	96	9111
20190228-PE14_Y157A-G3-8-1-20	102	9306
20190228-PE14_Y157A-G3-8-1-20	108	9373
20190228-PE14_Y157A-G3-8-1-20	114	9557
20190228-PE14_Y157A-G3-8-1-20	120	9715
20190228-PE14_Y157A-G3-8-1-20	126	9862
20190228-PE14_Y157A-G3-8-1-20	132	9922
20190228-PE14_Y157A-G3-8-1-20	138	10205
20190228-PE14_Y157A-G3-8-1-20	144	10262
20190228-PE14_Y157A-G3-8-1-20	150	10409
20190228-PE14_Y157A-G3-8-1-20	156	10590
20190228-PE14_Y157A-G3-8-1-20	162	10759
20190228-PE14_Y157A-G3-8-1-20	168	10907
20190228-PE14_Y157A-G3-8-1-20	174	11026
20190228-PE14_Y157A-G3-8-1-20	180	11288
20190228-PE14_Y157A-G3-8-1-20	186	11338
20190228-PE14_Y157A-G3-8-1-20	192	11459
20190228-PE14_Y157A-G3-8-1-20	198	11697
20190228-PE14_Y157A-G3-8-1-20	204	11846
20190228-PE14_Y157A-G3-8-1-20	210	12013
20190228-PE14_Y157A-G3-8-1-20	216	12094
20190228-PE14_Y157A-G3-8-1-20	222	12230
