0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	42796	51626	42995	48411	38623	37425	34739	30971	29019	23785	20148	6298	
B													
C													
D													
E													
F													
G													
H													
30 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	43346	52963	42292	48108	38321	36976	35198	32357	28972	24237	20599	6369	
B													
C													
D													
E													
F													
G													
H													
60 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	42940	51989	41677	48726	38659	37209	35382	32521	29770	24253	21179	6665	
B													
C													
D													
E													
F													
G													
H													
90 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	42166	52395	41015	47939	37807	37138	34849	32507	28525	24254	20497	6483	
B													
C													
D													
E													
F													
G													
H													
120 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	42318	51425	41443	47178	38111	36518	34642	31824	29198	24475	20909	6667	
B													
C													
D													
E													
F													
G													
H													
150 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	42399	51569	41033	47659	38368	36716	34933	31832	28510	24121	21206	6539	
B													
C													
D													
E													
F													
G													
H													
180 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	41909	50922	40987	47372	38175	35927	34497	31843	28421	24130	20951	6604	
B													
C													
D													
E													
F													
G													
H													
210 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	41521	51099	40895	47034	37365	39990	34185	31719	28647	23714	20891	6556	
B													
C													
D													
E													
F													
G													
H													
240 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	41704	49931	39907	47441	36915	48253	34189	31504	28581	23822	20564	6566	
B													
C													
D													
E													
F													
G													
H													
270 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	40782	50149	40026	46670	36932	49492	34000	31977	27750	23985	20590	6558	
B													
C													
D													
E													
F													
G													
H													
300 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	41002	49630	40225	46465	37216	49644	33906	36333	28435	24006	20688	6556	
B													
C													
D													
E													
F													
G													
H													
330 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	40337	49567	39625	45563	37223	49551	33738	38350	27943	23646	20920	6682	
B													
C													
D													
E													
F													
G													
H													
360 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	40831	49344	40022	45586	37122	49003	34267	38814	28250	23926	20805	6479	
B													
C													
D													
E													
F													
G													
H													
390 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	39891	49224	39593	45838	37064	49240	33939	38617	28337	24010	20912	6648	
B													
C													
D													
E													
F													
G													
H													
420 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	40549	48850	39008	45942	36476	49291	34066	38423	27933	23743	20675	6525	
B													
C													
D													
E													
F													
G													
H													
450 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	40582	48587	39514	46156	37238	49476	33612	39910	28159	23673	20725	6781	
B													
C													
D													
E													
F													
G													
H													
480 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	40708	48599	39070	45594	36507	49196	34191	39733	28116	23815	20235	6558	
B													
C													
D													
E													
F													
G													
H													
510 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	39821	47912	38871	45274	36002	48428	33548	39838	27553	24147	20772	6472	
B													
C													
D													
E													
F													
G													
H													
540 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	39917	48715	38682	45730	36192	49210	33432	40068	27926	23853	20382	6671	
B													
C													
D													
E													
F													
G													
H													
570 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	39331	48014	38405	45144	36179	49154	33352	40633	28219	23875	20590	6721	
B													
C													
D													
E													
F													
G													
H													
600 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	39416	48101	38658	45210	35673	49185	33363	40821	27987	23468	20603	6583	
B													
C													
D													
E													
F													
G													
H													
630 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	40546	47471	38351	44483	36520	49972	33566	40635	28333	23735	20639	6613	
B													
C													
D													
E													
F													
G													
H													
660 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	39464	48022	38461	43910	35693	49501	33078	40865	28601	23808	20767	6551	
B													
C													
D													
E													
F													
G													
H													
690 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	39111	48487	38423	45449	35821	49389	33397	40522	32408	23385	20673	6423	
B													
C													
D													
E													
F													
G													
H													
720 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	39445	48087	38011	44624	36410	48945	34615	40814	33933	23378	20336	6507	
B													
C													
D													
E													
F													
G													
H													
750 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	39454	47494	43080	44512	35585	49058	42031	40284	34123	23444	20641	6428	
B													
C													
D													
E													
F													
G													
H													
780 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	39604	47193	56743	44301	35030	49362	42567	41493	34059	23416	20797	6742	
B													
C													
D													
E													
F													
G													
H													
810 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	39241	46913	56013	44492	35294	49326	42698	41130	34516	23330	20106	6476	
B													
C													
D													
E													
F													
G													
H													
840 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	39192	46900	56173	44133	39673	48808	42790	40806	35299	23152	20382	6628	
B													
C													
D													
E													
F													
G													
H													
870 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	38814	46943	56049	44271	48891	48938	43415	40605	35146	24056	20215	6561	
B													
C													
D													
E													
F													
G													
H													
900 s
