0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	44061	44767	44149	42949	39502	37020	34280	29963	25302	16870	12308	6744	
D													
E													
F													
G													
H													
30 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	45165	44997	45297	43939	40345	38320	35535	30617	26143	17703	12466	7165	
D													
E													
F													
G													
H													
60 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	45061	45029	45388	44261	40296	38332	35394	31695	25968	17716	12601	6807	
D													
E													
F													
G													
H													
90 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	44290	45146	44636	43779	40107	38649	36065	31551	26221	18080	12397	7136	
D													
E													
F													
G													
H													
120 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	45264	44646	44848	43654	40736	38824	35919	31922	26818	18107	12565	7213	
D													
E													
F													
G													
H													
150 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	43988	43830	44221	42953	40574	38008	36029	31538	26525	17887	12514	7033	
D													
E													
F													
G													
H													
180 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	43484	45123	44460	43367	40363	38251	36459	31558	26898	18089	12681	7270	
D													
E													
F													
G													
H													
210 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	43687	44020	43731	43386	39728	38936	35947	31523	26641	18005	12771	7377	
D													
E													
F													
G													
H													
240 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	43359	43964	43820	43297	40216	38198	35626	31754	26549	17964	12858	6978	
D													
E													
F													
G													
H													
270 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	43146	43746	43392	42898	40141	38303	35736	31446	26645	18125	12793	7111	
D													
E													
F													
G													
H													
300 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	42640	43452	43836	42355	39594	38889	35936	32046	26214	18000	12534	7181	
D													
E													
F													
G													
H													
330 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	43243	43024	43471	42467	39809	37697	35270	31721	26631	17729	12592	7194	
D													
E													
F													
G													
H													
360 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	42992	43220	43136	42133	39827	38234	35615	31453	26442	18020	12916	7185	
D													
E													
F													
G													
H													
390 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	42457	43226	42901	42184	39459	38036	35849	31170	26184	17919	12601	7027	
D													
E													
F													
G													
H													
420 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	42367	42730	42484	42437	39408	38415	35097	31466	26111	18040	12721	7153	
D													
E													
F													
G													
H													
450 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	41883	41962	42968	41520	39405	37705	35213	31374	26329	17754	12557	7035	
D													
E													
F													
G													
H													
480 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	41253	42587	42298	42064	38773	37884	35603	31410	26495	18033	12407	7028	
D													
E													
F													
G													
H													
510 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	41295	42343	42338	41040	39034	37371	35288	31028	26069	17985	12393	7152	
D													
E													
F													
G													
H													
540 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	41926	42149	42685	41415	38923	37374	35018	31285	26060	17670	12701	7154	
D													
E													
F													
G													
H													
570 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	41068	41569	42007	41044	38856	36682	35126	30677	26325	17446	12513	7137	
D													
E													
F													
G													
H													
600 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	41438	41554	41830	40915	38283	37415	34497	30828	25764	17602	12552	7033	
D													
E													
F													
G													
H													
630 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	42134	41935	42054	41131	38501	37098	34479	31224	25932	17786	12213	6846	
D													
E													
F													
G													
H													
660 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	40661	41758	41572	41118	38265	36731	34956	31121	25925	17815	12308	7140	
D													
E													
F													
G													
H													
690 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	41323	41835	41367	40764	38473	36530	34443	30412	25539	17508	12621	7120	
D													
E													
F													
G													
H													
720 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	41468	41634	41782	40471	38350	36964	35031	30750	25404	17585	12393	6939	
D													
E													
F													
G													
H													
750 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	41292	41273	41629	40395	38749	36783	34368	30607	25704	17360	12484	7121	
D													
E													
F													
G													
H													
780 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	41015	41463	41430	40856	38456	37068	34322	30535	25975	17643	12461	7051	
D													
E													
F													
G													
H													
810 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	40260	41163	41263	40925	38252	36786	34670	30652	25975	17376	12395	7177	
D													
E													
F													
G													
H													
840 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	41312	41295	41676	40521	38433	36597	34746	30943	25439	17204	12371	7046	
D													
E													
F													
G													
H													
870 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C	40655	41600	40931	40833	37967	36183	34676	30218	25489	17028	12192	6945	
D													
E													
F													
G													
H													
Date of measurement: 01/19/2017/Time of measurement: 19:42:48
