0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	55499	34838	18265	25710	45367	Overflow				
B													
C													
D													
E													
F													
G													
H													
4 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	55246	33936	17946	25233	44749	Overflow				
B													
C													
D													
E													
F													
G													
H													
8 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	54370	33691	17629	24856	44348	Overflow				
B													
C													
D													
E													
F													
G													
H													
12 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	55378	33527	18011	24792	44773	Overflow				
B													
C													
D													
E													
F													
G													
H													
15 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	54970	33681	17605	24872	45075	Overflow				
B													
C													
D													
E													
F													
G													
H													
19 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53719	33619	17531	24527	44342	Overflow				
B													
C													
D													
E													
F													
G													
H													
23 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53521	33811	17346	24837	43953	Overflow				
B													
C													
D													
E													
F													
G													
H													
27 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	54142	33727	17713	24694	43827	Overflow				
B													
C													
D													
E													
F													
G													
H													
30 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53792	33749	17607	24697	43949	Overflow				
B													
C													
D													
E													
F													
G													
H													
34 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	54495	33283	17971	24462	44489	Overflow				
B													
C													
D													
E													
F													
G													
H													
38 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53385	33667	17752	24409	44022	Overflow				
B													
C													
D													
E													
F													
G													
H													
42 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53696	33361	17627	24770	43709	Overflow				
B													
C													
D													
E													
F													
G													
H													
45 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53940	33487	17665	24449	44341	63106				
B													
C													
D													
E													
F													
G													
H													
49 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53751	33536	17620	24510	43469	Overflow				
B													
C													
D													
E													
F													
G													
H													
53 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53482	33431	17646	24742	44026	Overflow				
B													
C													
D													
E													
F													
G													
H													
57 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	54155	33377	17613	24770	43954	Overflow				
B													
C													
D													
E													
F													
G													
H													
60 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53687	33800	17481	24707	43148	Overflow				
B													
C													
D													
E													
F													
G													
H													
64 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53391	33244	17583	24380	43975	Overflow				
B													
C													
D													
E													
F													
G													
H													
68 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53626	33575	17748	24552	43573	Overflow				
B													
C													
D													
E													
F													
G													
H													
72 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53718	33020	17731	24368	44115	62837				
B													
C													
D													
E													
F													
G													
H													
76 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53887	33182	17568	24741	43695	Overflow				
B													
C													
D													
E													
F													
G													
H													
79 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53727	33463	17681	24603	43659	Overflow				
B													
C													
D													
E													
F													
G													
H													
83 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53484	33125	17628	24345	43771	Overflow				
B													
C													
D													
E													
F													
G													
H													
87 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53023	33455	17781	24451	44624	Overflow				
B													
C													
D													
E													
F													
G													
H													
91 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53280	33196	17585	23985	43567	62920				
B													
C													
D													
E													
F													
G													
H													
94 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53434	32974	17666	24327	43414	Overflow				
B													
C													
D													
E													
F													
G													
H													
98 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52865	33290	17746	24524	43641	Overflow				
B													
C													
D													
E													
F													
G													
H													
102 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53257	33364	17700	24533	43522	Overflow				
B													
C													
D													
E													
F													
G													
H													
106 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52737	32976	17727	24560	43581	Overflow				
B													
C													
D													
E													
F													
G													
H													
109 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53072	32965	17732	24271	43537	Overflow				
B													
C													
D													
E													
F													
G													
H													
113 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52519	33304	17446	24365	43404	62648				
B													
C													
D													
E													
F													
G													
H													
117 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	53028	32845	17898	24112	43460	Overflow				
B													
C													
D													
E													
F													
G													
H													
121 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52745	33099	17471	24191	43336	62865				
B													
C													
D													
E													
F													
G													
H													
124 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52840	33509	17232	24403	43541	62341				
B													
C													
D													
E													
F													
G													
H													
128 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52923	33570	17606	24399	43405	Overflow				
B													
C													
D													
E													
F													
G													
H													
132 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52333	33010	17591	24213	42958	62252				
B													
C													
D													
E													
F													
G													
H													
136 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52714	33425	17523	24159	43047	62836				
B													
C													
D													
E													
F													
G													
H													
139 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52557	33466	17619	24195	43202	62892				
B													
C													
D													
E													
F													
G													
H													
143 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52935	33007	17601	24441	42809	62658				
B													
C													
D													
E													
F													
G													
H													
147 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52537	33008	17394	24397	42996	63038				
B													
C													
D													
E													
F													
G													
H													
151 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52897	32761	17720	24067	42979	62817				
B													
C													
D													
E													
F													
G													
H													
155 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52474	33039	17596	24209	43308	62515				
B													
C													
D													
E													
F													
G													
H													
158 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52922	32810	17542	24023	42989	62661				
B													
C													
D													
E													
F													
G													
H													
162 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52052	32876	17592	24065	43058	Overflow				
B													
C													
D													
E													
F													
G													
H													
166 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	51813	32993	17293	24194	43053	62344				
B													
C													
D													
E													
F													
G													
H													
170 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52726	32861	17460	24274	43275	62060				
B													
C													
D													
E													
F													
G													
H													
173 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52113	33211	17489	23976	43047	62083				
B													
C													
D													
E													
F													
G													
H													
177 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52328	32565	17214	24007	42446	62895				
B													
C													
D													
E													
F													
G													
H													
181 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52473	32393	17454	24150	42452	62732				
B													
C													
D													
E													
F													
G													
H													
185 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52558	32922	17606	24149	42744	62135				
B													
C													
D													
E													
F													
G													
H													
188 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52390	33245	17356	24192	42888	62806				
B													
C													
D													
E													
F													
G													
H													
192 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52227	32675	17357	24133	42415	62154				
B													
C													
D													
E													
F													
G													
H													
196 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52745	32650	17272	23631	42939	61775				
B													
C													
D													
E													
F													
G													
H													
200 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52162	32667	17460	24028	43293	61440				
B													
C													
D													
E													
F													
G													
H													
203 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52340	32699	17371	24112	42796	62207				
B													
C													
D													
E													
F													
G													
H													
207 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52536	32446	17320	23990	42354	61788				
B													
C													
D													
E													
F													
G													
H													
211 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	51393	32545	17357	24075	41843	62514				
B													
C													
D													
E													
F													
G													
H													
215 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	51759	32587	17593	23913	42462	62172				
B													
C													
D													
E													
F													
G													
H													
218 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52559	33008	17519	23994	43018	61262				
B													
C													
D													
E													
F													
G													
H													
222 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	51813	32509	17106	23980	42710	61705				
B													
C													
D													
E													
F													
G													
H													
226 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	51731	32730	17400	24039	42316	60963				
B													
C													
D													
E													
F													
G													
H													
230 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A		Overflow	Overflow	52131	32708	17495	23817	42803	61693				
B													
C													
D													
E													
F													
G													
H													
233 s
