0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	52122	52108	51411	49999	48019	45699	43861	42465	37053	29699	21958	11961	
30 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	53439	52864	50371	49980	48231	46591	43764	43306	36873	29193	21747	12641	
61 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	52561	52181	51272	49641	47005	46276	43585	42216	37284	29597	21867	12580	
91 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	53119	52364	50118	50091	46850	45988	45233	41317	36842	28520	21754	12366	
120 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	52462	50884	49945	49108	47836	46519	44376	41846	36884	28990	21910	12334	
150 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	49549	51387	51058	47507	46359	45518	43776	41083	36699	29559	21819	12170	
180 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	50125	50712	49416	49567	46782	44810	44357	41705	37497	29069	22074	12500	
210 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	51576	49767	48709	48215	46914	44992	44284	41252	36726	28725	22924	12483	
240 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	50272	49362	48771	49483	45363	46062	44109	40888	36342	29242	21606	12482	
271 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	50659	49582	47701	48374	45748	45292	44069	42354	36100	28720	22175	12323	
300 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	48700	49436	49695	48349	46166	45477	43297	41221	36300	28618	22390	12758	
330 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	49979	49190	48125	47668	45475	45525	43213	40788	36951	28720	22412	12221	
360 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	48696	49478	47976	47328	45224	45039	42619	41079	36531	29724	21798	12443	
390 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	48368	48118	47212	47565	46023	44329	43231	40288	35993	29146	21856	11872	
420 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	49674	47836	48313	47351	45665	44445	42587	40218	36513	28730	22081	12444	
451 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	48633	49132	47791	47540	46315	43811	42777	40976	36455	28916	21914	12194	
481 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	48471	48430	46393	47447	46011	45028	43749	40823	36629	29341	22172	12506	
510 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	48580	47270	47923	47211	45140	44414	43537	40430	36025	29120	22427	12282	
540 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	48987	47419	46240	47206	46168	44420	42889	41243	36515	29409	21873	12209	
570 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	46404	49348	46460	47250	45698	45171	42716	41220	36843	28845	22576	11943	
600 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	47996	47530	47090	46360	45722	44176	42889	40562	36748	29101	22489	13208	
630 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	47875	47783	47510	46849	44693	44524	42678	40894	36417	28659	22022	12187	
661 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	47849	48526	46636	47304	44801	44586	41807	40310	36862	28680	22292	13054	
690 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	47704	46795	46897	46035	45396	42643	42504	40301	36113	28926	21981	12415	
720 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	48532	46907	47390	46822	44802	43992	43134	40966	36696	29072	22976	12205	
750 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	48027	47826	46502	45466	45103	43948	42360	39585	35866	28696	22430	12291	
780 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	47891	47250	47019	45624	44457	43844	43407	40625	35959	28017	21738	12363	
810 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	48242	47042	47295	46020	45076	44031	42215	40468	36745	29221	21641	12171	
841 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	47226	46991	45834	44869	43967	44539	42860	40415	35329	28156	21952	13113	
870 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
H	47864	46906	47780	46600	43571	43382	42810	40044	36270	28633	22740	12401	
900 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G													
