0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	43973	34512	30568	26659	21911	45431	15988	38753	10103	7290	40458	4883	
H													
10 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	44698	34129	30269	26410	21770	45210	15928	38324	10008	7188	40221	4887	
H													
20 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	44577	34255	30342	26261	21772	45084	15977	38291	9993	7196	39853	4787	
H													
30 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	44355	34094	30031	26297	21791	44799	15989	38057	9947	7232	39799	4849	
H													
40 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	43826	33909	30003	26229	21554	45068	15838	38405	9904	7205	39710	4964	
H													
50 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	43959	33730	30114	26056	21576	44284	15863	38428	10002	7298	39462	4846	
H													
60 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	43569	33698	30063	26362	21649	44266	15966	37925	9940	7211	39409	4896	
H													
70 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	44060	33721	30157	25962	21540	44689	15974	38105	9786	7130	39651	4816	
H													
80 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	43321	33742	29665	26165	21426	44644	15863	38425	9986	7149	39234	4901	
H													
90 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	43725	33936	29776	26144	21516	44333	16052	38327	9899	7290	39446	4901	
H													
100 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	43371	33430	29742	25839	21519	44352	15778	37803	9927	7175	39528	4894	
H													
110 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	43089	33658	29870	26003	21361	44479	15870	37947	9998	7178	39455	4845	
H													
120 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	43005	33191	29762	25768	21347	44309	15709	38263	9915	7142	39225	4921	
H													
130 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42809	33255	29782	25737	21200	44044	15865	37939	9902	7173	39059	4831	
H													
140 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42372	33230	29437	25637	21287	44217	15829	37952	9902	7159	39289	4952	
H													
150 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42672	33027	29804	25742	21383	43744	15805	37988	9983	7203	39089	4956	
H													
160 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42530	33203	29431	25831	21295	43951	15762	38014	9874	7099	38914	4909	
H													
170 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42457	33013	29358	25721	21182	44057	15764	37959	9781	7189	38887	4819	
H													
180 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42838	33161	29539	25674	21284	44040	15682	37880	9887	7153	39252	4873	
H													
190 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42766	33191	29669	25616	21168	43818	15731	37704	9946	7159	39044	4886	
H													
200 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42393	33074	29222	25494	21187	43667	15696	37858	9866	7126	39081	4837	
H													
210 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42462	32944	29508	25519	21090	43718	15733	37761	9873	7234	38662	4853	
H													
220 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42424	32703	29558	25425	21149	43651	15815	37785	9844	7133	38867	4912	
H													
230 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42373	32756	29397	25363	21211	43398	15760	37939	9823	7170	38682	4941	
H													
240 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42105	32851	29374	25163	21036	43483	15733	37627	9769	7093	38841	4821	
H													
250 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42230	32759	29218	25384	21136	43329	15559	37738	9840	7079	38912	4918	
H													
260 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42591	32669	29259	25320	21163	43410	15626	37688	9782	7147	38512	4896	
H													
270 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	42365	32829	29151	25309	21110	43352	15567	37776	9709	7173	38947	4913	
H													
280 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	41751	32543	29100	25513	20823	43293	15415	37444	9851	7151	38590	4905	
H													
290 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
G	41662	32369	29119	25413	20999	43141	15622	37502	9744	7161	38548	4817	
H													
300 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A													
B													
C													
D													
E													
F													
